Entry,Method,PDB_ID,Residues_Covered,Chain
P29274,X-ray diffraction,5NM4,2-208;219-317,A
P29274,X-ray diffraction,5OLG,2-208;219-317,A
P29274,X-ray diffraction,5OLH,2-208;219-317,A
P29274,X-ray diffraction,5OLO,2-208;219-318,A
P29274,X-ray diffraction,5OLV,2-208;219-317,A
P29274,X-ray diffraction,5OLZ,2-208;219-317,A
P29274,X-ray diffraction,5OM1,2-208;219-317,A
P29274,X-ray diffraction,5OM4,2-208;219-317,A
P29274,X-ray diffraction,5UIG,1-208;219-316,A
P29274,X-ray diffraction,5UVI,2-208;219-316,A
P29274,X-ray diffraction,5VRA,2-208;219-316,A
P29274,X-ray diffraction,5WF5,2-208;222-316,A
P29274,X-ray diffraction,5WF6,2-208;222-316,A
P29274,X-ray diffraction,6AQF,2-208;219-316,A
P29274,Electron Microscopy,6GDG,8-316,A
P29274,X-ray diffraction,6GT3,2-208;219-317,A
P29274,X-ray diffraction,6JZH,2-208;219-316,A
P29274,X-ray diffraction,6MH8,2-208;219-316,A
P29274,X-ray diffraction,6PS7,2-208;219-316,A
P52594,Solution NMR,2D9L,14-134,A
P52594,X-ray diffraction,2OLM,4-141,A
P52594,X-ray diffraction,2VX8,136-175,"A, B, C, D"
Q9UKV8,X-ray diffraction,3LUC,439-575,"A, B, C"
Q9UKV8,X-ray diffraction,3LUD,439-575,"A, B, C"
Q9UKV8,X-ray diffraction,3LUG,439-575,"A, B, C"
Q9UKV8,X-ray diffraction,3LUH,439-575,"A, B, C"
Q9UKV8,X-ray diffraction,3LUJ,439-575,"A, B, C"
Q9UKV8,X-ray diffraction,3LUK,439-575,"A, B, C"
Q9UKV8,X-ray diffraction,3QX8,439-575,"A, B, C"
Q9UKV8,X-ray diffraction,3QX9,439-575,"A, B, C"
Q9UKV8,X-ray diffraction,4F3T,1-859,A
Q9UKV8,X-ray diffraction,4OLA,1-859,A
Q9UKV8,X-ray diffraction,4OLB,1-859,A
Q9UKV8,X-ray diffraction,4W5N,1-859,A
Q9UKV8,X-ray diffraction,4W5O,1-859,A
Q9UKV8,X-ray diffraction,4W5Q,1-859,A
Q9UKV8,X-ray diffraction,4W5R,1-859,A
Q9UKV8,X-ray diffraction,4W5T,1-859,A
Q9UKV8,X-ray diffraction,4Z4C,1-859,A
Q9UKV8,X-ray diffraction,4Z4D,1-859,A
Q9UKV8,X-ray diffraction,4Z4E,1-859,A
Q9UKV8,X-ray diffraction,4Z4F,1-859,A
Q9UKV8,X-ray diffraction,4Z4G,1-859,A
Q9UKV8,X-ray diffraction,4Z4H,1-859,A
Q9UKV8,X-ray diffraction,4Z4I,1-859,A
Q9UKV8,X-ray diffraction,5JS1,1-859,A
Q9UKV8,X-ray diffraction,5JS2,1-859,A
Q9UKV8,X-ray diffraction,5KI6,1-859,A
Q9UKV8,X-ray diffraction,5T7B,1-859,A
Q9UKV8,X-ray diffraction,5WEA,1-859,A
Q9UKV8,X-ray diffraction,6CBD,1-859,A
Q9UKV8,X-ray diffraction,6MDZ,1-859,"A, B"
Q9UKV8,X-ray diffraction,6MFN,1-859,A
Q9UKV8,X-ray diffraction,6MFR,1-859,"A, B"
Q9UKV8,X-ray diffraction,6N4O,1-859,A
Q9UKV8,X-ray diffraction,6NIT,1-859,"A, B"
Q9UKV8,X-ray diffraction,6RA4,222-355,"A, B"
Q8TD06,X-ray diffraction,3PH9,24-166,"A, B"
O43572,X-ray diffraction,3IM4,623-662,C
O43572,X-ray diffraction,3TMH,623-662,"D, H, L"
Q12955,X-ray diffraction,4O6X,4088-4199,"A, B"
Q9NZN5,X-ray diffraction,1TXD,766-1138,A
Q9NZN5,X-ray diffraction,1X86,766-1138,"A, C, E, G"
Q9NZN5,Solution NMR,2OMJ,67-151,A
Q9NZN5,Solution NMR,2OS6,67-151,A
Q96LA8,X-ray diffraction,4HC4,1-375,A
Q96LA8,X-ray diffraction,4QPP,1-375,"A, B, C"
Q96LA8,X-ray diffraction,4QQK,1-375,A
Q96LA8,X-ray diffraction,4Y2H,27-375,"A, B"
Q96LA8,X-ray diffraction,4Y30,25-375,"A, B"
Q96LA8,X-ray diffraction,5E8R,1-375,"A, B"
Q96LA8,X-ray diffraction,5EGS,1-375,"A, B, C, D"
Q96LA8,X-ray diffraction,5HZM,1-375,A
Q96LA8,X-ray diffraction,5WCF,1-375,A
Q96LA8,X-ray diffraction,6P7I,1-375,"A, B, C, D"
Q92484,X-ray diffraction,5EBB,34-443,"A, B, C"
Q92484,X-ray diffraction,5EBE,33-450;33-447,"B, C"
P39687,X-ray diffraction,2JE0,1-149,"A, B, C, D, E, F"
P39687,X-ray diffraction,2JE1,1-149,"A, B, C, D"
P39687,X-ray diffraction,4XOS,1-149,"A, B"
O60885,Solution NMR,2I8N,352-457,A
O60885,Solution NMR,2LSP,333-460,B
O60885,Solution NMR,2MJV,333-460,B
O60885,Solution NMR,2N3K,600-678,A
O60885,Solution NMR,2NCZ,601-683,A
O60885,Solution NMR,2ND0,601-683,A
O60885,Solution NMR,2ND1,601-683,A
O60885,X-ray diffraction,2NNU,1343-1362,B
O60885,X-ray diffraction,2OSS,43-168,A
O60885,X-ray diffraction,2OUO,333-460,A
O60885,X-ray diffraction,2YEL,44-168,A
O60885,X-ray diffraction,2YEM,333-460,"A, B"
O60885,X-ray diffraction,3MXF,42-168,A
O60885,X-ray diffraction,3P5O,44-168,A
O60885,X-ray diffraction,3SVF,44-168,A
O60885,X-ray diffraction,3SVG,44-168,A
O60885,X-ray diffraction,3U5J,42-168,A
O60885,X-ray diffraction,3U5K,42-168,"A, B, C, D"
O60885,X-ray diffraction,3U5L,42-168,A
O60885,X-ray diffraction,3UVW,44-168,A
O60885,X-ray diffraction,3UVX,44-168,A
O60885,X-ray diffraction,3UVY,44-168,A
O60885,X-ray diffraction,3UW9,44-168,"A, B, C, D"
O60885,X-ray diffraction,3ZYU,44-168,"A, B"
O60885,X-ray diffraction,4A9L,44-168,A
O60885,X-ray diffraction,4BJX,44-168,A
O60885,X-ray diffraction,4BW1,44-168,A
O60885,X-ray diffraction,4BW2,44-168,A
O60885,X-ray diffraction,4BW3,44-168,A
O60885,X-ray diffraction,4BW4,44-168,A
O60885,X-ray diffraction,4C66,44-167,A
O60885,X-ray diffraction,4C67,44-168,A
O60885,X-ray diffraction,4CFK,42-168,A
O60885,X-ray diffraction,4CFL,42-168,A
O60885,X-ray diffraction,4CL9,44-168,A
O60885,X-ray diffraction,4CLB,44-168,A
O60885,X-ray diffraction,4DON,44-166,A
O60885,X-ray diffraction,4E96,44-168,A
O60885,X-ray diffraction,4F3I,44-168,A
O60885,X-ray diffraction,4GPJ,44-168,A
O60885,X-ray diffraction,4HBV,42-168,A
O60885,X-ray diffraction,4HBW,42-168,A
O60885,X-ray diffraction,4HBX,42-168,A
O60885,X-ray diffraction,4HBY,42-168,A
O60885,X-ray diffraction,4HXK,44-167,A
O60885,X-ray diffraction,4HXL,44-167,A
O60885,X-ray diffraction,4HXM,44-166,A
O60885,X-ray diffraction,4HXN,44-167,A
O60885,X-ray diffraction,4HXO,44-167,A
O60885,X-ray diffraction,4HXP,44-166,A
O60885,X-ray diffraction,4HXR,44-167,A
O60885,X-ray diffraction,4HXS,44-166,A
O60885,X-ray diffraction,4IOO,44-168,A
O60885,X-ray diffraction,4IOQ,44-168,A
O60885,X-ray diffraction,4IOR,44-168,A
O60885,X-ray diffraction,4J0R,44-168,A
O60885,X-ray diffraction,4J0S,44-168,A
O60885,X-ray diffraction,4J3I,44-168,A
O60885,X-ray diffraction,4KV1,41-168,"A, B"
O60885,X-ray diffraction,4KV4,351-459,A
O60885,X-ray diffraction,4LR6,42-168,A
O60885,X-ray diffraction,4LRG,42-168,A
O60885,X-ray diffraction,4LYI,44-168,A
O60885,X-ray diffraction,4LYS,44-168,A
O60885,X-ray diffraction,4LYW,44-168,A
O60885,X-ray diffraction,4LZR,44-168,A
O60885,X-ray diffraction,4LZS,44-168,A
O60885,X-ray diffraction,4MEN,44-168,A
O60885,X-ray diffraction,4MEO,44-168,A
O60885,X-ray diffraction,4MEP,44-168,A
O60885,X-ray diffraction,4MEQ,44-168,A
O60885,X-ray diffraction,4MR3,44-168,A
O60885,X-ray diffraction,4MR4,44-168,A
O60885,X-ray diffraction,4NQM,44-168,A
O60885,X-ray diffraction,4NR8,44-168,A
O60885,X-ray diffraction,4NUC,44-168,A
O60885,X-ray diffraction,4NUD,44-168,A
O60885,X-ray diffraction,4NUE,44-168,A
O60885,X-ray diffraction,4O70,44-168,"A, B"
O60885,X-ray diffraction,4O71,44-168,"A, B"
O60885,X-ray diffraction,4O72,44-168,A
O60885,X-ray diffraction,4O74,44-168,"A, B"
O60885,X-ray diffraction,4O75,44-168,A
O60885,X-ray diffraction,4O76,44-168,"A, B, C, D"
O60885,X-ray diffraction,4O77,44-168,"A, B"
O60885,X-ray diffraction,4O78,44-168,A
O60885,X-ray diffraction,4O7A,44-168,A
O60885,X-ray diffraction,4O7B,44-168,A
O60885,X-ray diffraction,4O7C,44-168,A
O60885,X-ray diffraction,4O7E,44-168,"A, B"
O60885,X-ray diffraction,4O7F,44-168,"A, B"
O60885,X-ray diffraction,4OGI,44-168,"A, B"
O60885,X-ray diffraction,4OGJ,44-168,"A, B"
O60885,X-ray diffraction,4PCE,44-168,A
O60885,X-ray diffraction,4PCI,44-168,A
O60885,X-ray diffraction,4PS5,44-168,"A, B"
O60885,X-ray diffraction,4QB3,44-168,A
O60885,X-ray diffraction,4QR3,44-166,A
O60885,X-ray diffraction,4QR4,44-166,A
O60885,X-ray diffraction,4QR5,44-166,A
O60885,X-ray diffraction,4QZS,44-168,A
O60885,X-ray diffraction,4UIX,44-168,"A, B, C"
O60885,X-ray diffraction,4UIY,44-168,A
O60885,X-ray diffraction,4UIZ,44-168,A
O60885,X-ray diffraction,4UYD,44-183,A
O60885,X-ray diffraction,4WHW,44-168,A
O60885,X-ray diffraction,4WIV,44-168,A
O60885,X-ray diffraction,4X2I,42-166,A
O60885,X-ray diffraction,4XY9,42-168,A
O60885,X-ray diffraction,4XYA,42-168,A
O60885,X-ray diffraction,4YH3,44-170,A
O60885,X-ray diffraction,4YH4,44-170,A
O60885,X-ray diffraction,4Z1Q,42-167,"A, B"
O60885,X-ray diffraction,4Z1S,42-166,"A, B"
O60885,X-ray diffraction,4Z93,349-460,A
O60885,X-ray diffraction,4ZC9,44-168,A
O60885,X-ray diffraction,4ZW1,44-168,A
O60885,X-ray diffraction,5A5S,44-168,A
O60885,X-ray diffraction,5A85,44-168,A
O60885,X-ray diffraction,5ACY,44-168,"A, B"
O60885,X-ray diffraction,5AD2,44-168,"A, B"
O60885,X-ray diffraction,5AD3,44-168,"A, B"
O60885,X-ray diffraction,5BT4,44-168,"A, B, C"
O60885,X-ray diffraction,5CFW,44-168,A
O60885,X-ray diffraction,5COI,44-168,A
O60885,X-ray diffraction,5CP5,44-168,A
O60885,X-ray diffraction,5CPE,44-168,A
O60885,X-ray diffraction,5CQT,44-168,A
O60885,X-ray diffraction,5CRM,44-168,A
O60885,X-ray diffraction,5CRZ,44-168,A
O60885,X-ray diffraction,5CS8,44-168,A
O60885,X-ray diffraction,5CTL,44-168,A
O60885,X-ray diffraction,5CY9,44-168,A
O60885,X-ray diffraction,5D0C,44-168,A
O60885,X-ray diffraction,5D24,43-168,A
O60885,X-ray diffraction,5D25,43-168,A
O60885,X-ray diffraction,5D26,42-168,A
O60885,X-ray diffraction,5D3H,44-168,A
O60885,X-ray diffraction,5D3J,43-168,A
O60885,X-ray diffraction,5D3L,42-168,A
O60885,X-ray diffraction,5D3N,43-168,A
O60885,X-ray diffraction,5D3P,42-168,A
O60885,X-ray diffraction,5D3R,42-168,A
O60885,X-ray diffraction,5D3S,44-168,A
O60885,X-ray diffraction,5D3T,42-168,A
O60885,X-ray diffraction,5DLX,44-168,A
O60885,X-ray diffraction,5DLZ,44-168,A
O60885,X-ray diffraction,5DW2,44-170,A
O60885,X-ray diffraction,5DX4,44-168,A
O60885,X-ray diffraction,5E0R,44-168,A
O60885,X-ray diffraction,5EGU,44-168,"A, B, C, D"
O60885,X-ray diffraction,5EI4,44-168,A
O60885,X-ray diffraction,5EIS,44-168,A
O60885,X-ray diffraction,5F5Z,44-168,A
O60885,X-ray diffraction,5F60,44-168,A
O60885,X-ray diffraction,5F61,44-168,"A, B"
O60885,X-ray diffraction,5F62,44-168,A
O60885,X-ray diffraction,5F63,44-168,A
O60885,X-ray diffraction,5FBX,44-168,A
O60885,X-ray diffraction,5H21,44-167,A
O60885,X-ray diffraction,5HCL,44-168,A
O60885,X-ray diffraction,5HLS,42-168,A
O60885,X-ray diffraction,5HM0,42-168,A
O60885,X-ray diffraction,5HQ5,44-168,A
O60885,X-ray diffraction,5HQ6,44-166,A
O60885,X-ray diffraction,5HQ7,44-167,A
O60885,X-ray diffraction,5I80,42-167,A
O60885,X-ray diffraction,5I88,42-167,A
O60885,X-ray diffraction,5IGK,44-168,A
O60885,X-ray diffraction,5JWM,333-460,"A, B"
O60885,X-ray diffraction,5KDH,44-168,A
O60885,X-ray diffraction,5KHM,44-168,"A, B"
O60885,X-ray diffraction,5KJ0,44-168,A
O60885,X-ray diffraction,5KU3,42-167,A
O60885,X-ray diffraction,5LJ1,42-168,A
O60885,X-ray diffraction,5LJ2,42-168,A
O60885,X-ray diffraction,5LRQ,42-163,A
O60885,X-ray diffraction,5LUU,44-168,A
O60885,X-ray diffraction,5M39,42-168,"A, B"
O60885,X-ray diffraction,5M3A,44-168,A
O60885,X-ray diffraction,5MKZ,44-168,A
O60885,X-ray diffraction,5MLI,42-168,A
O60885,X-ray diffraction,5N2M,44-168,A
O60885,X-ray diffraction,5NNC,44-168,"A, B"
O60885,X-ray diffraction,5NND,44-168,"A, B"
O60885,X-ray diffraction,5NNE,44-168,A
O60885,X-ray diffraction,5NNF,44-168,A
O60885,X-ray diffraction,5NNG,44-168,A
O60885,X-ray diffraction,5O97,44-168,A
O60885,X-ray diffraction,5OVB,44-168,"A, B"
O60885,X-ray diffraction,5OWM,44-168,A
O60885,X-ray diffraction,5OWW,44-168,"A, B, C, D"
O60885,X-ray diffraction,5T35,333-460,"A, E"
O60885,X-ray diffraction,5TI2,44-168,A
O60885,X-ray diffraction,5TI3,44-168,A
O60885,X-ray diffraction,5TI4,44-168,A
O60885,X-ray diffraction,5TI5,44-168,A
O60885,X-ray diffraction,5TI6,44-168,A
O60885,X-ray diffraction,5TI7,44-168,A
O60885,X-ray diffraction,5U28,44-180,A
O60885,X-ray diffraction,5U2C,342-460,"A, B"
O60885,X-ray diffraction,5U2E,42-180,"A, B"
O60885,X-ray diffraction,5U2F,42-180,"A, B"
O60885,X-ray diffraction,5UEO,352-457,"A, B"
O60885,X-ray diffraction,5UEP,352-457,A
O60885,X-ray diffraction,5UEQ,352-457,A
O60885,X-ray diffraction,5UER,352-457,A
O60885,X-ray diffraction,5UES,352-457,A
O60885,X-ray diffraction,5UET,352-457,A
O60885,X-ray diffraction,5UEU,352-457,"A, B"
O60885,X-ray diffraction,5UEV,352-457,A
O60885,X-ray diffraction,5UEX,352-457,A
O60885,X-ray diffraction,5UEY,352-457,A
O60885,X-ray diffraction,5UEZ,352-457,A
O60885,X-ray diffraction,5UF0,352-457,A
O60885,X-ray diffraction,5ULA,44-168,"A, B"
O60885,X-ray diffraction,5UOO,333-460,A
O60885,X-ray diffraction,5UVS,352-457,A
O60885,X-ray diffraction,5UVT,352-457,A
O60885,X-ray diffraction,5UVU,352-457,A
O60885,X-ray diffraction,5UVV,352-457,"A, B"
O60885,X-ray diffraction,5UVW,57-165,"A, B, C"
O60885,X-ray diffraction,5UVX,352-457,"A, B"
O60885,X-ray diffraction,5UVY,352-457,A
O60885,X-ray diffraction,5UVZ,352-457,A
O60885,X-ray diffraction,5V67,44-168,A
O60885,X-ray diffraction,5VBO,44-168,A
O60885,X-ray diffraction,5VBP,44-168,"A, B"
O60885,X-ray diffraction,5VOM,44-168,"A, B"
O60885,X-ray diffraction,5VZS,42-168,"A, B"
O60885,X-ray diffraction,5W55,42-168,A
O60885,X-ray diffraction,5WA5,42-168,A
O60885,X-ray diffraction,5WMA,44-168,A
O60885,X-ray diffraction,5WMD,44-168,A
O60885,X-ray diffraction,5WMG,44-168,A
O60885,X-ray diffraction,5WUU,44-167,A
O60885,X-ray diffraction,5XHY,44-166,A
O60885,X-ray diffraction,5XI2,44-166,A
O60885,X-ray diffraction,5XI3,44-166,A
O60885,X-ray diffraction,5XI4,44-166,A
O60885,X-ray diffraction,5Y1Y,44-167,A
O60885,X-ray diffraction,5Y8C,44-166,A
O60885,X-ray diffraction,5Y8W,44-168,A
O60885,X-ray diffraction,5Y8Y,44-168,A
O60885,X-ray diffraction,5Y8Z,44-168,A
O60885,X-ray diffraction,5Y93,44-168,A
O60885,X-ray diffraction,5Y94,44-168,A
O60885,X-ray diffraction,5YOU,42-168,A
O60885,X-ray diffraction,5YOV,42-168,A
O60885,X-ray diffraction,5YQX,44-167,A
O60885,X-ray diffraction,5Z1R,44-168,A
O60885,X-ray diffraction,5Z1S,44-168,A
O60885,X-ray diffraction,5Z1T,44-168,A
O60885,X-ray diffraction,5Z5T,44-167,A
O60885,X-ray diffraction,5Z5U,44-167,A
O60885,X-ray diffraction,5Z5V,44-167,A
O60885,X-ray diffraction,5Z8G,44-168,A
O60885,X-ray diffraction,5Z8R,44-168,A
O60885,X-ray diffraction,5Z8Z,44-168,A
O60885,X-ray diffraction,5Z90,44-168,A
O60885,Solution NMR,5Z9C,53-168,A
O60885,X-ray diffraction,5Z9K,44-168,A
O60885,X-ray diffraction,6AFR,44-168,A
O60885,X-ray diffraction,6AJV,42-168,A
O60885,X-ray diffraction,6AJW,42-168,A
O60885,X-ray diffraction,6AJX,42-168,A
O60885,X-ray diffraction,6AJY,42-168,A
O60885,Hybrid,6AJZ,42-168,A
O60885,X-ray diffraction,6BN7,42-168,C
O60885,X-ray diffraction,6BN8,42-168,C
O60885,X-ray diffraction,6BN9,42-168,C
O60885,X-ray diffraction,6BNB,42-168,C
O60885,Solution NMR,6BNH,601-683,A
O60885,X-ray diffraction,6BOY,42-168,C
O60885,X-ray diffraction,6C7Q,333-460,A
O60885,X-ray diffraction,6C7R,44-165,A
O60885,X-ray diffraction,6CD4,42-168,A
O60885,X-ray diffraction,6CD5,44-168,A
O60885,X-ray diffraction,6CIS,44-166,A
O60885,X-ray diffraction,6CIY,44-168,A
O60885,X-ray diffraction,6CJ1,44-166,A
O60885,X-ray diffraction,6CJ2,42-166,A
O60885,X-ray diffraction,6CKR,44-168,"A, B"
O60885,X-ray diffraction,6CKS,44-168,A
O60885,X-ray diffraction,6CZU,42-170,A
O60885,X-ray diffraction,6CZV,42-170,A
O60885,X-ray diffraction,6DJC,44-173,"A, B"
O60885,X-ray diffraction,6DL2,44-168,A
O60885,X-ray diffraction,6DMJ,44-168,A
O60885,X-ray diffraction,6DML,44-168,A
O60885,X-ray diffraction,6DNE,44-477,"A, B"
O60885,X-ray diffraction,6DUV,347-458,"A, B"
O60885,X-ray diffraction,6E4A,44-170,"A, B"
O60885,X-ray diffraction,6FFD,347-463,A
O60885,X-ray diffraction,6FNX,44-168,A
O60885,X-ray diffraction,6FO5,44-168,A
O60885,X-ray diffraction,6FSY,42-168,A
O60885,X-ray diffraction,6FT3,42-168,A
O60885,X-ray diffraction,6FT4,42-168,A
O60885,X-ray diffraction,6G0D,42-168,A
O60885,X-ray diffraction,6G0E,42-168,A
O60885,X-ray diffraction,6G0F,42-168,A
O60885,X-ray diffraction,6G0G,42-168,A
O60885,X-ray diffraction,6G0H,42-168,A
O60885,X-ray diffraction,6G0O,42-168,A
O60885,X-ray diffraction,6G0P,42-168,A
O60885,X-ray diffraction,6G0Q,42-168,A
O60885,X-ray diffraction,6G0R,42-168,A
O60885,X-ray diffraction,6G0S,42-168,"A, B"
O60885,X-ray diffraction,6HDQ,44-168,A
O60885,X-ray diffraction,6HOV,44-168,A
O60885,X-ray diffraction,6I7X,44-168,A
O60885,X-ray diffraction,6I7Y,44-168,A
O60885,X-ray diffraction,6IN1,42-168,A
O60885,X-ray diffraction,6JJ3,44-167,A
O60885,X-ray diffraction,6JJB,44-167,A
O60885,X-ray diffraction,6MAU,44-170,A
O60885,X-ray diffraction,6MH1,44-168,"A, B"
O60885,X-ray diffraction,6MH7,44-168,"A, B"
O60885,Solution NMR,6MNL,333-460,B
O60885,X-ray diffraction,6PRT,43-168,A
O60885,X-ray diffraction,6PS9,44-168,A
O60885,X-ray diffraction,6PSB,44-168,A
O60885,X-ray diffraction,6Q3Y,42-168,"A, B"
O60885,X-ray diffraction,6Q3Z,44-168,"A, B"
O60885,X-ray diffraction,6S25,44-168,A
O60885,X-ray diffraction,6SE4,44-168,A
O60885,X-ray diffraction,6SIS,333-460,"A, E"
O60885,X-ray diffraction,6TPX,44-168,AAA
O60885,X-ray diffraction,6TPY,44-168,AAA
O60885,X-ray diffraction,6TPZ,44-168,AAA
O60885,X-ray diffraction,6UVJ,44-168,A
O60885,X-ray diffraction,6UVM,44-168,A
O60885,X-ray diffraction,6UWX,44-168,A
O00175,Solution NMR,1EIG,27-99,A
O00175,Solution NMR,1EIH,27-99,A
P43155,X-ray diffraction,1NM8,35-626,A
P43155,X-ray diffraction,1S5O,35-626,A
P52907,Solution NMR,1MQ1,265-276,"C, D"
P52907,Solution NMR,1MWN,265-276,"X, Y"
Q9H4Z3,Solution NMR,2JX8,40-86,A
Q9H4Z3,X-ray diffraction,6IRV,174-672,"A, B"
Q9H4Z3,X-ray diffraction,6IRW,174-672,"A, B"
Q5TDH0,Solution NMR,2N7D,1-76,A
Q5TDH0,X-ray diffraction,4RGH,212-360,"A, B"
Q5TDH0,Solution NMR,5K57,116-212,A
Q8IU60,X-ray diffraction,5MP0,95-260,D
Q8IU60,X-ray diffraction,5QOH,95-260,A
Q8IU60,X-ray diffraction,5QOI,95-260,A
Q8IU60,X-ray diffraction,5QOJ,95-260,A
Q8IU60,X-ray diffraction,5QOK,95-260,A
Q8IU60,X-ray diffraction,5QOL,95-260,A
Q8IU60,X-ray diffraction,5QOM,95-260,A
Q8IU60,X-ray diffraction,5QON,95-260,A
Q8IU60,X-ray diffraction,5QOO,95-260,A
Q8IU60,X-ray diffraction,5QOP,95-260,A
Q8IU60,X-ray diffraction,5QOQ,95-260,A
Q8IU60,X-ray diffraction,5QOR,95-260,A
Q8IU60,X-ray diffraction,5QOS,95-260,A
Q8IU60,X-ray diffraction,5QOT,95-260,A
Q8IU60,X-ray diffraction,5QOU,95-260,A
Q8IU60,X-ray diffraction,5QOV,95-260,A
Q8IU60,X-ray diffraction,5QOW,95-260,A
Q8IU60,X-ray diffraction,5QOX,95-260,A
Q8IU60,X-ray diffraction,5QOY,95-260,A
Q8IU60,X-ray diffraction,5QOZ,95-260,A
Q8IU60,X-ray diffraction,5QP0,95-260,A
Q8IU60,X-ray diffraction,5QP1,95-260,A
Q8IU60,X-ray diffraction,5QP2,95-260,A
Q8IU60,X-ray diffraction,5QP3,95-260,A
Q8IU60,X-ray diffraction,5QP4,95-260,A
Q8IU60,X-ray diffraction,5QP5,95-260,A
Q8IU60,X-ray diffraction,5QP6,95-260,A
Q8IU60,X-ray diffraction,5QP7,95-260,A
Q8IU60,X-ray diffraction,5QP8,95-260,A
Q8IU60,X-ray diffraction,5QP9,95-260,A
Q8IU60,X-ray diffraction,5QPA,95-260,A
Q8IU60,X-ray diffraction,5QPB,95-260,A
Q8IU60,X-ray diffraction,5QPC,95-260,A
Q01523,X-ray diffraction,1ZMP,63-94,"A, B, C, D"
Q01523,Solution NMR,2LXZ,63-94,A
Q01523,Solution NMR,2MIT,63-94,"A, B"
Q01523,X-ray diffraction,3I5W,63-94,"A, B"
Q01523,X-ray diffraction,4E82,63-94,"A, B"
Q01523,X-ray diffraction,4E83,63-94,"A, B"
Q01523,X-ray diffraction,4E86,63-94,"A, B, C, D, E, F, G, H, L"
Q01523,X-ray diffraction,4RBW,63-94,"A, B, C, D"
Q01523,X-ray diffraction,4RBX,63-94,A
Q01523,X-ray diffraction,5CUI,63-94,"A, B, C, D, E, F"
Q01523,X-ray diffraction,5CUJ,63-94,"A, B, C, D, E, F"
Q01523,X-ray diffraction,5CUM,63-94,"A, B, C"
Q96FX2,Solution NMR,2JR7,1-81,A
Q5THR3,X-ray diffraction,1WLZ,1160-1260,"A, B, C, D"
Q5THR3,X-ray diffraction,5D67,1160-1260,"A, B, C, D"
