UniProt, domain_start, domain_end, S_over_T_mean, S_over_T_pval, quantile, refoldable, subcellular_localization, average_KD_hydro, A_SASA_count , C_SASA_count , D_SASA_count , E_SASA_count , F_SASA_count , G_SASA_count , H_SASA_count , I_SASA_count , K_SASA_count , L_SASA_count , M_SASA_count , N_SASA_count , P_SASA_count , Q_SASA_count , R_SASA_count , S_SASA_count , T_SASA_count , V_SASA_count , W_SASA_count , Y_SASA_count
O13585, 266, 463, 0.3256, 0.000333, 66, False, golgi apparatus, 3.668, , 5.0, 2.0, 9.0, 6.0, 3.0, 4.0, 3.0, 8.0, 16.0, 13.0, 0, 5.0, 5.0, 8.0, 4.0, 14.0, 7.0, 3.0, 1.0, 5.0
O13585, 508, 803, 0.3256, 0.000333, 66, False, golgi apparatus, 3.203, , 3.0, 2.0, 18.0, 12.0, 4.0, 4.0, 5.0, 9.0, 17.0, 13.0, 2.0, 13.0, 10.0, 10.0, 4.0, 14.0, 2.0, 3.0, 0, 6.0
P00044, 15, 104, 0.2338, 0.000479, 42, nan, mitochondrion intermembrane space, 2.457, , 1.0, 0, 4.0, 5.0, 0, 10.0, 1.0, 1.0, 11.0, 1.0, 0, 3.0, 2.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0, 1.0
P00045, 19, 108, 0.2315, 4.8e-05, 30, nan, mitochondrion intermembrane space, 2.324, , 2.0, 0, 5.0, 5.0, 0, 9.0, 1.0, 1.0, 11.0, 0, 0, 4.0, 2.0, 3.0, 1.0, 1.0, 3.0, 1.0, 0, 1.0
P00330, 7, 345, 0.3861, 0.000352, 78, False, cytoplasm, 3.499, , 11.0, 3.0, 9.0, 14.0, 2.0, 34.0, 4.0, 1.0, 13.0, 4.0, 2.0, 7.0, 6.0, 2.0, 5.0, 7.0, 1.0, 9.0, 0, 3.0
P00331, 7, 345, 0.4739, 0.019982, 90, True, cytoplasm, 3.445, , 11.0, 2.0, 7.0, 15.0, 2.0, 38.0, 4.0, 1.0, 14.0, 5.0, 1.0, 8.0, 9.0, 2.0, 5.0, 10.0, 3.0, 8.0, 0, 3.0
P00358, 2, 328, 0.4964, 0.000225, 90, True, cytoplasm, 3.148, , 9.0, 0, 13.0, 12.0, 1.0, 25.0, 3.0, 2.0, 13.0, 3.0, 0, 4.0, 5.0, 3.0, 4.0, 11.0, 5.0, 5.0, 1.0, 3.0
P00359, 2, 328, 0.5427, 0.001231, 90, False, cytoplasm; mitochondrion, 3.084, , 7.0, 0, 13.0, 12.0, 1.0, 26.0, 3.0, 2.0, 13.0, 3.0, 0, 4.0, 6.0, 2.0, 4.0, 12.0, 6.0, 4.0, 1.0, 3.0
P00360, 2, 328, 0.6142, 0.001306, 90, False, cytoplasm, 3.221, , 6.0, 0, 14.0, 10.0, 2.0, 26.0, 2.0, 2.0, 14.0, 4.0, 0, 1.0, 7.0, 4.0, 5.0, 11.0, 6.0, 6.0, 1.0, 4.0
P00431, 72, 355, 0.4515, 0.000157, 90, True, mitochondrion matrix; mitochondrion intermembrane space, 2.417, , 2.0, 0, 14.0, 10.0, 0, 19.0, 2.0, 1.0, 17.0, 3.0, 0, 10.0, 5.0, 3.0, 1.0, 7.0, 4.0, 1.0, 0, 1.0
P00445, 2, 149, 0.9444, 0.561246, 90, False, cytoplasm; mitochondrion intermembrane space, 3.557, , 5.0, 0, 4.0, 9.0, 2.0, 18.0, 0, 1.0, 9.0, 1.0, 0, 4.0, 6.0, 2.0, 0, 7.0, 4.0, 7.0, 0, 0
P00447, 30, 227, 0.2907, 0.004276, 54, True, mitochondrion matrix, 2.776, , 8.0, 0, 9.0, 9.0, 1.0, 15.0, 0, 1.0, 11.0, 3.0, 0, 7.0, 5.0, 10.0, 2.0, 3.0, 6.0, 1.0, 0, 2.0
P00498, 6, 279, 0.6722, 0.001712, 90, False, cytoplasm, 2.974, , 9.0, 0, 14.0, 11.0, 1.0, 18.0, 1.0, 3.0, 19.0, 6.0, 1.0, 6.0, 3.0, 4.0, 9.0, 13.0, 10.0, 3.0, 0, 0
P00546, 4, 294, 0.2637, 0.00392, 42, nan, , 2.842, , 5.0, 0, 13.0, 9.0, 0, 17.0, 4.0, 5.0, 10.0, 4.0, 0, 3.0, 12.0, 7.0, 13.0, 11.0, 5.0, 3.0, 0, 2.0
P00549, 18, 492, 0.4063, 0.000592, 78, False, , 2.962, , 14.0, 1.0, 17.0, 19.0, 2.0, 30.0, 2.0, 1.0, 24.0, 6.0, 0, 12.0, 14.0, 4.0, 5.0, 8.0, 6.0, 6.0, 0, 3.0
P00560, 6, 413, 0.4099, 0.000154, 78, True, cytoplasm; mitochondrion, 2.774, , 21.0, 0, 19.0, 17.0, 1.0, 34.0, 2.0, 1.0, 30.0, 1.0, 0, 6.0, 8.0, 6.0, 5.0, 4.0, 9.0, 3.0, 0, 0
P00572, 6, 203, 0.387, 2.8e-05, 78, False, , 2.77, , 3.0, 0, 10.0, 8.0, 0, 11.0, 0, 3.0, 13.0, 4.0, 0, 5.0, 2.0, 7.0, 2.0, 4.0, 4.0, 2.0, 1.0, 0
P00635, 30, 454, 0.526, 0.004264, 90, True, secreted, 2.79, , 6.0, 0, 27.0, 11.0, 3.0, 23.0, 0, 2.0, 11.0, 1.0, 1.0, 16.0, 2.0, 2.0, 4.0, 15.0, 15.0, 3.0, 1.0, 4.0
P00724, 26, 514, 0.351, 0.000792, 66, False, secreted; cytoplasm, 3.171, , 15.0, 0, 13.0, 16.0, 5.0, 25.0, 1.0, 2.0, 11.0, 4.0, 0, 20.0, 14.0, 6.0, 2.0, 17.0, 17.0, 3.0, 1.0, 2.0
P00729, 33, 526, 0.2228, 0.011503, 30, True, vacuole lumen, 2.736, , 6.0, 1.0, 24.0, 21.0, 1.0, 24.0, 4.0, 4.0, 16.0, 3.0, 1.0, 12.0, 8.0, 7.0, 3.0, 15.0, 5.0, 5.0, 0, 0
P00812, 5, 327, 0.5696, 0.000746, 90, True, , 2.898, , 6.0, 0, 14.0, 10.0, 0, 26.0, 3.0, 2.0, 16.0, 4.0, 2.0, 7.0, 6.0, 2.0, 2.0, 9.0, 4.0, 1.0, 0, 3.0
P00815, 2, 793, 0.4496, 0.000149, 90, True, , 2.906, , 24.0, 5.0, 32.0, 52.0, 5.0, 47.0, 6.0, 6.0, 45.0, 16.0, 3.0, 21.0, 12.0, 21.0, 12.0, 27.0, 13.0, 7.0, 1.0, 3.0
P00817, 5, 280, 0.5634, 4.9e-05, 90, False, cytoplasm, 2.814, , 6.0, 0, 8.0, 13.0, 2.0, 13.0, 1.0, 4.0, 18.0, 1.0, 0, 4.0, 13.0, 2.0, 2.0, 7.0, 4.0, 1.0, 2.0, 1.0
P00890, 92, 467, 0.3444, 9.3e-05, 66, False, mitochondrion matrix, 3.077, , 13.0, 0, 8.0, 20.0, 1.0, 26.0, 3.0, 1.0, 18.0, 3.0, 0, 4.0, 7.0, 2.0, 4.0, 8.0, 8.0, 5.0, 1.0, 3.0
P00899, 7, 499, 0.4954, 0.000129, 90, True, , 2.791, , 7.0, 0, 20.0, 17.0, 2.0, 25.0, 1.0, 2.0, 18.0, 8.0, 1.0, 10.0, 12.0, 10.0, 7.0, 12.0, 10.0, 2.0, 1.0, 3.0
P00912, 12, 218, 0.4337, 0.014886, 78, nan, , 2.799, , 4.0, 0, 9.0, 10.0, 0, 16.0, 2.0, 1.0, 5.0, 3.0, 0, 10.0, 5.0, 3.0, 4.0, 11.0, 3.0, 2.0, 0, 0
P00924, 5, 432, 0.4726, 0.001756, 90, True, cytoplasm, 2.852, , 12.0, 0, 16.0, 9.0, 0, 27.0, 4.0, 0, 21.0, 2.0, 1.0, 9.0, 3.0, 2.0, 5.0, 11.0, 5.0, 5.0, 1.0, 2.0
P00925, 5, 432, 0.4881, 0.001022, 90, False, cytoplasm, 2.976, , 14.0, 0, 15.0, 12.0, 0, 29.0, 3.0, 0, 20.0, 1.0, 2.0, 11.0, 1.0, 1.0, 5.0, 11.0, 5.0, 7.0, 1.0, 2.0
P00927, 43, 574, 0.3276, 1.2e-05, 66, False, mitochondrion, 2.938, , 6.0, 1.0, 20.0, 15.0, 6.0, 27.0, 8.0, 4.0, 19.0, 8.0, 1.0, 16.0, 15.0, 11.0, 17.0, 15.0, 7.0, 10.0, 0, 3.0
P00931, 1, 687, 0.4403, 0.000298, 78, True, , 2.978, , 13.0, 0, 18.0, 23.0, 2.0, 50.0, 5.0, 3.0, 31.0, 8.0, 1.0, 9.0, 7.0, 9.0, 9.0, 16.0, 10.0, 6.0, 0, 0
P00937, 12, 469, 0.4956, 0.000238, 90, True, , 2.82, , 5.0, 3.0, 12.0, 18.0, 1.0, 28.0, 5.0, 4.0, 24.0, 6.0, 0, 12.0, 12.0, 5.0, 6.0, 17.0, 6.0, 2.0, 1.0, 3.0
P00942, 5, 246, 0.4555, 0.003281, 90, False, , 2.915, , 7.0, 0, 11.0, 9.0, 1.0, 18.0, 1.0, 0, 15.0, 4.0, 0, 4.0, 2.0, 2.0, 2.0, 10.0, 8.0, 1.0, 0, 1.0
P00958, 3, 745, 0.3928, 0.000329, 78, True, cytoplasm, 2.398, , 16.0, 1.0, 32.0, 32.0, 2.0, 27.0, 10.0, 1.0, 44.0, 5.0, 0, 24.0, 9.0, 12.0, 7.0, 25.0, 7.0, 6.0, 0, 4.0
P02381, 87, 269, 0.2489, 0.000449, 42, nan, mitochondrion, 3.066, , 0, 0, 2.0, 1.0, 0, 1.0, 1.0, 9.0, 13.0, 8.0, 9.0, 43.0, 1.0, 1.0, 1.0, 6.0, 3.0, 0, 1.0, 10.0
P02406, 41, 145, 0.2758, 0.003076, 54, False, cytoplasm, 3.339, , 4.0, 0, 5.0, 4.0, 4.0, 9.0, 3.0, 1.0, 9.0, 3.0, 1.0, 2.0, 2.0, 3.0, 5.0, 2.0, 2.0, 4.0, 1.0, 3.0
P02557, 2, 425, 0.1507, 3.8e-05, 6, False, cytoplasm; cytoskeleton, 2.582, , 6.0, 0, 17.0, 14.0, 1.0, 24.0, 4.0, 1.0, 13.0, 2.0, 0, 10.0, 6.0, 12.0, 6.0, 22.0, 2.0, 3.0, 1.0, 1.0
P02829, 15, 227, 0.4059, 9.3e-05, 78, False, cytoplasm, 3.133, , 7.0, 0, 8.0, 20.0, 2.0, 10.0, 0, 4.0, 12.0, 3.0, 0, 4.0, 6.0, 2.0, 3.0, 6.0, 5.0, 5.0, 0, 0
P02829, 268, 670, 0.4059, 9.3e-05, 78, False, cytoplasm, 2.635, , 11.0, 0, 14.0, 33.0, 4.0, 10.0, 1.0, 3.0, 28.0, 6.0, 2.0, 8.0, 5.0, 10.0, 6.0, 15.0, 13.0, 2.0, 1.0, 1.0
P02992, 48, 435, 0.342, 0.000835, 66, True, mitochondrion, 2.727, , 10.0, 0, 16.0, 22.0, 2.0, 29.0, 2.0, 2.0, 14.0, 3.0, 4.0, 7.0, 6.0, 4.0, 12.0, 7.0, 7.0, 1.0, 0, 0
P02994, 7, 436, 0.2293, 2e-06, 30, False, cytoplasm; cytoplasm; cytoskeleton, 2.631, , 10.0, 0, 13.0, 21.0, 1.0, 35.0, 4.0, 2.0, 29.0, 4.0, 1.0, 8.0, 5.0, 7.0, 10.0, 13.0, 3.0, 3.0, 1.0, 1.0
P03874, 4, 623, 0.155, 0.007504, 6, nan, mitochondrion, 2.666, , 16.0, 1.0, 17.0, 30.0, 3.0, 16.0, 3.0, 5.0, 36.0, 5.0, 2.0, 19.0, 10.0, 19.0, 16.0, 27.0, 14.0, 8.0, 0, 3.0
P04046, 1, 485, 0.4071, 0.000208, 78, True, , 2.642, , 6.0, 0, 12.0, 18.0, 1.0, 29.0, 3.0, 3.0, 19.0, 2.0, 2.0, 14.0, 7.0, 8.0, 16.0, 10.0, 10.0, 6.0, 0, 6.0
P04076, 27, 461, 0.4412, 3.4e-05, 90, True, , 2.927, , 11.0, 0, 15.0, 25.0, 3.0, 34.0, 6.0, 0, 15.0, 8.0, 2.0, 7.0, 7.0, 7.0, 9.0, 10.0, 11.0, 3.0, 0, 2.0
P04147, 39, 419, 0.1874, 9.8e-05, 18, False, nucleus; cytoplasm, 2.606, , 15.0, 0, 18.0, 28.0, 0, 23.0, 3.0, 4.0, 30.0, 7.0, 3.0, 13.0, 10.0, 17.0, 15.0, 18.0, 10.0, 3.0, 1.0, 8.0
P04161, 3, 209, 0.4857, 0.000475, 90, True, , 2.896, , 5.0, 1.0, 7.0, 12.0, 0, 12.0, 2.0, 3.0, 14.0, 2.0, 1.0, 3.0, 5.0, 8.0, 1.0, 5.0, 5.0, 3.0, 0, 3.0
P04173, 5, 362, 0.3401, 0.004043, 66, nan, cytoplasm, 2.914, , 8.0, 0, 20.0, 12.0, 0, 22.0, 3.0, 1.0, 20.0, 4.0, 1.0, 6.0, 10.0, 6.0, 2.0, 6.0, 6.0, 8.0, 1.0, 0
P04387, 18, 418, 0.3506, 0.011296, 66, nan, , 2.968, , 8.0, 0, 8.0, 14.0, 3.0, 29.0, 2.0, 3.0, 16.0, 5.0, 2.0, 13.0, 13.0, 12.0, 8.0, 13.0, 8.0, 3.0, 1.0, 1.0
P04786, 131, 760, 0.2086, 0.0, 30, True, nucleus; nucleoplasm; nucleus; nucleolus, 2.281, , 9.0, 0, 27.0, 42.0, 3.0, 23.0, 4.0, 3.0, 54.0, 9.0, 0, 14.0, 18.0, 17.0, 22.0, 13.0, 15.0, 8.0, 0, 2.0
P04801, 40, 727, 0.3516, 0.00145, 66, False, cytoplasm, 2.561, , 15.0, 0, 26.0, 44.0, 2.0, 42.0, 3.0, 4.0, 39.0, 4.0, 6.0, 16.0, 9.0, 12.0, 15.0, 18.0, 10.0, 5.0, 1.0, 3.0
P04802, 74, 196, 0.5121, 0.000329, 90, True, cytoplasm, 2.423, , 3.0, 0, 6.0, 5.0, 0, 5.0, 1.0, 2.0, 12.0, 2.0, 0, 4.0, 2.0, 5.0, 5.0, 4.0, 4.0, 1.0, 0, 1.0
P04802, 230, 550, 0.5121, 0.000329, 90, True, cytoplasm, 2.739, , 9.0, 0, 13.0, 22.0, 3.0, 21.0, 5.0, 1.0, 15.0, 3.0, 0, 2.0, 8.0, 2.0, 7.0, 9.0, 5.0, 2.0, 0, 4.0
P04803, 20, 146, 0.2067, 0.00613, 30, nan, mitochondrion matrix, 3.813, , 7.0, 1.0, 2.0, 6.0, 2.0, 7.0, 5.0, 1.0, 4.0, 9.0, 3.0, 3.0, 4.0, 4.0, 4.0, 7.0, 5.0, 1.0, 2.0, 0
P04803, 174, 376, 0.2067, 0.00613, 30, nan, mitochondrion matrix, 2.912, , 6.0, 0, 8.0, 15.0, 2.0, 5.0, 5.0, 2.0, 19.0, 6.0, 3.0, 5.0, 5.0, 3.0, 7.0, 11.0, 4.0, 5.0, 0, 2.0
P04806, 23, 472, 0.425, 0.000257, 78, True, , 2.281, , 3.0, 0, 22.0, 17.0, 2.0, 30.0, 5.0, 0, 28.0, 2.0, 1.0, 13.0, 10.0, 8.0, 5.0, 10.0, 13.0, 1.0, 0, 1.0
P04807, 23, 474, 0.3875, 0.000381, 78, False, , 2.384, , 4.0, 0, 21.0, 19.0, 3.0, 27.0, 2.0, 2.0, 21.0, 1.0, 1.0, 14.0, 13.0, 13.0, 6.0, 11.0, 13.0, 1.0, 0, 1.0
P04819, 141, 747, 0.3071, 2.6e-05, 54, nan, nucleus; mitochondrion, 2.463, , 8.0, 0, 33.0, 25.0, 2.0, 34.0, 1.0, 2.0, 36.0, 7.0, 3.0, 16.0, 9.0, 14.0, 14.0, 19.0, 16.0, 3.0, 0, 3.0
P05066, 25, 560, 0.1899, 0.000316, 18, nan, nucleus; mitochondrion, 2.458, , 5.0, 1.0, 9.0, 21.0, 1.0, 19.0, 4.0, 4.0, 29.0, 4.0, 1.0, 17.0, 10.0, 12.0, 8.0, 15.0, 9.0, 2.0, 1.0, 3.0
P05150, 12, 333, 0.5412, 0.012548, 90, nan, cytoplasm, 2.716, , 5.0, 0, 12.0, 12.0, 2.0, 13.0, 4.0, 2.0, 16.0, 5.0, 2.0, 11.0, 3.0, 7.0, 3.0, 8.0, 5.0, 2.0, 0, 2.0
P05317, 11, 196, 0.2681, 1.8e-05, 54, False, cytoplasm, 3.007, , 6.0, 0, 6.0, 10.0, 3.0, 15.0, 1.0, 1.0, 10.0, 1.0, 2.0, 9.0, 5.0, 4.0, 7.0, 9.0, 4.0, 5.0, 1.0, 0
P05373, 27, 337, 0.4773, 0.000233, 90, True, , 2.899, , 8.0, 2.0, 13.0, 9.0, 2.0, 19.0, 1.0, 2.0, 9.0, 2.0, 1.0, 8.0, 8.0, 4.0, 10.0, 5.0, 6.0, 2.0, 1.0, 2.0
P05453, 238, 680, 0.2175, 0.000371, 30, False, cytoplasm, 2.609, , 8.0, 0, 16.0, 27.0, 1.0, 34.0, 3.0, 3.0, 29.0, 1.0, 3.0, 13.0, 8.0, 5.0, 5.0, 7.0, 9.0, 5.0, 0, 2.0
P05694, 2, 764, 0.3422, 7.6e-05, 66, False, , 2.615, , 29.0, 0, 29.0, 32.0, 2.0, 34.0, 2.0, 0, 42.0, 3.0, 0, 16.0, 10.0, 9.0, 3.0, 15.0, 15.0, 2.0, 0, 2.0
P05737, 43, 239, 0.2805, 0.001361, 54, False, cytoplasm, 3.115, , 9.0, 0, 2.0, 9.0, 2.0, 12.0, 1.0, 6.0, 18.0, 3.0, 0, 5.0, 6.0, 6.0, 7.0, 6.0, 3.0, 2.0, 0, 3.0
P05738, 6, 186, 0.2086, 0.001555, 30, False, cytoplasm, 2.795, , 4.0, 0, 5.0, 6.0, 3.0, 11.0, 4.0, 4.0, 14.0, 1.0, 0, 10.0, 4.0, 5.0, 7.0, 5.0, 8.0, 3.0, 0, 0
P05740, 13, 152, 0.2544, 0.004529, 42, True, cytoplasm, 2.248, , 6.0, 0, 2.0, 5.0, 0, 8.0, 3.0, 1.0, 11.0, 0, 0, 4.0, 1.0, 5.0, 11.0, 8.0, 3.0, 0, 0, 3.0
P05743, 19, 118, 0.2426, 0.001902, 42, True, cytoplasm, 3.058, , 4.0, 0, 3.0, 4.0, 1.0, 5.0, 1.0, 0, 12.0, 4.0, 0, 2.0, 2.0, 2.0, 4.0, 7.0, 2.0, 3.0, 0, 1.0
P05744, 8, 102, 0.1455, 0.006649, 6, True, cytoplasm, 3.053, , 2.0, 0, 1.0, 2.0, 1.0, 8.0, 0, 1.0, 7.0, 2.0, 0, 5.0, 1.0, 2.0, 8.0, 5.0, 1.0, 4.0, 0, 1.0
P05748, 98, 190, 0.1654, 0.00275, 6, False, cytoplasm, 2.426, , 7.0, 0, 4.0, 1.0, 0, 6.0, 3.0, 1.0, 9.0, 0, 0, 6.0, 1.0, 2.0, 10.0, 2.0, 3.0, 1.0, 2.0, 4.0
P05749, 15, 107, 0.2757, 0.002486, 54, False, cytoplasm, 2.738, , 3.0, 0, 5.0, 4.0, 0, 6.0, 0, 0, 9.0, 0, 0, 5.0, 0, 1.0, 2.0, 5.0, 7.0, 3.0, 1.0, 2.0
P05750, 17, 191, 0.264, 8.9e-05, 42, False, cytoplasm, 2.908, , 9.0, 0, 5.0, 7.0, 1.0, 14.0, 2.0, 0, 8.0, 4.0, 0, 4.0, 4.0, 4.0, 13.0, 3.0, 4.0, 3.0, 0, 4.0
P05755, 23, 174, 0.1557, 0.000317, 6, False, nucleus; nucleolus; cytoplasm, 2.697, , 5.0, 0, 8.0, 5.0, 3.0, 9.0, 3.0, 1.0, 13.0, 5.0, 0, 3.0, 4.0, 3.0, 14.0, 5.0, 3.0, 2.0, 0, 3.0
P05756, 33, 129, 0.2378, 0.009065, 42, False, cytoplasm, 2.56, , 2.0, 0, 3.0, 3.0, 1.0, 5.0, 3.0, 4.0, 10.0, 0, 0, 3.0, 1.0, 3.0, 12.0, 4.0, 1.0, 3.0, 0, 4.0
P05986, 76, 391, 0.3335, 0.001104, 66, nan, , 2.626, , 1.0, 0, 8.0, 15.0, 1.0, 16.0, 3.0, 2.0, 11.0, 4.0, 2.0, 10.0, 11.0, 10.0, 8.0, 12.0, 4.0, 3.0, 0, 6.0
P06101, 30, 170, 0.4729, 0.001052, 90, True, cytoplasm, 2.104, , 4.0, 0, 12.0, 11.0, 1.0, 2.0, 2.0, 2.0, 18.0, 1.0, 1.0, 6.0, 3.0, 5.0, 2.0, 5.0, 1.0, 1.0, 1.0, 0
P06101, 224, 471, 0.4729, 0.001052, 90, True, cytoplasm, 2.469, , 2.0, 0, 19.0, 29.0, 2.0, 5.0, 2.0, 3.0, 26.0, 8.0, 8.0, 9.0, 8.0, 5.0, 2.0, 7.0, 3.0, 1.0, 0, 2.0
P06102, 6, 249, 0.1572, 7e-05, 6, True, nucleus; cytoplasm, 2.285, , 8.0, 0, 20.0, 19.0, 0, 2.0, 1.0, 3.0, 22.0, 5.0, 0, 9.0, 4.0, 12.0, 9.0, 16.0, 6.0, 2.0, 0, 3.0
P06102, 593, 784, 0.1572, 7e-05, 6, True, nucleus; cytoplasm, 3.065, , 1.0, 2.0, 10.0, 11.0, 5.0, 6.0, 0, 4.0, 9.0, 2.0, 2.0, 5.0, 3.0, 5.0, 8.0, 11.0, 3.0, 4.0, 0, 1.0
P06103, 73, 732, 0.2936, 4e-06, 54, False, cytoplasm, 2.948, , 17.0, 0, 23.0, 33.0, 8.0, 28.0, 5.0, 5.0, 41.0, 11.0, 7.0, 21.0, 17.0, 8.0, 22.0, 20.0, 15.0, 12.0, 1.0, 4.0
P06104, 6, 151, 0.4048, 0.01222, 78, True, nucleus; cytoplasm, 2.159, , 4.0, 0, 10.0, 11.0, 0, 3.0, 2.0, 0, 6.0, 1.0, 1.0, 7.0, 3.0, 2.0, 5.0, 5.0, 3.0, 1.0, 1.0, 1.0
P06106, 5, 438, 0.4315, 2.8e-05, 78, True, cytoplasm, 3.101, , 11.0, 0, 11.0, 20.0, 6.0, 36.0, 6.0, 3.0, 21.0, 7.0, 0, 10.0, 7.0, 4.0, 5.0, 12.0, 8.0, 2.0, 0, 3.0
P06115, 31, 426, 0.4299, 0.019715, 78, nan, cytoplasm, 3.194, , 6.0, 0, 17.0, 12.0, 8.0, 25.0, 6.0, 6.0, 12.0, 5.0, 1.0, 9.0, 13.0, 11.0, 6.0, 12.0, 11.0, 4.0, 1.0, 7.0
P06168, 58, 387, 0.3382, 0.000821, 66, False, mitochondrion, 2.854, , 9.0, 1.0, 15.0, 21.0, 1.0, 25.0, 2.0, 2.0, 19.0, 4.0, 3.0, 7.0, 7.0, 4.0, 11.0, 10.0, 9.0, 5.0, 1.0, 5.0
P06169, 4, 333, 0.3812, 8.1e-05, 78, False, nucleus; cytoplasm, 3.297, , 15.0, 0, 13.0, 8.0, 2.0, 19.0, 1.0, 1.0, 15.0, 10.0, 1.0, 9.0, 8.0, 6.0, 3.0, 7.0, 6.0, 1.0, 0, 2.0
P06169, 365, 555, 0.3812, 8.1e-05, 78, False, nucleus; cytoplasm, 2.849, , 2.0, 0, 6.0, 8.0, 1.0, 16.0, 1.0, 1.0, 7.0, 3.0, 0, 5.0, 3.0, 8.0, 2.0, 6.0, 6.0, 1.0, 2.0, 2.0
P06174, 6, 271, 0.3537, 1e-05, 66, True, , 2.742, , 4.0, 1.0, 13.0, 13.0, 1.0, 13.0, 3.0, 5.0, 14.0, 3.0, 0, 11.0, 10.0, 5.0, 7.0, 10.0, 8.0, 3.0, 0, 1.0
P06208, 61, 599, 0.4134, 0.000257, 78, True, cytoplasm; mitochondrion, 2.654, , 11.0, 0, 25.0, 30.0, 2.0, 30.0, 3.0, 3.0, 17.0, 3.0, 1.0, 16.0, 7.0, 12.0, 16.0, 22.0, 9.0, 8.0, 0, 5.0
P06242, 6, 289, 0.2593, 0.00281, 42, nan, nucleus, 3.062, , 5.0, 1.0, 13.0, 10.0, 1.0, 11.0, 3.0, 5.0, 12.0, 2.0, 3.0, 4.0, 8.0, 6.0, 5.0, 7.0, 8.0, 4.0, 0, 4.0
P06243, 15, 182, 0.2188, 0.001486, 30, nan, , 3.207, , 2.0, 0, 5.0, 7.0, 1.0, 10.0, 3.0, 10.0, 10.0, 2.0, 0, 4.0, 3.0, 2.0, 8.0, 4.0, 5.0, 1.0, 1.0, 5.0
P06243, 284, 476, 0.2188, 0.001486, 30, nan, , 3.435, , 6.0, 0, 10.0, 10.0, 1.0, 9.0, 1.0, 4.0, 8.0, 8.0, 2.0, 5.0, 3.0, 5.0, 4.0, 7.0, 6.0, 3.0, 1.0, 4.0
