Protein, Rep1_Rg, Rep2_Rg, Rep3_Rg, Rep4_Rg, Rep5_Rg, Average_Rg, Stdev_Rg, 
Nup1573_frag,23.10250527,23.26378434,23.29661474,23.15940648,23.1935579,23.20317374,0.078337482, 
Nup49,17.11566354,17.18806541,17.22311586,17.07232783,17.08362696,17.13655992,0.066160911, 
p27_v14,26.89998197,26.93703769,26.87740434,26.9006466,26.99815286,26.92264469,0.047309743, 
p27_v15,27.28296805,27.14980275,27.14781678,26.96243484,26.94222313,27.09704911,0.143194137, 
p27_v44,25.96435069,26.08488082,26.10481482,25.89311225,26.0247667,26.01438506,0.087271852, 
p27_v56,25.57373033,25.54493922,25.5885522,25.71585063,25.57497289,25.59960905,0.066895062, 
p27_v78,25.15942382,25.13312827,25.22498084,25.06197812,25.17121186,25.15014458,0.059567778, 
p27_WT_v31,26.48998818,26.83532962,26.74080852,26.83223489,26.63459548,26.70659134,0.146313871, 
p531_91,24.52163794,24.77620485,24.60671747,24.59180469,24.74340089,24.64795317,0.107665378, 
PAGE4_WT,27.19692087,27.15084629,26.80408015,26.93654447,26.96509588,27.01069753,0.161701684, 
Pertactin_NTD,27.30307457,27.28180321,27.19715825,27.34756204,27.2647955,27.27887871,0.055199554, 
PNt,27.37546928,27.45382898,27.42188337,27.35028493,27.58308828,27.43691097,0.091048074, 
PPI2,27.42007855,27.38672346,27.36829936,27.31867789,27.43801,27.38635785,0.046668644, 
ProTa,42.1334328,41.90574501,41.88476843,41.92984429,42.14678113,42.00011433,0.128873085, 
redAFP,23.17505747,23.10245235,23.04484801,22.99487364,23.20259262,23.10396482,0.086861355, 
Reduced_RnaseH,28.31488535,28.44813955,28.76948565,28.4843796,28.40399685,28.4841774,0.17160149, 
RpII215_gibbs,23.20909338,23.12495767,23.05658992,22.86302765,23.16634885,23.0840035,0.135727034, 
RpII215_portz,31.31337884,31.19937264,31.26579181,31.32280006,31.27614398,31.27549747,0.048893099, 
sfAFP,22.94476896,23.20364843,22.96229907,23.00253974,22.96313968,23.01527918,0.107403887, 
Sic1,25.95808798,25.96789234,26.00444091,26.0049769,26.12373913,26.01182745,0.066037754, 
snowflea_anti,23.22026963,23.14230358,22.98057823,23.16303463,23.02758012,23.10675324,0.099380466, 
Swap1,27.41787695,27.51395356,27.36467873,27.36807287,27.45791744,27.42449991,0.063097415, 
Swap3,27.47129373,27.39990078,27.32076525,27.43787302,27.42177363,27.41032128,0.056428638, 
Swap4,27.44835001,27.46721625,27.48828147,27.49106993,27.57217592,27.49341872,0.047308465, 
Swap4_1,27.35808542,27.44667488,27.46802012,27.54305477,27.42438487,27.44804401,0.067231441, 
Swap5,27.72593642,27.66210431,27.67712858,27.77531883,27.79334109,27.72676585,0.057955403, 
Swap6,27.63646174,27.50077019,27.47852398,27.50340979,27.5442907,27.53269128,0.062676379, 
Tau_ht23,31.41963003,31.35805959,31.37783078,31.58896694,31.50891884,31.45068124,0.096649743, 
Tau_ht23_AT8_AT100,31.02169489,30.91047407,30.98646644,31.09976525,31.11798643,31.02727742,0.084885709, 
Tau_ht23_S214E,31.19318333,31.24631233,31.30373756,31.1721272,31.28278713,31.23962951,0.056415628, 
Tau_ht40,32.16837693,32.44369475,32.30393587,32.39217083,32.34021857,32.32967939,0.1045191, 
Tau_K10,28.38609533,28.28478175,28.39846806,28.40809612,28.32485565,28.36045938,0.05330537, 
Tau_K16,30.16398353,30.22746129,30.16441699,29.97958187,30.40856578,30.18880189,0.153927181, 
Tau_K17,28.96327546,28.72499068,28.91631453,29.00473333,28.98584345,28.91903149,0.113385832, 
Tau_K18,27.7373371,28.07646708,27.80078559,27.87391353,27.75847916,27.84939649,0.137248336, 
Tau_K18_delK280_I277P_I308P,27.682975,27.65624553,27.5251014,27.57228488,27.85151773,27.65762491,0.125582997, 
Tau_K18_P301L,28.04305989,27.88275201,27.87584228,27.75349169,27.8793778,27.88690474,0.102931717, 
Tau_K19,25.37036312,25.46394967,25.44365222,25.34445082,25.55838541,25.43616025,0.084420458, 
Tau_K23,30.86498259,30.89805451,30.92161236,30.75994262,30.71928519,30.83277545,0.08856539, 
Tau_K25,29.50764904,29.38593245,29.60169353,29.45229606,29.52720208,29.49495463,0.081086108, 
Tau_K27,29.34651243,29.35098455,29.53415991,29.36364679,29.38983593,29.39702792,0.078490465, 
Tau_K32,30.62698987,30.56210342,30.4448124,30.33155562,30.36276943,30.46564615,0.126820478, 
Tau_K32_AT8_AT100,29.63938252,29.76952468,29.70071838,29.74712155,29.6224127,29.69583197,0.064540769, 
Tau_K44,30.97708019,30.88639497,31.2105396,31.1499074,31.07518715,31.05982186,0.130374851, 
VSV_P,22.28315577,22.2775737,22.14678423,22.29922334,22.27582171,22.25651175,0.062029814, 
RS-peptide,12.34364262,12.31389412,12.31264366,12.32779681,12.32463069,12.32452158,0.012553698, 
P1_100,24.80340444,25.10500515,24.98249106,25.12963748,25.11685154,25.02747793,0.138444424, 
DSS1,25.04111269,25.08011566,24.98827199,25.10034366,24.95304561,25.03257792,0.061671059, 
GHR_ICD,30.82477682,30.71277539,30.79796332,30.66395336,30.81231421,30.76235662,0.070358688, 
NHE6cmdd,26.757341,26.59030406,26.49398494,26.6833213,26.66339422,26.6376691,0.099944803, 
ANAC046,27.97869853,27.94471992,28.01538039,28.04898508,28.04108256,28.00577329,0.043780294, 
stath_NTD,10.07609598,10.08678717,10.08993796,10.07056505,10.084728,10.08162283,0.008035462, 
A1_Aro_minus,29.60972071,29.70602208,29.60056128,29.63716614,29.55603289,29.62190062,0.05534377, 
A1_Aro_minus_minus,32.23916458,32.15771963,32.17314953,32.27397521,32.14460076,32.19772194,0.056031022, 
A1_Aro_plus,25.85999915,26.06344694,25.85300672,25.77825084,25.857512,25.88244313,0.106782732, 
HeV_PNT3_CTD_200_254,21.68176054,21.63399124,21.71614765,21.54206759,21.45377124,21.60554765,0.107139628, 
HeV_PNT3_200_310_YYY_AAA,28.48292953,28.37737951,28.60974665,28.46419577,28.42317299,28.47148489,0.08730734, 
HeV_PNT3_200_310_WT,28.53731061,28.53518067,28.71899452,28.73091244,28.53459191,28.61139803,0.103752001, 
NiV_PNT3_200_314_WT,28.57044363,28.5211289,28.39222873,28.54007129,28.53851128,28.51247676,0.069523128, 
red1_288_345,23.32804562,23.30169293,23.30099987,23.27694848,23.34164304,23.30986599,0.025343884, 
p150L_342_475,28.03524737,28.09680383,28.04734767,27.82628407,27.94679466,27.99049552,0.106549891, 
E1A_2022,27.62318132,27.75329369,27.65720504,27.49945607,27.76615324,27.65985787,0.10852408, 
EIF_450_1_249,32.365583,32.50312194,32.30044695,32.26519575,32.33552322,32.35397417,0.091469981, 
TIF2_624_774,29.31592321,29.24949725,29.36251227,29.22814535,29.59381829,29.34997928,0.146385194, 
IR_CTD,28.93993596,28.96964162,28.89531706,28.89036838,28.98947518,28.93694764,0.043987789, 
Tau_ht35_2022,30.94280534,30.77625929,30.87752002,30.94120478,31.11782542,30.93112297,0.124450755, 
Tau_ht410_2N3R,32.27360599,32.09935722,32.19706961,32.19103041,32.06833582,32.16587981,0.082386847, 
Tau_ht410_2N4R,32.31290952,32.50065322,32.37584385,32.3414449,32.45467148,32.39710459,0.078541543, 
SMAD_linker,25.84862108,26.12766537,26.03579814,26.01477473,26.06357097,26.01808606,0.103826254, 
MenV_LBD,19.5512612,19.52162668,19.50353648,19.44581297,19.48661521,19.50177051,0.039394302, 
syndecan3_ED,31.02003825,30.97657622,31.00092763,31.0658507,31.18039501,31.04875756,0.080534531, 
syndecan4,31.96367603,32.00677493,32.09779931,31.96150576,31.97017218,31.99998564,0.057666149, 
N_FATZ_1,28.44450903,28.47748439,28.46928177,28.4593915,28.35219828,28.44057299,0.050907671, 
DeltaN_FATZ_1,26.72698722,26.75751438,26.7443084,26.69655236,26.73852465,26.7327774,0.023041771, 
histatin_2021,13.81272098,13.74279667,13.74884087,13.70167374,13.84448041,13.77010253,0.057507759, 
UL11,24.70512891,24.51682557,24.60268075,24.53314445,24.71563673,24.61468328,0.093194398, 
GON7_NTD,26.5196333,26.40702704,26.27721328,26.51244289,26.37427949,26.4181192,0.101367531, 
Bmal1_CTD_P624A,25.40406473,25.52006365,25.61724805,25.44581601,25.57640591,25.51271967,0.088484531, 
NID_2059_2325,30.24807829,30.4080126,30.28548852,30.30422237,30.30544067,30.31024849,0.05936211, 
MAP2c,32.06644586,32.00766556,32.01277879,32.17244996,32.07160421,32.06618887,0.066329528, 
TRF2_BR,19.17776178,18.96579826,18.99608661,19.05572574,19.10204694,19.05948387,0.084574833, 
