chr	track	poi	end	ext_start	ext_end	value	origin
chrI	83	70902	70903	70879	71029	70954	Pugh-Chip-exo
chrI	84	70940	70941	70879	71029	70954	Pugh-Chip-exo
chrI	85	71004	71005	70879	71029	70954	Pugh-Chip-exo
chrI	83	70902	70903	70893	71043	70968	SLiM-ChIP
chrI	84	70940	70941	70893	71043	70968	SLiM-ChIP
chrI	85	71004	71005	70893	71043	70968	SLiM-ChIP
chrI	84	70940	70941	70929	71079	71004	Henikoff-ChEC
chrI	85	71004	71005	70929	71079	71004	Henikoff-ChEC
chrI	86	71084	71085	71009	71159	71084	Henikoff-ChEC
chrI	87	71182	71183	71107	71257	71182	Pugh-Chip-exo
chrI	87	71182	71183	71119	71269	71194	Henikoff-ChEC
chrI	88	71440	71441	71365	71515	71440	Henikoff-ChEC
chrI	89	73060	73061	72985	73135	73060	Pugh-Chip-exo
chrI	90	76268	76269	76193	76343	76268	Henikoff-ChEC
chrI	91	76289	76290	76193	76343	76268	Henikoff-ChEC
chrI	90	76268	76269	76214	76364	76289	Hahn-ChEC
chrI	91	76289	76290	76214	76364	76289	Hahn-ChEC
chrI	90	76268	76269	76231	76381	76306	SLiM-ChIP
chrI	91	76289	76290	76231	76381	76306	SLiM-ChIP
chrI	92	80472	80473	80397	80547	80472	Henikoff-ChEC
chrI	93	80840	80841	80765	80915	80840	Henikoff-ChEC
chrI	94	84377	84378	84302	84452	84377	Henikoff-ChEC
chrI	95	84556	84557	84481	84631	84556	Hahn-ChEC
chrI	96	84608	84609	84481	84631	84556	Hahn-ChEC
chrI	95	84556	84557	84533	84683	84608	Henikoff-ChEC
chrI	96	84608	84609	84533	84683	84608	Henikoff-ChEC
chrI	97	84784	84785	84709	84859	84784	Henikoff-ChEC
chrI	98	86940	86941	86865	87015	86940	Henikoff-ChEC
chrI	99	87116	87117	87041	87191	87116	Henikoff-ChEC
chrI	100	87162	87163	87041	87191	87116	Henikoff-ChEC
chrI	99	87116	87117	87087	87237	87162	SLiM-ChIP
chrI	100	87162	87163	87087	87237	87162	SLiM-ChIP
chrI	101	87227	87228	87087	87237	87162	SLiM-ChIP
chrI	100	87162	87163	87152	87302	87227	Henikoff-ChEC
chrI	101	87227	87228	87152	87302	87227	Henikoff-ChEC
chrI	102	87391	87392	87316	87466	87391	Henikoff-ChEC
chrI	103	87772	87773	87697	87847	87772	Henikoff-ChEC
chrI	104	92372	92373	92297	92447	92372	Henikoff-ChEC
chrI	105	92668	92669	92593	92743	92668	Henikoff-ChEC
chrI	105	92668	92669	92603	92753	92678	Hahn-ChEC
chrI	106	92808	92809	92733	92883	92808	Henikoff-ChEC
chrI	107	92978	92979	92903	93053	92978	Henikoff-ChEC
chrI	108	101346	101347	101271	101421	101346	Henikoff-ChEC
chrI	109	108760	108761	108685	108835	108760	SLiM-ChIP
chrI	110	108796	108797	108685	108835	108760	SLiM-ChIP
chrI	109	108760	108761	108721	108871	108796	Pugh-Chip-exo
chrI	110	108796	108797	108721	108871	108796	Pugh-Chip-exo
chrI	109	108760	108761	108721	108871	108796	Henikoff-ChEC
chrI	110	108796	108797	108721	108871	108796	Henikoff-ChEC
chrI	111	109030	109031	108955	109105	109030	Henikoff-ChEC
chrI	112	113278	113279	113203	113353	113278	Henikoff-ChEC
chrI	113	113442	113443	113367	113517	113442	Henikoff-ChEC
chrI	114	124112	124113	124037	124187	124112	Henikoff-ChEC
chrI	115	124509	124510	124434	124584	124509	Henikoff-ChEC
chrI	116	124603	124604	124528	124678	124603	Hahn-ChEC
chrI	117	124642	124643	124528	124678	124603	Hahn-ChEC
chrI	118	124667	124668	124528	124678	124603	Hahn-ChEC
chrI	116	124603	124604	124567	124717	124642	Pugh-Chip-exo
chrI	117	124642	124643	124567	124717	124642	Pugh-Chip-exo
chrI	118	124667	124668	124567	124717	124642	Pugh-Chip-exo
chrI	119	124712	124713	124567	124717	124642	Pugh-Chip-exo
chrI	116	124603	124604	124592	124742	124667	Henikoff-ChEC
chrI	117	124642	124643	124592	124742	124667	Henikoff-ChEC
chrI	118	124667	124668	124592	124742	124667	Henikoff-ChEC
chrI	119	124712	124713	124592	124742	124667	Henikoff-ChEC
chrI	117	124642	124643	124607	124757	124682	Pugh-Chip-exo
chrI	118	124667	124668	124607	124757	124682	Pugh-Chip-exo
chrI	119	124712	124713	124607	124757	124682	Pugh-Chip-exo
chrI	117	124642	124643	124637	124787	124712	Henikoff-ChEC
chrI	118	124667	124668	124637	124787	124712	Henikoff-ChEC
chrI	119	124712	124713	124637	124787	124712	Henikoff-ChEC
chrI	118	124667	124668	124647	124797	124722	SLiM-ChIP
chrI	119	124712	124713	124647	124797	124722	SLiM-ChIP
chrI	120	128124	128125	128049	128199	128124	Henikoff-ChEC
chrI	121	130378	130379	130303	130453	130378	Henikoff-ChEC
chrI	122	130554	130555	130479	130629	130554	Henikoff-ChEC
chrI	123	130598	130599	130479	130629	130554	Henikoff-ChEC
chrI	122	130554	130555	130523	130673	130598	SLiM-ChIP
chrI	123	130598	130599	130523	130673	130598	SLiM-ChIP
chrI	124	132070	132071	131995	132145	132070	Henikoff-ChEC
chrI	125	132102	132103	131995	132145	132070	Henikoff-ChEC
chrI	126	132140	132141	131995	132145	132070	Henikoff-ChEC
chrI	124	132070	132071	132027	132177	132102	SLiM-ChIP
chrI	125	132102	132103	132027	132177	132102	SLiM-ChIP
chrI	126	132140	132141	132027	132177	132102	SLiM-ChIP
chrI	124	132070	132071	132065	132215	132140	Henikoff-ChEC
chrI	125	132102	132103	132065	132215	132140	Henikoff-ChEC
chrI	126	132140	132141	132065	132215	132140	Henikoff-ChEC
chrI	127	132256	132257	132181	132331	132256	Pugh-Chip-exo
chrI	128	136816	136817	136741	136891	136816	Henikoff-ChEC
chrI	129	138506	138507	138431	138581	138506	SLiM-ChIP
chrI	130	138554	138555	138431	138581	138506	SLiM-ChIP
chrI	129	138506	138507	138479	138629	138554	Henikoff-ChEC
chrI	130	138554	138555	138479	138629	138554	Henikoff-ChEC
chrI	131	138741	138742	138666	138816	138741	Henikoff-ChEC
chrI	132	138907	138908	138832	138982	138907	Henikoff-ChEC
chrI	133	139076	139077	139001	139151	139076	Henikoff-ChEC
chrI	134	139166	139167	139091	139241	139166	Henikoff-ChEC
chrI	135	139274	139275	139199	139349	139274	Henikoff-ChEC
chrI	136	141623	141624	141548	141698	141623	Henikoff-ChEC
chrI	137	141702	141703	141627	141777	141702	Henikoff-ChEC
chrI	138	141790	141791	141715	141865	141790	Pugh-Chip-exo
chrI	139	141813	141814	141715	141865	141790	Pugh-Chip-exo
chrI	138	141790	141791	141738	141888	141813	Henikoff-ChEC
chrI	139	141813	141814	141738	141888	141813	Henikoff-ChEC
chrI	140	141867	141868	141738	141888	141813	Henikoff-ChEC
chrI	139	141813	141814	141792	141942	141867	Hahn-ChEC
chrI	140	141867	141868	141792	141942	141867	Hahn-ChEC
chrI	141	141912	141913	141792	141942	141867	Hahn-ChEC
chrI	139	141813	141814	141801	141951	141876	Henikoff-ChEC
chrI	140	141867	141868	141801	141951	141876	Henikoff-ChEC
chrI	141	141912	141913	141801	141951	141876	Henikoff-ChEC
chrI	140	141867	141868	141837	141987	141912	Hahn-ChEC
chrI	141	141912	141913	141837	141987	141912	Hahn-ChEC
chrI	140	141867	141868	141842	141992	141917	Henikoff-ChEC
chrI	141	141912	141913	141842	141992	141917	Henikoff-ChEC
chrI	142	142070	142071	141995	142145	142070	Henikoff-ChEC
chrI	143	143472	143473	143397	143547	143472	SLiM-ChIP
chrI	144	143560	143561	143485	143635	143560	Henikoff-ChEC
chrI	145	151288	151289	151213	151363	151288	Henikoff-ChEC
chrI	146	151452	151453	151377	151527	151452	Henikoff-ChEC
chrI	147	151620	151621	151545	151695	151620	Henikoff-ChEC
chrI	148	152078	152079	152003	152153	152078	Henikoff-ChEC
chrI	149	152184	152185	152109	152259	152184	Henikoff-ChEC
chrI	150	154916	154917	154841	154991	154916	Henikoff-ChEC
chrI	151	155068	155069	154993	155143	155068	Henikoff-ChEC
chrI	152	165548	165549	165473	165623	165548	Henikoff-ChEC
chrI	153	165770	165771	165695	165845	165770	Henikoff-ChEC
chrI	154	166036	166037	165961	166111	166036	Henikoff-ChEC
chrI	155	166114	166115	166039	166189	166114	Henikoff-ChEC
chrI	156	166210	166211	166135	166285	166210	Henikoff-ChEC
chrI	157	166296	166297	166221	166371	166296	Henikoff-ChEC
chrI	158	166380	166381	166305	166455	166380	Henikoff-ChEC
chrI	159	169696	169697	169621	169771	169696	Henikoff-ChEC
chrI	160	171808	171809	171733	171883	171808	Henikoff-ChEC
chrI	161	172036	172037	171961	172111	172036	Henikoff-ChEC
chrI	162	175260	175261	175185	175335	175260	Henikoff-ChEC
chrI	163	175428	175429	175353	175503	175428	Henikoff-ChEC
chrI	164	180192	180193	180117	180267	180192	Henikoff-ChEC
chrI	165	180522	180523	180447	180597	180522	Henikoff-ChEC
chrI	166	180702	180703	180627	180777	180702	Henikoff-ChEC
chrI	167	180872	180873	180797	180947	180872	Henikoff-ChEC
chrI	168	181050	181051	180975	181125	181050	Henikoff-ChEC
chrI	169	181086	181087	180975	181125	181050	Henikoff-ChEC
chrI	168	181050	181051	181011	181161	181086	Henikoff-ChEC
chrI	169	181086	181087	181011	181161	181086	Henikoff-ChEC
chrI	170	181276	181277	181201	181351	181276	Henikoff-ChEC
chrI	171	181793	181794	181718	181868	181793	Henikoff-ChEC
chrI	172	182136	182137	182061	182211	182136	Henikoff-ChEC
chrI	173	182314	182315	182239	182389	182314	Henikoff-ChEC
chrI	174	182350	182351	182239	182389	182314	Henikoff-ChEC
chrI	173	182314	182315	182275	182425	182350	Henikoff-ChEC
chrI	174	182350	182351	182275	182425	182350	Henikoff-ChEC
chrI	175	182570	182571	182495	182645	182570	Henikoff-ChEC
chrI	176	182676	182677	182601	182751	182676	Henikoff-ChEC
chrI	177	182851	182852	182776	182926	182851	Henikoff-ChEC
chrI	178	183034	183035	182959	183109	183034	Henikoff-ChEC
chrI	179	183170	183171	183095	183245	183170	Henikoff-ChEC
chrI	180	183218	183219	183095	183245	183170	Henikoff-ChEC
chrI	179	183170	183171	183143	183293	183218	Henikoff-ChEC
chrI	180	183218	183219	183143	183293	183218	Henikoff-ChEC
chrI	181	183373	183374	183298	183448	183373	Henikoff-ChEC
chrI	182	183558	183559	183483	183633	183558	Henikoff-ChEC
chrI	183	183656	183657	183581	183731	183656	Henikoff-ChEC
chrI	184	184708	184709	184633	184783	184708	Henikoff-ChEC
chrI	185	184762	184763	184633	184783	184708	Henikoff-ChEC
chrI	184	184708	184709	184687	184837	184762	Henikoff-ChEC
chrI	185	184762	184763	184687	184837	184762	Henikoff-ChEC
chrI	186	184800	184801	184687	184837	184762	Henikoff-ChEC
chrI	185	184762	184763	184725	184875	184800	Henikoff-ChEC
chrI	186	184800	184801	184725	184875	184800	Henikoff-ChEC
chrI	187	185138	185139	185063	185213	185138	Henikoff-ChEC
chrI	188	189104	189105	189029	189179	189104	Henikoff-ChEC
chrI	189	189146	189147	189029	189179	189104	Henikoff-ChEC
chrI	188	189104	189105	189071	189221	189146	Henikoff-ChEC
chrI	189	189146	189147	189071	189221	189146	Henikoff-ChEC
chrI	190	189192	189193	189071	189221	189146	Henikoff-ChEC
chrI	189	189146	189147	189117	189267	189192	Henikoff-ChEC
chrI	190	189192	189193	189117	189267	189192	Henikoff-ChEC
chrI	191	189354	189355	189279	189429	189354	Henikoff-ChEC
chrI	192	189526	189527	189451	189601	189526	SLiM-ChIP
chrI	192	189526	189527	189459	189609	189534	Pugh-Chip-exo
chrI	192	189526	189527	189461	189611	189536	Henikoff-ChEC
chrI	193	189710	189711	189635	189785	189710	Henikoff-ChEC
chrI	194	189838	189839	189763	189913	189838	Henikoff-ChEC
chrI	195	189986	189987	189911	190061	189986	Henikoff-ChEC
chrI	196	190164	190165	190089	190239	190164	Henikoff-ChEC
chrI	197	190275	190276	190200	190350	190275	Hahn-ChEC
chrI	198	190390	190391	190315	190465	190390	Henikoff-ChEC
chrI	199	190516	190517	190441	190591	190516	Henikoff-ChEC
chrI	200	190586	190587	190441	190591	190516	Henikoff-ChEC
chrI	199	190516	190517	190511	190661	190586	Henikoff-ChEC
chrI	200	190586	190587	190511	190661	190586	Henikoff-ChEC
chrI	201	190684	190685	190609	190759	190684	Henikoff-ChEC
chrI	202	190858	190859	190783	190933	190858	Henikoff-ChEC
chrI	203	190906	190907	190783	190933	190858	Henikoff-ChEC
chrI	202	190858	190859	190831	190981	190906	Henikoff-ChEC
chrI	203	190906	190907	190831	190981	190906	Henikoff-ChEC
chrI	204	190956	190957	190831	190981	190906	Henikoff-ChEC
chrI	203	190906	190907	190881	191031	190956	Henikoff-ChEC
chrI	204	190956	190957	190881	191031	190956	Henikoff-ChEC
chrI	205	191291	191292	191216	191366	191291	Henikoff-ChEC
chrI	206	191348	191349	191216	191366	191291	Henikoff-ChEC
chrI	205	191291	191292	191273	191423	191348	Henikoff-ChEC
chrI	206	191348	191349	191273	191423	191348	Henikoff-ChEC
chrI	207	191506	191507	191431	191581	191506	Henikoff-ChEC
chrI	208	191544	191545	191431	191581	191506	Henikoff-ChEC
chrI	207	191506	191507	191469	191619	191544	Henikoff-ChEC
chrI	208	191544	191545	191469	191619	191544	Henikoff-ChEC
chrI	209	191766	191767	191691	191841	191766	Henikoff-ChEC
chrI	210	191808	191809	191691	191841	191766	Henikoff-ChEC
chrI	209	191766	191767	191733	191883	191808	Henikoff-ChEC
chrI	210	191808	191809	191733	191883	191808	Henikoff-ChEC
chrI	211	191974	191975	191899	192049	191974	Henikoff-ChEC
chrI	212	192020	192021	191899	192049	191974	Henikoff-ChEC
chrI	211	191974	191975	191945	192095	192020	Henikoff-ChEC
chrI	212	192020	192021	191945	192095	192020	Henikoff-ChEC
chrI	213	192394	192395	192319	192469	192394	Henikoff-ChEC
chrI	214	192450	192451	192319	192469	192394	Henikoff-ChEC
chrI	213	192394	192395	192375	192525	192450	SLiM-ChIP
chrI	214	192450	192451	192375	192525	192450	SLiM-ChIP
chrI	215	192528	192529	192453	192603	192528	Henikoff-ChEC
chrI	216	192714	192715	192639	192789	192714	Henikoff-ChEC
chrI	217	198532	198533	198457	198607	198532	Henikoff-ChEC
chrI	218	215038	215039	214963	215113	215038	SLiM-ChIP
chrI	219	220228	220229	220153	220303	220228	Henikoff-ChEC
chrI	220	220258	220259	220153	220303	220228	Henikoff-ChEC
chrI	221	220290	220291	220153	220303	220228	Henikoff-ChEC
chrI	219	220228	220229	220183	220333	220258	Henikoff-ChEC
chrI	220	220258	220259	220183	220333	220258	Henikoff-ChEC
chrI	221	220290	220291	220183	220333	220258	Henikoff-ChEC
chrI	219	220228	220229	220215	220365	220290	SLiM-ChIP
chrI	220	220258	220259	220215	220365	220290	SLiM-ChIP
chrI	221	220290	220291	220215	220365	220290	SLiM-ChIP
chrI	222	220612	220613	220537	220687	220612	Henikoff-ChEC
chrI	223	223250	223251	223175	223325	223250	Henikoff-ChEC
chrI	224	227370	227371	227295	227445	227370	SLiM-ChIP
chrI	225	229688	229689	229613	229763	229688	SLiM-ChIP
chrI	226	230066	230067	229991	230141	230066	SLiM-ChIP
chrII	227	106	107	31	181	106	Henikoff-ChEC
chrII	228	142	143	31	181	106	Henikoff-ChEC
chrII	227	106	107	67	217	142	SLiM-ChIP
chrII	228	142	143	67	217	142	SLiM-ChIP
chrII	229	310	311	235	385	310	Henikoff-ChEC
chrII	230	530	531	455	605	530	Henikoff-ChEC
chrII	231	5324	5325	5249	5399	5324	Henikoff-ChEC
chrII	232	5494	5495	5419	5569	5494	Henikoff-ChEC
chrII	233	5566	5567	5419	5569	5494	Henikoff-ChEC
chrII	232	5494	5495	5491	5641	5566	Henikoff-ChEC
chrII	233	5566	5567	5491	5641	5566	Henikoff-ChEC
chrII	234	5627	5628	5491	5641	5566	Henikoff-ChEC
chrII	233	5566	5567	5552	5702	5627	Henikoff-ChEC
chrII	234	5627	5628	5552	5702	5627	Henikoff-ChEC
chrII	235	5693	5694	5552	5702	5627	Henikoff-ChEC
chrII	234	5627	5628	5618	5768	5693	Henikoff-ChEC
chrII	235	5693	5694	5618	5768	5693	Henikoff-ChEC
chrII	236	5736	5737	5618	5768	5693	Henikoff-ChEC
chrII	235	5693	5694	5661	5811	5736	SLiM-ChIP
chrII	236	5736	5737	5661	5811	5736	SLiM-ChIP
chrII	237	5833	5834	5758	5908	5833	Henikoff-ChEC
chrII	238	5970	5971	5895	6045	5970	Henikoff-ChEC
chrII	239	6108	6109	6033	6183	6108	Henikoff-ChEC
chrII	240	6311	6312	6236	6386	6311	Henikoff-ChEC
chrII	240	6311	6312	6245	6395	6320	SLiM-ChIP
chrII	241	6528	6529	6453	6603	6528	Henikoff-ChEC
chrII	241	6528	6529	6469	6619	6544	SLiM-ChIP
chrII	242	6616	6617	6469	6619	6544	SLiM-ChIP
chrII	242	6616	6617	6541	6691	6616	Henikoff-ChEC
chrII	243	6757	6758	6682	6832	6757	Henikoff-ChEC
chrII	244	7222	7223	7147	7297	7222	Henikoff-ChEC
chrII	245	7255	7256	7147	7297	7222	Henikoff-ChEC
chrII	244	7222	7223	7180	7330	7255	Henikoff-ChEC
chrII	245	7255	7256	7180	7330	7255	Henikoff-ChEC
chrII	246	7302	7303	7180	7330	7255	Henikoff-ChEC
chrII	245	7255	7256	7227	7377	7302	Henikoff-ChEC
chrII	246	7302	7303	7227	7377	7302	Henikoff-ChEC
chrII	247	7468	7469	7393	7543	7468	Henikoff-ChEC
chrII	248	8290	8291	8215	8365	8290	Henikoff-ChEC
chrII	249	9366	9367	9291	9441	9366	Henikoff-ChEC
chrII	250	9526	9527	9451	9601	9526	Henikoff-ChEC
chrII	251	9605	9606	9530	9680	9605	Henikoff-ChEC
chrII	252	9632	9633	9530	9680	9605	Henikoff-ChEC
chrII	251	9605	9606	9557	9707	9632	SLiM-ChIP
chrII	252	9632	9633	9557	9707	9632	SLiM-ChIP
chrII	252	9632	9633	9633	9783	9708	Henikoff-ChEC
chrII	253	9708	9709	9633	9783	9708	Henikoff-ChEC
chrII	254	9888	9889	9813	9963	9888	Henikoff-ChEC
chrII	255	10596	10597	10521	10671	10596	Henikoff-ChEC
chrII	256	10680	10681	10605	10755	10680	Henikoff-ChEC
chrII	257	17824	17825	17749	17899	17824	Henikoff-ChEC
chrII	258	18104	18105	18029	18179	18104	Henikoff-ChEC
