"family","mean_TFAP","sd_TFAP","spp"
"Azospirillaceae",0.0711233333333333,0.0085968744320247,"Azospirillum sp. B510"
"Babesiidae",0.213388,0.0125903403448835,"Babesia bovis"
"Bacillaceae",0.0418689772727273,0.00911544442618866,"Bacillus anthracis"
"Bacillales Family X. Incertae Sedis",0.071225,0.00779938779648762,"Hydrogenibacillus schlegelii"
"Bacillariaceae",0.361435,0.0514420183313213,"Pseudo-nitzschia multistriata"
"Bacteriovoracaceae",0.063828,0.00368743406720717,"Bacteriovorax sp. DB6_IX"
"Bacteroidaceae",0.0436444,0.0040243064412807,"Bacteroides sp. D2"
"Baekduiaceae",0.09587,NA,"Baekduia soli"
"Baetidae",0.31231,NA,"Cloeon dipterum"
"Bagridae",0.34327,NA,"Hemibagrus wyckioides"
"Balaenicipitidae",0.27315,NA,"Balaeniceps rex"
"Balaenopteridae",0.357215,0.02732967709286,"Balaenoptera physalus"
"Balanidae",0.33087,NA,"Amphibalanus amphitrite"
"Balneicellaceae",0.03632,NA,"Balneicella halophila"
"Balneolaceae",0.0547053846153846,0.00783490865229095,"Balneola sp. EhC07"
"Bangiaceae",0.57355,NA,"Porphyra umbilicalis"
"Barnesiellaceae",0.04236,0.000905096679918778,"Barnesiella sp. An55"
"Bartonellaceae",0.06535,0.00701449926937055,"Bartonella apis"
"Bathycoccaceae",0.26429,0.0754482935526046,"Ostreococcus tauri"
"Bathydraconidae",0.37557,NA,"Gymnodraco acuticeps"
"Bathyergidae",0.326405,0.00925602776573194,"Heterocephalus glaber"
"Beijerinckiaceae",0.0857142857142857,0.0244552590507256,"Methylocapsa palsarum"
"Betulaceae",0.28915,NA,"Carpinus fangiana"
"Beutenbergiaceae",0.110422,0.0180364774831451,"Serinibacter salmoneus"
"Bianqueaceae",0.04063,NA,"Bianquea renquensis"
"Bifidobacteriaceae",0.0978424324324324,0.0168341376714443,"Bifidobacterium stellenboschense"
"Bignoniaceae",0.25361,NA,"Handroanthus impetiginosus"
"Bionectriaceae",0.262082,0.0448308456311054,"Clonostachys rosea"
"Blastochloridaceae",0.08157,0.00694378859125189,"Blastochloris viridis"
"Blastocystidae",0.16831,NA,"Blastocystis hominis"
"Blenniidae",0.24841,NA,"Salarias fasciatus"
"Bodonidae",0.33274,NA,"Bodo saltans"
"Bogoriellaceae",0.09195,0.010362436972064,"Georgenia soli"
"Bolbitiaceae",0.30112,NA,"Cyclocybe aegerita"
"Boletaceae",0.29736,NA,"Boletus reticuloceps"
"Boletinellaceae",0.28987,NA,"Phlebopus sp. FC_14"
"Bombycidae",0.3679,NA,"Bombyx mori"
"Bombycillidae",0.27305,0.0055295750288788,"Bombycilla garrulus"
"Bondarzewiaceae",0.31297,NA,"Bondarzewia mesenterica"
"Boseaceae",0.0616257142857143,0.00454205259307307,"Bosea sp. LC85"
"Botryosphaeriaceae",0.2908775,0.022982804260287,"Diplodia corticola"
"Bovichtidae",0.36736,NA,"Cottoperca gobio"
"Bovidae",0.331132857142857,0.0182803306993115,"Ovis aries"
"Brachionidae",0.291545,0.0217152492502389,"Brachionus plicatilis"
"Brachybasidiaceae",0.35265,NA,"Meira miltonrushii"
"Brachypteraciidae",0.27686,NA,"Brachypteracias leptosomus"
"Braconidae",0.296235714285714,0.0920243920304363,"Diachasma alloeum"
"Bradymonadaceae",0.107035,0.00215667568261897,"Bradymonas sediminis"
"Branchiostomatidae",0.334726666666667,0.0122960576337838,"Branchiostoma floridae"
"Brassicaceae",0.278746363636364,0.0214764444323204,"Arabidopsis thaliana"
"Brevibacteriaceae",0.102806666666667,0.014776433940569,"Brevibacterium linens"
"Brevinemataceae",0.04345,NA,"Brevinema andersonii"
"Breznakiellaceae",0.03976,NA,"Breznakiella homolactica"
"Bromeliaceae",0.26277,NA,"Ananas comosus"
"Brucellaceae",0.0611542857142857,0.00250138533045762,"Brucella rhizosphaerae"
"Bruguierivoracaceae",0.05974,0.0160053561347444,"Sodalis praecaptivus"
"Bryobacteraceae",0.06301,0.00226274169979695,"Paludibaculum fermentans"
"Bucconidae",0.27882,NA,"Bucco capensis"
"Bucorvidae",0.27714,NA,"Bucorvus abyssinicus"
"Budviciaceae",0.04985,0.00801923313041839,"Budvicia aquatica"
"Bugulidae",0.30563,NA,"Bugula neritina"
"Bulleribasidiaceae",0.34145,NA,"Dioszegia hungarica"
"Buprestidae",0.33823,NA,"Agrilus planipennis"
"Burhinidae",0.27007,NA,"Burhinus bistriatus"
"Burkholderiaceae",0.07248,0.012969038079902,"Burkholderiaceae bacterium PBA"
"Butyricicoccaceae",0.0475766666666667,0.00223582945086009,"Butyricicoccus porcorum"
"Cacatuidae",0.28099,0.000381837661840725,"Probosciger aterrimus"
"Cactaceae",0.30465,NA,"Carnegiea gigantea"
"Caedimonadaceae",0.0669,NA,"Caedimonas varicaedens"
"Cafeteriaceae",0.35181,NA,"Cafeteria roenbergensis"
"Calderihabitantaceae",0.04268,NA,"Calderihabitans maritimus"
"Caldicoprobacteraceae",0.03117,NA,"Caldicoprobacter faecalis"
"Caldilineaceae",0.05968,NA,"Litorilinea aerophila"
"Caligidae",0.319495,0.0131592571978816,"Caligus rogercresseyi"
"Callaeidae",0.27488,NA,"Callaeas wilsoni"
"Calliphoridae",0.38827,NA,"Lucilia cuprina"
"Callorhinchidae",0.24478,NA,"Callorhinchus milii"
"Calotrichaceae",0.0692983333333333,0.00587462140624115,"Calothrix sp. PCC 7507"
"Camelidae",0.34934,0.0144228268149255,"Camelus ferus"
"Caminicellaceae",0.02818,NA,"Maledivibacter halophilus"
"Campephagidae",0.27137,NA,"Edolisoma coerulescens"
"Campylobacteraceae",0.0398044444444444,0.00321400494364551,"Campylobacter geochelonis"
"Candidatus Azoamicaceae",0.05504,NA,"Candidatus Azoamicus ciliaticola"
"Candidatus Babeliaceae",0.07677,NA,"Candidatus Babela massiliensis"
"Candidatus Berkiellaceae",0.072035,0.00901561146012848,"Candidatus Berkiella cookevillensis"
"Candidatus Bipolaricaulaceae",0.04378,NA,"Candidatus Bipolaricaulis anaerobius"
"Candidatus Brocadiaceae",0.0485916666666667,0.00368275123605528,"Candidatus Jettenia caeni"
"Candidatus Caldarchaeaceae",0.02392,NA,"Candidatus Caldarchaeum subterraneum"
"Candidatus Calditenuaceae",0.03168,NA,"Candidatus Calditenuaceae archaeon HR02"
"Candidatus Chromulinivoraceae",0.11287,NA,"Candidatus Chromulinivorax destructor"
"Candidatus Cloacimonadaceae",0.02935,NA,"Candidatus Syntrophosphaera thermopropionivorans"
"Candidatus Competibacteraceae",0.04961,0.00179605122421383,"Plasticicumulans acidivorans"
"Candidatus Cryosericaceae",0.03992,NA,"Candidatus Cryosericum terrychapinii"
"Candidatus Deianiraeaceae",0.07948,NA,"Candidatus Deianiraea vastatrix"
"Candidatus Desulfofervidaceae",0.02416,NA,"Candidatus Desulfofervidus auxilii"
"Candidatus Entotheonellaceae",0.04821,0.00161220346110533,"Candidatus Entotheonella gemina"
"Candidatus Hakubellaceae",0.04152,NA,"Candidatus Hakubella thermalkaliphila"
"Candidatus Izemoplasmataceae",0.01985,NA,"Candidatus Xianfuyuplasma coldseepsis"
"Candidatus Magnetobacteriaceae",0.0775,NA,"Candidatus Magnetobacterium bavaricum"
"Candidatus Magnetomoraceae",0.04953,NA,"Candidatus Magnetomorum sp. HK-1"
"Candidatus Manganitrophaceae",0.06536,NA,"Candidatus Manganitrophus noduliformans"
"Candidatus Mcinerneyibacteriaceae",0.03597,NA,"Candidatus Mcinerneyibacterium aminivorans"
"Candidatus Methanoperedenaceae",0.03702,0.00298399061660723,"Candidatus Methanoperedens nitroreducens"
"Candidatus Methylomirabilaceae",0.05584,NA,"Candidatus Methylomirabilis lanthanidiphila"
"Candidatus Micrarchaeaceae",0.03467,NA,"Candidatus Micrarchaeum sp. AZ1"
"Candidatus Midichloriaceae",0.054825,0.010825804819966,"Candidatus Fokinia solitaria"
"Candidatus Moduliflexaceae",0.04215,NA,"Candidatus Moduliflexus flocculans"
"Candidatus Naiadarchaeaceae",0.04174,NA,"Candidatus Naiadarchaeum limnaeum"
"Candidatus Nanohalobiaceae",0.1668,NA,"Candidatus Nanohalobium constans"
"Candidatus Nanopelagicaceae",0.034515,0.00217372951399202,"Candidatus Planktophila vernalis"
"Candidatus Nanosynbacteraceae",0.06873,NA,"Candidatus Nanosynbacter lyticus"
"Candidatus Paracaedibacteraceae",0.0822766666666667,0.00676266466219739,"Candidatus Paracaedibacter acanthamoebae"
"Candidatus Parilichlamydiaceae",0.09479,NA,"Candidatus Similichlamydia laticola"
"Candidatus Pelagibacteraceae",0.0415733333333333,0.00553020674719008,"Candidatus Pelagibacter sp. HTCC7211"
"Candidatus Prometheoarchaeaceae",0.05858,NA,"Candidatus Prometheoarchaeum syntrophicum"
"Candidatus Promineifilaceae",0.06975,NA,"Candidatus Promineifilum breve"
"Candidatus Rhabdochlamydiaceae",0.05687,NA,"Candidatus Rhabdochlamydia sp. T3358"
"Candidatus Saccharimonadaceae",0.0726466666666667,0.0051354292258129,"Candidatus Saccharimonas aalborgensis"
"Candidatus Scalinduaceae",0.048,0.00347896536343781,"Candidatus Scalindua rubra"
"Candidatus Termititenacaceae",0.048005,0.0101304507961558,"Candidatus Termititenax aidoneus"
"Candidatus Uabimicrobiaceae",0.06133,NA,"Candidatus Uabimicrobium amorphum"
"Candidatus Undinarchaeaceae",0.05483,NA,"Candidatus Undinarchaeum marinum"
"Candidatus Vecturitrichaceae",0.04107,NA,"Candidatus Vecturithrix granuli"
"Candidatus Zymogenaceae",0.03514,NA,"Candidatus Zymogenus saltonus"
"Canidae",0.363055,0.00912874854511835,"Vulpes vulpes"
"Cannabaceae",0.28051,0.0129704163387302,"Trema orientale"
"Capillimicrobiaceae",0.07477,NA,"Capillimicrobium parvum"
"Capitellidae",0.22439,NA,"Capitella teleta"
"Caprimulgidae",0.27589,0.00756291610425502,"Antrostomus carolinensis"
"Capsulimonadaceae",0.07656,NA,"Capsulimonas corticalis"
"Carbonactinosporaceae",0.09007,NA,"Carbonactinospora thermoautotrophica"
"Cardinalidae",0.2709,0.0032669404647162,"Pheucticus melanocephalus"
"Cardiobacteriaceae",0.0619733333333333,0.0121941064999996,"Cardiobacterium valvarum"
"Cariamidae",0.272615,0.00345775216000222,"Cariama cristata"
"Carnobacteriaceae",0.04298,0.00627313557959654,"Carnobacterium sp. 17-4"
"Caryophylliidae",0.28894,NA,"Desmophyllum pertusum"
"Castoridae",0.35373,NA,"Castor canadensis"
"Catalimonadaceae",0.04902,NA,"Catalinimonas alkaloidigena"
"Catenulisporaceae",0.09809,NA,"Catenulispora sp."
"Cathartidae",0.26283,NA,"Cathartes aura"
"Caulobacteraceae",0.0713681818181818,0.0100327630337265,"Asticcacaulis sp. YBE204"
"Caulochytriaceae",0.39728,NA,"Caulochytrium protostelioides"
"Cavenderiaceae",0.27596,NA,"Cavenderia fasciculata"
"Caviidae",0.31323,NA,"Cavia porcellus"
"Cavosteliaceae",0.23659,NA,"Planoprotostelium fungivorum"
"Cebidae",0.34879,0.0251865916709665,"Callithrix jacchus"
"Celastraceae",0.29679,NA,"Tripterygium wilfordii"
"Celerinatantimonadaceae",0.03856,NA,"Celerinatantimonas diazotrophica"
"Cellulomonadaceae",0.0994665384615385,0.0114201110125279,"Oerskovia sp. Root918"
"Cellulosilyticaceae",0.03274,NA,"Holtiella tumoricola"
"Cellvibrionaceae",0.0597446153846154,0.00898097304990261,"Cellvibrio sp. PSBB023"
"Centropidae",0.2786,NA,"Centropus unirufus"
"Centropomidae",0.24854,NA,"Lates calcarifer"
"Cephalobidae",0.26182,NA,"Acrobeloides nanus"
"Cephalotaceae",0.23815,NA,"Cephalotus follicularis"
"Cephidae",0.04195,NA,"Cephus cinctus"
"Ceraceosoraceae",0.42663,0.00103237590053237,"Ceraceosorus bombacis"
"Cerasicoccaceae",0.060745,0.00296277741317163,"Ruficoccus amylovorans"
"Ceratobasidiaceae",0.285076666666667,0.00372592717767449,"Rhizoctonia solani"
"Ceratocystidaceae",0.290555,0.0058194888091653,"Thielaviopsis punctulata"
"Cercopithecidae",0.337376363636364,0.00896859551181485,"Macaca mulatta"
"Certhiidae",0.27256,0.00277857277512515,"Certhia brachydactyla"
"Cervidae",0.32532,NA,"Muntiacus reevesi"
"Cerylidae",0.26346,NA,"Chloroceryle aenea"
"Chaetomiaceae",0.33947,NA,"Chaetomium sp. MPI-SDFR-AT-0129"
"Chanidae",0.30855,NA,"Chanos chanos"
"Channidae",0.3506,NA,"Channa argus"
"Characeae",0.39534,NA,"Chara braunii"
"Characidae",0.32375,NA,"Astyanax mexicanus"
"Charadriidae",0.268413333333333,0.00724069287660604,"Charadrius vociferus"
"Cheirogaleidae",0.32974,NA,"Microcebus murinus"
"Chelatococcaceae",0.071182,0.0124563686522196,"Chelatococcus asaccharovorans"
"Cheloniidae",0.33035,NA,"Chelonia mydas"
"Chelydridae",0.28181,NA,"Chelydra serpentina"
"Chenopodiaceae",0.24778,0.0152593643380057,"Chenopodium quinoa"
"Chinchillidae",0.32581,NA,"Chinchilla lanigera"
"Chionididae",0.2704,NA,"Chionis minor"
"Chironomidae",0.308033333333333,0.0209844617117841,"Clunio marinus"
"Chitinibacteraceae",0.0553018181818182,0.00915671755399479,"Amantichitinum ursilacus"
"Chitinophagaceae",0.0476703947368421,0.00687821652092837,"Flavihumibacter sp. ZG627"
"Chlamydomonadaceae",0.5141225,0.0810096407328576,"Chlamydomonas reinhardtii"
"Chlorellaceae",0.297935714285714,0.0492391483331244,"Chlorella variabilis"
"Chlorobiaceae",0.04333,0.00311236244675969,"Chlorobium limicola"
"Chloropicaceae",0.23343,NA,"Chloropicon primus"
"Choanephoraceae",0.24625,NA,"Choanephora cucurbitarum"
"Christensenellaceae",0.0413466666666667,0.0111129162089285,"Christensenella hongkongensis"
"Chromatiaceae",0.0581004545454545,0.0155268030859306,"Thiorhodovibrio frisius"
"Chromobacteriaceae",0.0545355555555556,0.0216822427986078,"Pseudogulbenkiania sp. NH8B"
"Chroococcaceae",0.0564633333333333,0.0107276154542066,"Gloeocapsa sp. PCC 7428"
"Chryseotaleaceae",0.04189,NA,"Chryseotalea sanaruensis"
"Chrysiogenaceae",0.04785,NA,"Desulfurispira natronophila"
"Chrysochloridae",0.32458,NA,"Chrysochloris asiatica"
"Chrysochromulinaceae",0.20056,NA,"Chrysochromulina tobinii"
"Chrysomelidae",0.308765,0.0170025406924965,"Callosobruchus maculatus"
"Chthoniobacteraceae",0.10814,NA,"Candidatus Udaeobacter sp."
"Chthonomonadaceae",0.08304,NA,"Chthonomonadaceae bacterium"
"Chytriomycetaceae",0.25918,0.00947523086789975,"Rhizoclosmatium globosum"
"Cichlidae",0.291753333333333,0.0521256465347593,"Oreochromis niloticus"
"Ciconiidae",0.26983,NA,"Ciconia maguari"
"Cimicidae",0.33936,NA,"Cimex lectularius"
"Cinclidae",0.26782,NA,"Cinclus mexicanus"
"Cinclosomatidae",0.27682,0.00722663130372652,"Ifrita kowaldi"
"Cionidae",0.204315,0.0535916229461284,"Ciona savignyi"
"Circaeasteraceae",0.23689,NA,"Kingdonia uniflora"
"Cisticolidae",0.2701,NA,"Cisticola juncidis"
"Cladoniaceae",0.29228,NA,"Cladonia borealis"
"Cladosporiaceae",0.31271,0.000325269119345823,"Rachicladosporium sp. CCFEE 5018"
"Clariidae",0.31146,NA,"Clarias magur"
"Clavicipitaceae",0.31194,0.0430801740943558,"Ustilaginoidea virens"
"Climacteridae",0.27154,NA,"Climacteris rufus"
"Clitocybaceae",0.26195,NA,"Collybia nuda"
"Closteriaceae",0.528625,0.0032314779900225,"Closterium sp. NIES-67"
"Clostridiaceae",0.0380344761904762,0.0122042807733245,"Clostridium sp. Maddingley MBC34-26"
"Clostridiales Family XVII. Incertae Sedis",0.0623333333333333,0.0298218247820842,"Sulfobacillus sp. hq2"
"Clupeidae",0.3659,NA,"Clupea harengus"
"Clytiidae",0.30596,NA,"Clytia hemisphaerica"
"Coccyzidae",0.28121,NA,"Piaya cayana"
"Coelacanthidae",0.27041,NA,"Latimeria chalumnae"
"Cohaesibacteraceae",0.064544,0.00190800419286751,"Cohaesibacter marisflavi"
"Coleofasciculaceae",0.079885,0.00191625937701555,"Coleofasciculus sp. FACHB-SPT36"
"Coliidae",0.272135,0.00762968216900286,"Colius striatus"
"Colubridae",0.347895,0.00878933729014878,"Thamnophis sirtalis"
"Columbidae",0.29688,0.0272630739279341,"Columba livia"
"Colwelliaceae",0.0476736842105263,0.00456767532720276,"Thalassotalea sp. ND16A"
"Comamonadaceae",0.0668631746031746,0.0165809265193858,"Polaromonas sp. JS666"
"Conexibacteraceae",0.092,NA,"Conexibacter arvalis"
"Conexivisphaeraceae",0.0341,NA,"Conexivisphaera calida"
"Congridae",0.34833,NA,"Conger conger"
"Coniochaetaceae",0.30314,0.00752103051449731,"Coniochaeta pulveracea"
"Convolvulaceae",0.2758275,0.0158985898221614,"Ipomoea nil"
"Coprobacillaceae",0.026455,0.00249870252045222,"Coprobacillus cateniformis"
"Coraciidae",0.2701,NA,"Eurystomus gularis"
"Coraliomargaritaceae",0.06396,0.000622253967444166,"Coraliomargarita sp. CAG:312"
"Corcoracidae",0.2762,NA,"Struthidea cinerea"
"Cordycipitaceae",0.293355,0.0331652765202805,"Cordyceps sp. RAO-2017"
"Coriobacteriaceae",0.0683405882352941,0.0107032421902129,"Coriobacteriaceae bacterium BV3Ac1"
"Corvidae",0.27346,0.00692210589344023,"Corvus brachyrhynchos"
"Corynebacteriaceae",0.08812,0.0187332036768941,"Corynebacterium sp. KPL1989"
"Cotingidae",0.273395,0.00320319371877508,"Cephalopterus ornatus"
"Coxiellaceae",0.04627125,0.0150780118408041,"Coxiella endosymbiont of Amblyomma americanum"
"Cracidae",0.2787,NA,"Penelope pileata"
"Crambidae",0.33054,NA,"Diatraea saccharalis"
"Crassulaceae",0.28748,NA,"Kalanchoe fedtschenkoi"
"Crenotrichaceae",0.06684,NA,"Crenothrix polyspora"
"Crepidotaceae",0.28549,NA,"Crepidotus variabilis"
"Criblamydiaceae",0.06737,NA,"Estrella lausannensis"
"Cricetidae",0.338685,0.0216324794387205,"Cricetulus griseus"
"Crocinitomicaceae",0.046552,0.00347335140750256,"Lishizhenia tianjinensis"
"Crocodylidae",0.2966,NA,"Crocodylus porosus"
"Crotophagidae",0.27478,NA,"Crotophaga sulcirostris"
"Cryomorphaceae",0.04549,0.00302252653696649,"Acidiluteibacter ferrifornacis"
"Cryptobasidiaceae",0.38692,NA,"Acaromyces ingoldii"
"Cryptococcaceae",0.37884,NA,"Kwoniella shandongensis"
"Cryptosporangiaceae",0.08984,0.000848528137423862,"Cryptosporangium aurantiacum"
"Cuculidae",0.26965,0.00977221571599809,"Cuculus canorus"
"Cucurbitaceae",0.2837025,0.0189773678803639,"Cucumis sativus"
"Cucurbitariaceae",0.269693333333333,0.0122175461256888,"Pyrenochaeta sp. DS3sAY3a"
"Culicidae",0.362031666666667,0.0270553132797731,"Anopheles darlingi"
"Culicoidibacteraceae",0.03816,NA,"Culicoidibacter larvae"
