From	Entry	Gene Ontology (molecular function)
P00359	P00359	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; heme binding [GO:0020037]; melatonin binding [GO:1904408]; mRNA binding [GO:0003729]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; RNA binding [GO:0003723]
P00360	P00360	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; melatonin binding [GO:1904408]; NAD binding [GO:0051287]; NADP binding [GO:0050661]
P00401	P00401	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
P00410	P00410	copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]
P00420	P00420	cytochrome-c oxidase activity [GO:0004129]; ubiquinone binding [GO:0048039]
P00424	P00424	oxidoreductase activity [GO:0016491]
P00425	P00425	oxidoreductase activity [GO:0016491]
P00427	P00427	metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
P00431	P00431	cytochrome-c peroxidase activity [GO:0004130]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]
P00445	P00445	copper ion binding [GO:0005507]; oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor [GO:0016670]; superoxide dismutase activity [GO:0004784]
P00447	P00447	manganese ion binding [GO:0030145]; superoxide dismutase activity [GO:0004784]
P00498	P00498	ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; magnesium ion binding [GO:0000287]
P00546	P00546	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; histone binding [GO:0042393]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II complex binding [GO:0000993]
P00549	P00549	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]
P00560	P00560	ADP binding [GO:0043531]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoglycerate kinase activity [GO:0004618]
P00572	P00572	ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]; thymidylate kinase activity [GO:0004798]; UMP/dUMP kinase activity [GO:0009041]
P00635	P00635	acid phosphatase activity [GO:0003993]; nucleoside triphosphate diphosphatase activity [GO:0047429]; ribonucleoside triphosphate phosphatase activity [GO:0017111]
P00724	P00724	beta-fructofuranosidase activity [GO:0004564]; inulinase activity [GO:0051670]; sucrose alpha-glucosidase activity [GO:0004575]
P00729	P00729	serine-type carboxypeptidase activity [GO:0004185]
P00812	P00812	arginase activity [GO:0004053]; manganese ion binding [GO:0030145]; ornithine carbamoyltransferase inhibitor activity [GO:0090369]; zinc ion binding [GO:0008270]
P00815	P00815	ATP binding [GO:0005524]; histidinol dehydrogenase activity [GO:0004399]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; phosphoribosyl-ATP diphosphatase activity [GO:0004636]
P00817	P00817	inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]
P00830	P00830	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
P00854	P00854	proton transmembrane transporter activity [GO:0015078]
P00856	P00856	proton transmembrane transporter activity [GO:0015078]
P00890	P00890	citrate (Si)-synthase activity [GO:0004108]; citrate synthase activity [GO:0036440]
P00899	P00899	anthranilate synthase activity [GO:0004049]; metal ion binding [GO:0046872]
P00912	P00912	phosphoribosylanthranilate isomerase activity [GO:0004640]
P00924	P00924	magnesium ion binding [GO:0000287]; melatonin binding [GO:1904408]; phosphopyruvate hydratase activity [GO:0004634]
P00925	P00925	magnesium ion binding [GO:0000287]; melatonin binding [GO:1904408]; phosphopyruvate hydratase activity [GO:0004634]
P00927	P00927	pyridoxal phosphate binding [GO:0030170]; threonine deaminase activity [GO:0004794]
P00931	P00931	tryptophan synthase activity [GO:0004834]
P00937	P00937	anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]
P00942	P00942	triose-phosphate isomerase activity [GO:0004807]
P00950	P00950	phosphoglycerate mutase activity [GO:0004619]
P00958	P00958	ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; sequence-specific mRNA binding [GO:1990825]
P01094	P01094	aspartic-type endopeptidase inhibitor activity [GO:0019828]; endopeptidase inhibitor activity [GO:0004866]; protease binding [GO:0002020]
P01097	P01097	ATPase inhibitor activity [GO:0042030]; enzyme inhibitor activity [GO:0004857]; molecular function inhibitor activity [GO:0140678]
P01098	P01098	ATPase binding [GO:0051117]; ATPase inhibitor activity [GO:0042030]
P01119	P01119	G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]
P01120	P01120	G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]
P01123	P01123	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; SNARE binding [GO:0000149]
P01149	P01149	cupric ion binding [GO:1903135]; mating pheromone activity [GO:0000772]
P02293	P02293	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
P02294	P02294	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
P02309	P02309	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
P02381	P02381	structural constituent of ribosome [GO:0003735]
P02400	P02400	molecular function inhibitor activity [GO:0140678]; protein kinase activator activity [GO:0030295]; structural constituent of ribosome [GO:0003735]
P02406	P02406	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P02407	P02407	structural constituent of ribosome [GO:0003735]
P02557	P02557	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200]
P02829	P02829	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; identical protein binding [GO:0042802]; unfolded protein binding [GO:0051082]
P02992	P02992	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
P02994	P02994	actin filament binding [GO:0051015]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; melatonin binding [GO:1904408]; protein kinase binding [GO:0019901]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]
P03069	P03069	chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; mediator complex binding [GO:0036033]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; TFIID-class transcription factor complex binding [GO:0001094]
P03870	P03870	DNA binding, bending [GO:0008301]; double-stranded DNA binding [GO:0003690]; single-stranded DNA binding [GO:0003697]; site-specific recombinase activity [GO:0009009]
P03871	P03871	identical protein binding [GO:0042802]
P03872	P03872	identical protein binding [GO:0042802]
P03873	P03873	electron transfer activity [GO:0009055]; endonuclease activity [GO:0004519]; nuclease activity [GO:0004518]; oxidoreductase activity [GO:0016491]
P03874	P03874	RNA binding [GO:0003723]
P03875	P03875	RNA-directed DNA polymerase activity [GO:0003964]
P03876	P03876	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; RNA-directed DNA polymerase activity [GO:0003964]
P03877	P03877	cytochrome-c oxidase activity [GO:0004129]; endonuclease activity [GO:0004519]; heme binding [GO:0020037]
P03878	P03878	cytochrome-c oxidase activity [GO:0004129]; endonuclease activity [GO:0004519]; heme binding [GO:0020037]
P03879	P03879	endonuclease activity [GO:0004519]; RNA binding [GO:0003723]
P03881	P03881	endonuclease activity [GO:0004519]
P03882	P03882	endonuclease activity [GO:0004519]
P03962	P03962	orotidine-5'-phosphate decarboxylase activity [GO:0004590]
P03965	P03965	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]
P04037	P04037	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
P04039	P04039	oxidoreductase activity [GO:0016491]
P04046	P04046	amidophosphoribosyltransferase activity [GO:0004044]; metal ion binding [GO:0046872]
P04050	P04050	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; mitochondrial single subunit type RNA polymerase activity [GO:0001065]; plastid single subunit type RNA polymerase activity [GO:0001066]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]
P04051	P04051	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; mitochondrial single subunit type RNA polymerase activity [GO:0001065]; plastid single subunit type RNA polymerase activity [GO:0001066]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]
P04076	P04076	argininosuccinate lyase activity [GO:0004056]
P04147	P04147	molecular condensate scaffold activity [GO:0140693]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; promoter-specific chromatin binding [GO:1990841]; ribonuclease inhibitor activity [GO:0008428]
P04161	P04161	phosphoribosylglycinamide formyltransferase activity [GO:0004644]
P04173	P04173	3-isopropylmalate dehydrogenase activity [GO:0003862]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]
P04385	P04385	ATP binding [GO:0005524]; galactokinase activity [GO:0004335]
P04386	P04386	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; zinc ion binding [GO:0008270]
P04387	P04387	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; kinase inhibitor activity [GO:0019210]; nucleotide binding [GO:0000166]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]
P04397	P04397	aldose 1-epimerase activity [GO:0004034]; carbohydrate binding [GO:0030246]; UDP-glucose 4-epimerase activity [GO:0003978]
P04449	P04449	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P04456	P04456	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
P04650	P04650	structural constituent of ribosome [GO:0003735]
P04710	P04710	ATP:ADP antiporter activity [GO:0005471]
P04786	P04786	DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]
P04801	P04801	ATP binding [GO:0005524]; sequence-specific mRNA binding [GO:1990825]; threonine-tRNA ligase activity [GO:0004829]
P04802	P04802	aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; sequence-specific mRNA binding [GO:1990825]
P04803	P04803	ATP binding [GO:0005524]; tryptophan-tRNA ligase activity [GO:0004830]
P04806	P04806	ATP binding [GO:0005524]; D-glucose binding [GO:0005536]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158]
P04807	P04807	ATP binding [GO:0005524]; D-glucose binding [GO:0005536]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158]
P04817	P04817	amino acid transmembrane transporter activity [GO:0015171]; basic amino acid transmembrane transporter activity [GO:0015174]; L-arginine transmembrane transporter activity [GO:0061459]
P04819	P04819	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; metal ion binding [GO:0046872]
P04821	P04821	guanyl-nucleotide exchange factor activity [GO:0005085]
P04840	P04840	ATP binding [GO:0005524]; phospholipid scramblase activity [GO:0017128]; porin activity [GO:0015288]; ubiquinone binding [GO:0048039]; voltage-gated monoatomic anion channel activity [GO:0008308]
P04911	P04911	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
P04912	P04912	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
P05030	P05030	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type proton-exporting transporter activity [GO:0008553]
P05066	P05066	deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA binding [GO:0003677]; FAD binding [GO:0071949]; mRNA binding [GO:0003729]
P05085	P05085	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription coregulator activity [GO:0003712]; zinc ion binding [GO:0008270]
P05150	P05150	amino acid binding [GO:0016597]; ornithine carbamoyltransferase activity [GO:0004585]
P05316	P05316	nucleobase transmembrane transporter activity [GO:0015205]; uracil:monoatomic cation symporter activity [GO:0015505]
P05317	P05317	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]
P05318	P05318	protein kinase activator activity [GO:0030295]; ribonucleoprotein complex binding [GO:0043021]; structural constituent of ribosome [GO:0003735]
P05319	P05319	protein kinase activator activity [GO:0030295]; structural constituent of ribosome [GO:0003735]
P05373	P05373	porphobilinogen synthase activity [GO:0004655]; zinc ion binding [GO:0008270]
P05374	P05374	phosphatidylethanolamine N-methyltransferase activity [GO:0004608]
P05375	P05375	phosphatidyl-N-methylethanolamine N-methyltransferase activity [GO:0000773]; phosphatidylethanolamine N-methyltransferase activity [GO:0004608]
P05453	P05453	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; ribosome binding [GO:0043022]; translation release factor activity [GO:0003747]
P05626	P05626	proton transmembrane transporter activity [GO:0015078]
P05694	P05694	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]
P05737	P05737	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P05738	P05738	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
P05739	P05739	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P05740	P05740	structural constituent of ribosome [GO:0003735]
P05743	P05743	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P05744	P05744	structural constituent of ribosome [GO:0003735]
P05745	P05745	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P05747	P05747	structural constituent of ribosome [GO:0003735]
P05748	P05748	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P05749	P05749	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P05750	P05750	DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P05755	P05755	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
P05756	P05756	small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]
P05759	P05759	protein tag activity [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]
P05986	P05986	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]
P06100	P06100	
P06101	P06101	heat shock protein binding [GO:0031072]; protein kinase binding [GO:0019901]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]
P06102	P06102	
P06103	P06103	identical protein binding [GO:0042802]; RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]
P06104	P06104	ATP binding [GO:0005524]; proteasome binding [GO:0070628]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-protein transferase activity [GO:0004842]
P06105	P06105	G-protein alpha-subunit binding [GO:0001965]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]
P06106	P06106	cysteine synthase activity [GO:0004124]; O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; O-acetylhomoserine sulfhydrylase activity [GO:0051009]; pyridoxal phosphate binding [GO:0030170]
P06115	P06115	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
P06168	P06168	double-stranded DNA binding [GO:0003690]; ketol-acid reductoisomerase activity [GO:0004455]; metal ion binding [GO:0046872]
P06169	P06169	branched-chain-2-oxoacid decarboxylase activity [GO:0047433]; indolepyruvate decarboxylase activity [GO:0047434]; magnesium ion binding [GO:0000287]; phenylpyruvate decarboxylase activity [GO:0050177]; pyruvate decarboxylase activity [GO:0004737]; thiamine pyrophosphate binding [GO:0030976]
P06174	P06174	uroporphyrinogen-III synthase activity [GO:0004852]
P06182	P06182	holocytochrome-c synthase activity [GO:0004408]; metal ion binding [GO:0046872]
P06197	P06197	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity [GO:0003881]; metal ion binding [GO:0046872]
P06208	P06208	2-isopropylmalate synthase activity [GO:0003852]; metal ion binding [GO:0046872]
P06242	P06242	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein kinase activity [GO:0004672]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; RNA polymerase II CTD heptapeptide repeat S2 kinase activity [GO:0140834]; RNA polymerase II CTD heptapeptide repeat S5 kinase activity [GO:0140836]; RNA polymerase II CTD heptapeptide repeat S7 kinase activity [GO:0140837]; RNA polymerase II CTD heptapeptide repeat T4 kinase activity [GO:0140835]; RNA polymerase II CTD heptapeptide repeat Y1 kinase activity [GO:0140833]
P06243	P06243	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]
P06244	P06244	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]
P06245	P06245	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]
P06367	P06367	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]
P06633	P06633	imidazoleglycerol-phosphate dehydratase activity [GO:0004424]; metal ion binding [GO:0046872]
P06634	P06634	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; eukaryotic initiation factor 4G binding [GO:0031370]; G-quadruplex DNA binding [GO:0051880]; G-quadruplex RNA binding [GO:0002151]; mRNA binding [GO:0003729]; RNA helicase activity [GO:0003724]; RNA strand annealing activity [GO:0033592]; translation initiation factor activity [GO:0003743]
P06700	P06700	DNA replication origin binding [GO:0003688]; histone deacetylase activity, NAD-dependent [GO:0017136]; histone H3K14 deacetylase activity, NAD-dependent [GO:0032041]; histone H3K18 deacetylase activity, NAD-dependent [GO:0097372]; histone H3K4 deacetylase activity, NAD-dependent [GO:0141222]; histone H3K56 deacetylase activity, NAD-dependent [GO:0140765]; histone H3K9 deacetylase activity, NAD-dependent [GO:0046969]; histone H4K16 deacetylase activity, NAD-dependent [GO:0046970]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]
P06701	P06701	chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]; nucleic acid binding [GO:0003676]; nucleosome binding [GO:0031491]; single-stranded DNA binding [GO:0003697]
P06704	P06704	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]
P06738	P06738	glycogen phosphorylase activity [GO:0008184]; maltodextrin phosphorylase activity [GO:0031220]; pyridoxal phosphate binding [GO:0030170]
P06773	P06773	dCMP deaminase activity [GO:0004132]; zinc ion binding [GO:0008270]
P06774	P06774	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]
P06775	P06775	amino acid transmembrane transporter activity [GO:0015171]; high-affinity L-histidine transmembrane transporter activity [GO:0005291]
P06776	P06776	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; 3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; metal ion binding [GO:0046872]
P06777	P06777	damaged DNA binding [GO:0003684]; DNA endonuclease activity [GO:0004520]; single-stranded DNA binding [GO:0003697]
P06778	P06778	DNA strand exchange activity [GO:0000150]; DNA/DNA annealing activity [GO:1990814]
P06779	P06779	
P06780	P06780	enzyme activator activity [GO:0008047]; G-protein beta-subunit binding [GO:0031681]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]
P06781	P06781	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]
