YSN	 UniProtID	 Name	 Gene Names
YGL155W	P18898	Geranylgeranyl transferase type-1 subunit beta (GGTase-I-beta) (EC 2.5.1.59) (Cell division cycle protein 43) (Geranylgeranyl transferase type I subunit beta) (RAS proteins geranylgeranyltransferase subunit beta) (Type I protein geranyl-geranyltransferase subunit beta) (PGGTase I beta)	CDC43, CAL1, YGL155W, G1864
YLL054C	Q12244	Uncharacterized transcriptional regulatory protein YLL054C	YLL054C, L0584
YPL101W	Q02884	Elongator complex protein 4 (Gamma-toxin target 7) (HAT-associated protein 1)	ELP4, HAP1, TOT7, YPL101W
YFL039C	P60010	Actin (EC 3.6.4.-)	ACT1, ABY1, END7, YFL039C
YML059C	Q04958	Lysophospholipase NTE1 (EC 3.1.1.5) (Intracellular phospholipase B) (Neuropathy target esterase homolog)	NTE1, YML059C, YM9958.03C
YBR257W	P38336	RNases MRP/P 32.9 kDa subunit (RNA-processing protein POP4)	POP4, YBR257W, YBR1725
YDR098C	Q03835	Monothiol glutaredoxin-3	GRX3, YDR098C, YD8557.05C
YGL098W	P53146	Protein transport protein USE1 (SNARE-like tail-anchored protein 1) (Unconventional SNARE in the endoplasmic reticulum protein 1)	USE1, SLT1, YGL098W
YJR084W	P47130	Cop9 signalosome complex subunit 12	CSN12, YJR084W, J1860
YOR227W	Q12276	HMG2-induced ER-remodeling protein 1	HER1, YOR227W, YOR50-17
YGL183C	P53102	Meiotic nuclear division protein 1	MND1, YGL183C, G1604
YDL130W-A	P01098	F(1)-ATPase inhibitor STF1, mitochondrial (9 kDa ATPase inhibitor complex-stabilizing factor) (9K) (Stabilizing factor 1)	STF1, AIS2, YDL130W-A, YDL130BW
YNL014W	P53978	Elongation factor 3B (EF-3B) (EC 3.6.4.-) (Homolog of EF-3) (Translation elongation factor 3B)	HEF3, YEF3B, ZRG7, YNL014W, N2846
YOR111W	Q99210	dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Maf-like protein YOR111W) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase)	YOR111W, O3237, YOR3237W
YOR215C	Q12032	Altered inheritance of mitochondria protein 41, mitochondrial	AIM41, YOR215C, YOR50-5
YPL118W	Q02950	Small ribosomal subunit protein bS1m (37S ribosomal protein MRP51, mitochondrial)	MRP51, YPL118W
YDL210W	P32837	GABA-specific permease (GABA-specific transport protein)	UGA4, YDL210W, D1037
YCR063W	P25337	Pre-mRNA-splicing factor BUD31 (Bud site selection protein 31) (Complexed with CEF1 protein 14)	BUD31, CWC14, YCR063W, YCR63W, YCR903
YGL096W	P53147	Homeobox protein TOS8 (Target of SBF 8)	TOS8, YGL096W
YBR140C	P18963	Inhibitory regulator protein IRA1	IRA1, GLC1, PPD1, YBR140C, YBR1016
YNL201C	P40164	Serine/threonine-protein phosphatase 4 regulatory subunit 3 (PP4R3)	PSY2, YNL201C, N1366
YMR269W	Q03525	Protein TMA23 (23 kDa translation machinery-associated protein)	TMA23, YMR269W, YM8156.11, YMR268W-A
YOR108W	Q12166	2-isopropylmalate synthase 2, mitochondrial (EC 2.3.3.13) (Alpha-IPM synthase 2) (Alpha-isopropylmalate synthase 2) (Alpha-isopropylmalate synthase II)	LEU9, YOR108W, YOR3227w
YOL127W	P04456	Large ribosomal subunit protein uL23 (60S ribosomal protein L25) (RP16L) (YL25) (YP42')	RPL25, YOL127W
YLR009W	Q07915	Ribosome biogenesis protein RLP24 (Ribosomal protein L24-like)	RLP24, YLR009W
YBL026W	P38203	U6 snRNA-associated Sm-like protein LSm2 (Small nuclear ribonucleoprotein D homolog SNP3)	LSM2, SMX5, SNP3, YBL026W, YBL0425
YIL016W	P40548	HSP70 co-chaperone SNL1 (Suppressor of NUP116-C lethal)	SNL1, YIL016W
YCL026C-A	P37261	nitroreductase FRM2 (EC 1.7.1.9) (Fatty acid repression mutant protein 2)	FRM2, YCL026C-A, YCLX08C, YCLX8C
YOR198C	P38934	Nuclear segregation protein BFR1 (Brefeldin A resistance protein 1)	BFR1, YOR198C
YKL116C	P28708	Serine/threonine-protein kinase PRR1 (EC 2.7.11.1) (Pheromone response regulator 1)	PRR1, YKL116C, YKL516
YHR197W	P38883	Pre-rRNA-processing protein RIX1 (Involved in processing IST2 protein 2) (Ribosomal export protein 1)	RIX1, IPI2, YHR197W
YMR014W	Q04347	Bud site selection protein 22	BUD22, YMR014W, YM9711.01
YCL055W	P25583	Karyogamy protein KAR4	KAR4, YCL055W, YCL432, YCL55W
YOR134W	Q12128	Rho-GTPase-activating protein BAG7	BAG7, YOR134W, O3320, YOR3320W
YLL015W	P14772	Bile pigment transporter 1	BPT1, YLL015W, L1313
YPL173W	P36534	Large ribosomal subunit protein uL24m (54S ribosomal protein L40, mitochondrial) (YmL40)	MRPL40, YPL173W
YDL161W	Q12518	Epsin-1	ENT1, YDL161W
YNL307C	P21965	Protein kinase MCK1 (EC 2.7.12.1) (Meiosis and centromere regulatory kinase)	MCK1, YPK1, YNL307C, N0392
YMR175W	P50263	Protein SIP18	SIP18, YMR175W, YM8010.05
YLL011W	P33750	Protein SOF1 (U3 small nucleolar RNA-associated protein SOF1) (U3 snoRNA-associated protein SOF1)	SOF1, YLL011W, L1339
YJR096W	P47137	Uncharacterized oxidoreductase YJR096W (EC 1.-.-.-)	YJR096W, J1926
YCR095C	P25366	Protein OCA4 (Oxidant-induced cell-cycle arrest protein 4)	OCA4, YCR095C, YCR131, YCR95C
YPR131C	Q06504	N-terminal acetyltransferase B complex catalytic subunit NAT3 (NatB complex subunit NAT3) (EC 2.3.1.254) (NatB Nalpha terminal acetyltransferase 3)	NAT3, YPR131C
YMR241W	Q04013	Citrate/oxoglutarate carrier protein (Coc1p) (Mitochondrial DNA replication protein YHM2)	YHM2, YMR241W, YM9408.03
YOR184W	P33330	Phosphoserine aminotransferase (PSAT) (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (Serine requiring protein 1)	SER1, ADE9, SERC, YOR184W
YBL087C	P0CX41	Large ribosomal subunit protein uL14A (60S ribosomal protein L23-A) (L17a) (YL32)	RPL23A, RPL17A, RPL17AA, YBL087C, YBL0713
YJL206C	P39529	Putative transcriptional regulatory protein YJL206C	YJL206C, J0316
YOR014W	P38903	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A, B subunit, B' delta isoform) (Protein RTS1) (Protein SCS1)	RTS1, SCS1, YOR014W, OR26.04
YDR195W	P42073	RNA end formation protein 2	REF2, YDR195W, YD9346.06
YPR016C	Q12522	Eukaryotic translation initiation factor 6 (eIF-6)	TIF6, CDC95, YPR016C, LPZ15C
YMR115W	Q04472	Mitochondrial inner membrane i-AAA protease supercomplex subunit MGR3 (Mitochondrial genome-required protein 3)	MGR3, FMP24, YMR115W, YM9718.14
YKR093W	P32901	Peptide transporter PTR2 (Peptide permease PTR2)	PTR2, YKR093W, YKR413
YMR197C	Q04338	t-SNARE VTI1 (Qb-SNARE VTI1) (VPS10-interacting protein 1) (Vesicle transport v-SNARE protein VTI1)	VTI1, YMR197C, YM9646.10C
YCL009C	P25605	Acetolactate synthase small subunit, mitochondrial (Acetohydroxy-acid synthase small subunit) (AHAS) (ALS)	ILV6, YCL009C, YCL9C
YLR078C	P25385	Protein transport protein BOS1 (Bet one suppressor 1)	BOS1, YLR078C, L9449.9
YDR235W	Q03776	U1 small nuclear ribonucleoprotein component PRP42 (U1 snRNP protein PRP42) (65 kDa snRNP protein) (Pre-mRNA-processing factor 42)	PRP42, MUD16, SNU65, YDR235W, YD8419.02
YPL117C	P15496	Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase) (IPP isomerase)	IDI1, BOT2, YPL117C, LPH10C
YNL162W-A	Q3E7A8	Uncharacterized protein YNL162W-A	YNL162W-A
YPL113C	Q02961	Putative 2-hydroxyacid dehydrogenase YPL113C (EC 1.-.-.-)	YPL113C
YGR266W	P53326	Uncharacterized protein YGR266W	YGR266W
YOR158W	P17558	Small ribosomal subunit protein mS26 (37S ribosomal protein PET123, mitochondrial)	PET123, YOR158W
YHR134W	P38838	DNA-dependent metalloprotease WSS1 (EC 3.4.24.-) (DNA damage response protein WSS1) (SUMO-dependent isopeptidase WSS1) (Weak suppressor of SMT3 protein 1)	WSS1, YHR134W
YCL014W	P25558	Bud site selection protein 3	BUD3, YCL014W, YCL012W, YCL013W, YCL12W, YCL13W, YCL14W
YLR330W	Q12114	Chitin biosynthesis protein CHS5 (Protein CAL3)	CHS5, CAL3, YLR330W, L8543.18
YKL137W	P36064	COX assembly mitochondrial protein (COX biogenesis factor CMC1) (Cx9C mitochondrial COX assembly protein 1) (Mitochondrial metallochaperone-like protein CMC1)	CMC1, YKL137W
YBR041W	P38225	Very long-chain fatty acid transport protein (EC 6.2.1.-) (Very-long-chain acyl-CoA synthetase) (VLCS)	FAT1, YBR041W, YBR0411
YML131W	Q03102	Uncharacterized membrane protein YML131W	YML131W, YM4987.04
YNL240C	P23503	Cytosolic Fe-S cluster assembly factor NAR1 (Nuclear architecture-related protein 1)	NAR1, YNL240C, N1114
YDR050C	P00942	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	TPI1, YDR050C, YD9609.05C
YDR449C	Q02354	U3 small nucleolar RNA-associated protein 6 (U3 snoRNA-associated protein 6) (U three protein 6)	UTP6, YDR449C, D9461.34
YOR167C	Q3E7X9	Small ribosomal subunit protein eS28A (40S ribosomal protein S28-A) (S33) (YS27)	RPS28A, RPS33, RPS33A, YOR167C, O3600
YJR001W	P47082	Vacuolar amino acid transporter 1	AVT1, YJR001W, J1409, YJR83.4
YDR060W	Q12176	Ribosome biogenesis protein MAK21 (Maintenance of killer protein 21) (Nucleolar complex protein 1)	MAK21, NOC1, YDR060W, D4237, YD9609.14
YJR124C	P47159	Uncharacterized membrane protein YJR124C	YJR124C, J2046
YNL322C	P17260	Protein KRE1 (Killer toxin-resistance protein 1)	KRE1, YNL322C, N0336
YPR108W	Q06103	26S proteasome regulatory subunit RPN7	RPN7, YPR108W, P8283.8
YPR166C	P10663	Small ribosomal subunit protein uS14m (37S ribosomal protein MRP2, mitochondrial)	MRP2, YPR166C, P9325.7
YGL212W	P32912	Vacuolar morphogenesis protein 7	VAM7, YGL212W
YKR044W	P36137	Protein UIP5 (ULP1-interacting protein 5)	UIP5, YKR044W
YFR012W	P43595	Protein DCV1 (Demands CDC28 kinase activity for viability protein 1)	DCV1, YFR012W
YMR087W	Q04299	Probable ADP-ribose 1''-phosphate phosphatase YML087W (EC 3.1.3.84)	YMR087W, YM9582.12
YMR099C	Q03161	Glucose-6-phosphate 1-epimerase (EC 5.1.3.15) (D-hexose-6-phosphate mutarotase)	YMR099C, YM6543.06C
YML100W	P38427	Trehalose synthase complex regulatory subunit TSL1 (Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 123 kDa subunit)	TSL1, YML100W
YOR152C	Q99325	Autophagy-related protein 40	ATG40, YOR152C, O3536
YDR119W-A	Q2V2P9	Cytochrome c oxidase subunit 26, mitochondrial	COX26, YDR119W-A
YMR076C	Q04264	Sister chromatid cohesion protein PDS5 (Precocious dissociation of sisters protein 5)	PDS5, YMR076C, YM9582.01C, YM9916.15C
YOR303W	P07258	Carbamoyl phosphate synthase arginine-specific small chain (CPS) (CPSase) (CPSase-arg) (EC 6.3.5.5) (Arginine-specific carbamoyl phosphate synthetase, glutamine chain) (Carbamoyl phosphate synthase A) (CPS-A) (Glutamine-dependent carbamoyl phosphate synthetase)	CPA1, YOR303W
YPR156C	Q06451	Polyamine transporter 3	TPO3, YPR156C, P9584.7
YML041C	Q03433	Vacuolar protein sorting-associated protein 71 (SWR complex protein 6)	VPS71, SWC6, YML041C, YM8054.02C
YHR006W	P38704	Transcription factor STP2	STP2, YHR006W
YMR162C	Q12674	Probable phospholipid-transporting ATPase DNF3 (EC 7.6.2.1) (Aminophospholipid translocase) (APT) (Phospholipid translocase) (PLT)	DNF3, YMR162C, YM8520.11C
YCL018W	P04173	3-isopropylmalate dehydrogenase (3-IPM-DH) (IMDH) (EC 1.1.1.85) (Beta-IPM dehydrogenase)	LEU2, YCL018W, YCL18W
YML083C	Q04526	Putative uncharacterized protein YML083C	YML083C
YNL074C	P32047	Protein MLF3 (Multicopy suppressor of leflunomide sensitivity 3)	MLF3, YMK1, YNL074C, N2359
YHR171W	P38862	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (Cytoplasm to vacuole targeting protein 2)	ATG7, APG7, CVT2, YHR171W
YLR165C	Q06244	21S rRNA pseudouridine(2819) synthase (EC 5.4.99.43) (Pseudouridine synthase 5) (Pseudouridylate synthase PUS5) (Uracil hydrolyase PUS5)	PUS5, YLR165C
YCR018C	P09007	Pre-rRNA-processing protein SRD1 (Suppressor of rRNA-processing defect protein 1)	SRD1, YCR018C, YCR18C
YGL170C	P45819	Sporulation-specific protein 74	SPO74, YGL170C, G1654
YNL075W	P53941	U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4) (Interacting with MPP10 protein 4)	IMP4, YNL075W, N2353
YER062C	P40106	Glycerol-1-phosphate phosphohydrolase 2 (EC 3.1.3.21) ((DL)-glycerol-3-phosphatase 2) (Hyperosmolarity-responsive protein 2)	GPP2, HOR2, YER062C
YJR136C	P47168	TEL2-interacting protein 2	TTI2, YJR136C, J2124
YDR257C	Q12504	Ribosomal lysine N-methyltransferase 4 (EC 2.1.1.-) (SET domain-containing protein 7)	RKM4, RMS1, SET7, YDR257C, YD9320A.07C
YOR321W	P47190	Dolichyl-phosphate-mannose--protein mannosyltransferase 3 (EC 2.4.1.109)	PMT3, YOR321W, O6148
YPL222W	Q08968	Protein adenylyltransferase SelO, mitochondrial (EC 2.7.7.-) (Selenoprotein O) (SelO)	FMP40, YPL222W
YHR059W	P38783	Small ribosomal subunit protein mS41 (Function required for yeast viability protein 4) (Protein FYV4, mitochondrial)	FYV4, YHR059W
YBR125C	P38089	Protein phosphatase 2C homolog 4 (PP2C-4) (EC 3.1.3.16)	PTC4, GCT1, YBR125C, YBR0921
YDR377W	Q06405	ATP synthase subunit f, mitochondrial	ATP17, YDR377W, D9481.21
YBL081W	P38180	Uncharacterized protein YBL081W	YBL081W, YBL0722
YPL058C	Q02785	ATP-dependent permease PDR12	PDR12, YPL058C, LPE14C
YDL134C	P23594	Serine/threonine-protein phosphatase PP2A-1 catalytic subunit (EC 3.1.3.16)	PPH21, YDL134C, D2180
YML051W	P04387	Galactose/lactose metabolism regulatory protein GAL80	GAL80, YML051W, YM9827.01, YM9958.12
YAL025C	P10962	Protein MAK16 (Maintenance of killer protein 16)	MAK16, YAL025C
YLR046C	Q12253	Uncharacterized membrane protein YLR046C	YLR046C, L2111
YHR042W	P16603	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	NCP1, CPR1, NCPR1, PRD1, YHR042W
YPR066W	Q99344	NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.64) (RUB1-activating enzyme E1) (Ubiquitin-activating enzyme E1 3) (Ubiquitin-like protein-activating enzyme)	UBA3, YPR066W, YP9499.21
YGR048W	P53044	Ubiquitin fusion degradation protein 1 (UB fusion protein 1) (Polymerase-interacting protein 3)	UFD1, PIP3, YGR048W
YGL116W	P26309	APC/C activator protein CDC20 (Cell division control protein 20)	CDC20, YGL116W
YJL036W	P47057	Sorting nexin-4 (Autophagy-related protein 24) (Cytoplasm to vacuole targeting protein 13)	SNX4, ATG24, CVT13, YJL036W, J1244
YJR095W	P33303	Succinate/fumarate mitochondrial transporter (Regulator of acetyl-CoA synthase activity)	SFC1, ACR1, YJR095W, J1921
YEL023C	P39992	Uncharacterized protein YEL023C	YEL023C
YPL001W	Q12341	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48)	HAT1, YPL001W, LPA16W, YP8132.12
YDR493W	Q03429	Mitochondrial zinc maintenance protein 1, mitochondrial (Altered inheritance of mitochondria protein 8) (Found in mitochondrial proteome protein 36)	MZM1, AIM8, FMP36, YDR493W
YGL249W	P53061	Protein ZIP2 (Zipping up meiotic chromosomes protein 2)	ZIP2, YGL249W, NRC704
YMR074C	Q04773	Uncharacterized protein YMR074C	YMR074C, YM9916.13C
YNL052W	P00424	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	COX5A, YNL052W, N2474, YNL2474W
YDR188W	P39079	T-complex protein 1 subunit zeta (TCP-1-zeta) (CCT-zeta)	CCT6, TCP20, TCP6, YDR188W, YD9395.21
YGR075C	Q00723	Pre-mRNA-splicing factor 38 (Pre-mRNA-processing factor 38)	PRP38, YGR075C
YPR187W	P20435	DNA-directed RNA polymerases I, II, and III subunit RPABC2 (RNA polymerases I, II, and III subunit ABC2) (ABC23) (DNA-directed RNA polymerases I, II, and III 23 kDa polypeptide)	RPO26, RPB6, YPR187W, P9677.8
YGL087C	P53152	Ubiquitin-conjugating enzyme variant MMS2 (UEV MMS2)	MMS2, YGL087C
YMR211W	Q03652	Protein DML1 (Drosophila melanogaster misato-like protein 1)	DML1, YMR211W, YM8261.05
YBR135W	P20486	Cyclin-dependent kinases regulatory subunit (Cell division control protein CKS1)	CKS1, YBR135W, YBR1011
YMR290C	Q03532	ATP-dependent RNA helicase HAS1 (EC 3.6.4.13) (Helicase associated with SET1 protein 1)	HAS1, YMR290C
YLR357W	Q06488	Chromatin structure-remodeling complex subunit RSC2 (RSC complex subunit RSC2) (Remodel the structure of chromatin complex subunit 2)	RSC2, YLR357W, L9638.1
YGR092W	P22204	Cell cycle protein kinase DBF2 (EC 2.7.11.1) (Dumbbell forming protein 2)	DBF2, YGR092W
YGL039W	P53183	Putative uncharacterized oxidoreductase YGL039W (EC 1.1.1.-)	YGL039W
YBL018C	P38208	Ribonucleases P/MRP protein subunit POP8 (EC 3.1.26.5) (RNA-processing protein POP8) (RNases P/MRP 15.5 kDa subunit)	POP8, YBL018C, YBL0301
YNL200C	P40165	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase) (Nicotinamide nucleotide repair protein 1)	NNR1, YNL200C, N1370
YHR151C	P38849	Maintenance of telomere capping protein 6	MTC6, YHR151C
YMR029C	Q05040	Factor arrest protein 8	FAR8, YMR029C, YM9973.02C
YEL062W	P39923	Nitrogen permease regulator 2	NPR2, YEL062W
YHR039C-A	P48836	V-type proton ATPase subunit G (V-ATPase subunit G) (V-ATPase 13 kDa subunit) (Vacuolar proton pump subunit G)	VMA10, YHR039C-A, YHR039BC, YHR039C-B
YKL178C	P06783	Pheromone a factor receptor	STE3, YKL178C
YPR101W	Q06091	Pre-mRNA-splicing factor SNT309 (PRP19-associated complex protein 25) (Synergistic to PRP19 mutation protein 309)	SNT309, NTC25, YPR101W
YCL068C	P25593	Putative uncharacterized protein YCL068C	YCL068C, YCL68C
YPL094C	P21825	Translocation protein SEC62 (Sec62/63 complex 30 kDa subunit)	SEC62, YPL094C, LPG14C
YMR124W	P39523	Uncharacterized protein YMR124W	YMR124W, YM8564.06
YJL171C	P46992	Probable circularly permuted 1,3-beta-glucanase YJL171C (EC 3.2.1.39) (TOS1 homolog)	TOH1, YJL171C, J0512
YBR200W	P29366	Bud emergence protein 1 (Suppressor of RHO3 protein 1)	BEM1, SRO1, YBR200W, YBR1412
YOR069W	Q92331	Vacuolar protein sorting-associated protein 5 (Carboxypeptidase Y-deficient protein 10) (Vacuolar protein-targeting protein 5)	VPS5, GRD2, PEP10, VPT5, YOR069W, YOR29-20
YMR032W	Q05080	Cytokinesis protein 2 (Homolog of CDC15 protein 1)	HOF1, CYK2, YMR032W, YM9973.05
YDR096W	Q03833	Transcriptional activator/repressor GIS1	GIS1, YDR096W, YD8557.01
YDR194C	P15424	ATP-dependent RNA helicase MSS116, mitochondrial (EC 3.6.4.13)	MSS116, YDR194C, YD9346.05C
YML014W	P49957	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase (EC 2.1.1.229) (tRNA (uracil-5-)-methyltransferase TRM9) (tRNA [Um34] methyltransferase) (tRNA methylase 9)	TRM9, YML014W, YM9571.04
YGR261C	P46682	AP-3 complex subunit beta (Adaptor-related protein complex 3 subunit beta) (Beta-3-adaptin) (Clathrin assembly protein complex 3 beta large chain) (Clathrin assembly protein large beta chain)	APL6, YKS5, YGR261C, G9331
YDR520C	Q04411	Uracil catabolism protein 2	URC2, YDR520C
YGL154C	P50113	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (AASD-PPT) (EC 2.7.8.7)	LYS5, YGL154C, G1867
YDR113C	P40316	Securin	PDS1, YDR113C, YD9727.08C
YER069W	Q01217	Protein ARG5,6, mitochondrial [Cleaved into: N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase); Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (AGK)]	ARG5,6, YER069W
YDR079W	P38958	Protein PET100, mitochondrial	PET100, YDR079W, D4441
YGL106W	P53141	Myosin light chain 1 (Calmodulin-like myosin light chain MLC1) (Myosin-2 light chain)	MLC1, YGL106W, G3080
YCL054W	P25582	27S pre-rRNA (guanosine(2922)-2'-O)-methyltransferase (EC 2.1.1.167) (2'-O-ribose RNA methyltransferase SPB1) (AdoMet-dependent rRNA methyltransferase SPB1) (S-adenosyl-L-methionine-dependent methyltransferase) (Suppressor of PAB1 protein 1)	SPB1, YCL054W, YCL431, YCL54W
YGR118W	P0CX29	Small ribosomal subunit protein uS12A (40S ribosomal protein S23-A) (RP37) (S28) (YS14)	RPS23A, RPS28A, YGR118W, G6178
YHR020W	P38708	Putative proline--tRNA ligase YHR020W (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	YHR020W
YHR196W	P38882	U3 small nucleolar RNA-associated protein 9 (U3 snoRNA-associated protein 9) (U three protein 9) (U3 protein 9 required for transcription) (t-UTP9)	UTP9, YHR196W
YDR459C	Q03289	Palmitoyltransferase PFA5 (EC 2.3.1.225) (Protein fatty acyltransferase 5)	PFA5, YDR459C
YPL011C	Q12297	Transcription initiation factor TFIID subunit 3 (TAFII-47) (TAFII47) (TBP-associated factor 3) (TBP-associated factor 47 kDa)	TAF3, TAF47, YPL011C, LPA6C
YDR034W-B	Q6Q5X2	Cysteine-rich and transmembrane domain-containing protein YDR034W-B	YDR034W-B
YDR301W	Q06632	Protein CFT1 (Cleavage factor two protein 1)	CFT1, YHH1, YDR301W
YLR438W	P07991	Ornithine aminotransferase (OTAse) (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	CAR2, CARGB, YLR438W, L9753.2
YLR249W	P16521	Elongation factor 3A (EF-3) (EF-3A) (EC 3.6.4.-) (Eukaryotic elongation factor 3) (eEF3) (Translation elongation factor 3A) (Yeast elongation factor 3)	YEF3, EFC1, TEF3, YEF3A, YLR249W, L9672.5
YDL102W	P15436	DNA polymerase delta catalytic subunit (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase III)	POL3, CDC2, TEX1, YDL102W, D2366
YGR002C	P53201	SWR1-complex protein 4 (ESA1-associated factor 2)	SWC4, EAF2, GOD1, YGR002C
YOR078W	Q08492	U3 small nucleolar RNA-associated protein 16 (U3 snoRNA-associated protein 16) (Bud site selection protein 21) (U three protein 16)	BUD21, UTP16, YOR078W, YOR29-29
YPR115W	Q06108	Regulator of the glycerol channel 1	RGC1, YPR115W
YBR185C	P38300	Inner membrane mitoribosome receptor MBA1, mitochondrial (Multi-copy bypass of AFG3 protein)	MBA1, YBR185C, YBR1307
