UniProt, domain_start, domain_end, S_over_T_mean, S_over_T_pval, quantile, refoldable, subcellular_localization, average_KD_hydro, A_SASA_count , C_SASA_count , D_SASA_count , E_SASA_count , F_SASA_count , G_SASA_count , H_SASA_count , I_SASA_count , K_SASA_count , L_SASA_count , M_SASA_count , N_SASA_count , P_SASA_count , Q_SASA_count , R_SASA_count , S_SASA_count , T_SASA_count , V_SASA_count , W_SASA_count , Y_SASA_count
O94742, 5, 88, 0.3138, 0.001275, 66, False, , 3.159, , 7.0, 0, 11.0, 13.0, 3.0, 1.0, 0, 5.0, 9.0, 4.0, 0, 8.0, 1.0, 4.0, 2.0, 3.0, 4.0, 3.0, 3.0, 1.0
P00044, 10, 108, 0.2338, 0.000479, 42, nan, mitochondrion intermembrane space, 2.6, , 2.0, 0, 2.0, 6.0, 0, 11.0, 0, 1.0, 12.0, 1.0, 0, 3.0, 2.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0, 0
P00045, 14, 112, 0.2315, 4.8e-05, 42, nan, mitochondrion intermembrane space, 2.39, , 3.0, 0, 3.0, 5.0, 0, 10.0, 0, 1.0, 14.0, 0, 0, 4.0, 2.0, 3.0, 1.0, 1.0, 3.0, 1.0, 0, 0
P00330, 7, 156, 0.3861, 0.000352, 78, False, cytoplasm, 3.787, , 4.0, 1.0, 4.0, 4.0, 0, 16.0, 4.0, 3.0, 6.0, 5.0, 1.0, 4.0, 6.0, 3.0, 0, 2.0, 0, 4.0, 0, 4.0
P00330, 158, 293, 0.3861, 0.000352, 78, False, cytoplasm, 3.788, , 7.0, 2.0, 3.0, 7.0, 2.0, 16.0, 0, 0, 7.0, 3.0, 2.0, 3.0, 0, 1.0, 3.0, 6.0, 1.0, 4.0, 0, 2.0
P00330, 298, 345, 0.3861, 0.000352, 78, False, cytoplasm, 3.97, , 3.0, 0, 3.0, 4.0, 2.0, 4.0, 0, 1.0, 3.0, 3.0, 1.0, 0, 2.0, 1.0, 4.0, 2.0, 2.0, 4.0, 0, 1.0
P00331, 7, 155, 0.4739, 0.019982, 90, True, cytoplasm, 3.678, , 3.0, 2.0, 3.0, 6.0, 0, 18.0, 4.0, 2.0, 7.0, 5.0, 1.0, 5.0, 8.0, 1.0, 0, 3.0, 1.0, 4.0, 0, 3.0
P00331, 157, 293, 0.4739, 0.019982, 90, True, cytoplasm, 3.856, , 7.0, 1.0, 2.0, 6.0, 2.0, 17.0, 0, 0, 7.0, 4.0, 0, 3.0, 1.0, 1.0, 2.0, 8.0, 3.0, 4.0, 0, 2.0
P00331, 298, 345, 0.4739, 0.019982, 90, True, cytoplasm, 3.905, , 4.0, 0, 3.0, 4.0, 2.0, 4.0, 0, 1.0, 3.0, 3.0, 1.0, 0, 2.0, 1.0, 4.0, 3.0, 2.0, 3.0, 0, 1.0
P00358, 3, 149, 0.4964, 0.000225, 90, True, cytoplasm, 3.177, , 3.0, 1.0, 8.0, 4.0, 1.0, 9.0, 2.0, 2.0, 6.0, 0, 2.0, 4.0, 1.0, 2.0, 4.0, 7.0, 3.0, 4.0, 0, 3.0
P00358, 151, 317, 0.4964, 0.000225, 90, True, cytoplasm, 3.604, , 7.0, 0, 6.0, 8.0, 0, 16.0, 1.0, 2.0, 7.0, 3.0, 0, 2.0, 4.0, 1.0, 2.0, 5.0, 4.0, 5.0, 1.0, 2.0
P00359, 3, 149, 0.5427, 0.001231, 90, False, cytoplasm; mitochondrion, 3.098, , 2.0, 1.0, 8.0, 4.0, 1.0, 10.0, 2.0, 2.0, 6.0, 0, 2.0, 4.0, 2.0, 1.0, 4.0, 7.0, 4.0, 3.0, 0, 3.0
P00359, 151, 317, 0.5427, 0.001231, 90, False, cytoplasm; mitochondrion, 3.533, , 5.0, 0, 6.0, 8.0, 0, 16.0, 1.0, 2.0, 7.0, 3.0, 0, 2.0, 4.0, 1.0, 2.0, 6.0, 4.0, 5.0, 1.0, 2.0
P00360, 3, 149, 0.6142, 0.001306, 90, False, cytoplasm, 3.272, , 1.0, 1.0, 9.0, 2.0, 1.0, 10.0, 3.0, 2.0, 8.0, 2.0, 1.0, 2.0, 2.0, 2.0, 4.0, 7.0, 3.0, 5.0, 0, 3.0
P00360, 151, 318, 0.6142, 0.001306, 90, False, cytoplasm, 3.714, , 6.0, 0, 6.0, 8.0, 1.0, 16.0, 1.0, 2.0, 6.0, 3.0, 0, 1.0, 5.0, 2.0, 2.0, 6.0, 5.0, 6.0, 1.0, 2.0
P00431, 74, 359, 0.4515, 0.000157, 90, True, mitochondrion matrix; mitochondrion intermembrane space, 2.317, , 3.0, 0, 14.0, 12.0, 0, 20.0, 1.0, 1.0, 16.0, 2.0, 0, 11.0, 6.0, 4.0, 1.0, 7.0, 3.0, 0, 0, 1.0
P00445, 3, 152, 0.9444, 0.561246, 90, False, cytoplasm; mitochondrion intermembrane space, 3.529, , 5.0, 0, 4.0, 9.0, 2.0, 19.0, 0, 1.0, 9.0, 2.0, 0, 4.0, 6.0, 1.0, 0, 7.0, 5.0, 5.0, 0, 0
P00447, 47, 113, 0.2907, 0.004276, 54, True, mitochondrion matrix, 3.455, , 4.0, 1.0, 2.0, 4.0, 2.0, 4.0, 1.0, 2.0, 4.0, 3.0, 0, 6.0, 2.0, 4.0, 1.0, 1.0, 4.0, 1.0, 0, 1.0
P00447, 118, 230, 0.2907, 0.004276, 54, True, mitochondrion matrix, 2.875, , 7.0, 0, 6.0, 4.0, 0, 11.0, 1.0, 0, 6.0, 2.0, 0, 5.0, 1.0, 7.0, 1.0, 1.0, 4.0, 1.0, 0, 2.0
P00498, 4, 99, 0.6722, 0.001712, 90, False, cytoplasm, 3.194, , 3.0, 1.0, 9.0, 2.0, 0, 7.0, 2.0, 2.0, 4.0, 4.0, 0, 4.0, 1.0, 2.0, 3.0, 5.0, 3.0, 1.0, 0, 0
P00498, 101, 192, 0.6722, 0.001712, 90, False, cytoplasm, 3.611, , 4.0, 0, 2.0, 5.0, 1.0, 8.0, 0, 0, 6.0, 4.0, 0, 1.0, 0, 1.0, 2.0, 6.0, 5.0, 2.0, 0, 0
P00498, 194, 222, 0.6722, 0.001712, 90, False, cytoplasm, 3.952, , 2.0, 0, 1.0, 2.0, 0, 1.0, 0, 2.0, 3.0, 2.0, 1.0, 1.0, 0, 1.0, 1.0, 4.0, 2.0, 1.0, 0, 1.0
P00498, 224, 291, 0.6722, 0.001712, 90, False, cytoplasm, 2.96, , 1.0, 0, 5.0, 5.0, 2.0, 4.0, 0, 2.0, 4.0, 0, 1.0, 0, 2.0, 0, 4.0, 2.0, 2.0, 1.0, 0, 0
P00546, 6, 89, 0.2637, 0.00392, 54, nan, , 3.22, , 2.0, 0, 4.0, 8.0, 1.0, 6.0, 2.0, 1.0, 3.0, 5.0, 0, 2.0, 2.0, 2.0, 4.0, 4.0, 2.0, 2.0, 0, 1.0
P00546, 94, 295, 0.2637, 0.00392, 54, nan, , 3.072, , 4.0, 0, 11.0, 3.0, 2.0, 12.0, 2.0, 5.0, 8.0, 2.0, 0, 2.0, 10.0, 6.0, 9.0, 8.0, 3.0, 3.0, 0, 3.0
P00549, 4, 88, 0.4063, 0.000592, 78, False, , 3.704, , 5.0, 0, 2.0, 6.0, 0, 7.0, 1.0, 3.0, 5.0, 5.0, 0, 1.0, 4.0, 0, 5.0, 5.0, 4.0, 2.0, 0, 2.0
P00549, 92, 180, 0.4063, 0.000592, 78, False, , 3.05, , 3.0, 0, 8.0, 2.0, 0, 5.0, 1.0, 0, 7.0, 2.0, 0, 3.0, 3.0, 0, 1.0, 1.0, 0, 4.0, 0, 2.0
P00549, 189, 361, 0.4063, 0.000592, 78, False, , 3.543, , 10.0, 1.0, 6.0, 10.0, 3.0, 11.0, 1.0, 3.0, 8.0, 5.0, 1.0, 8.0, 4.0, 5.0, 3.0, 4.0, 3.0, 4.0, 0, 2.0
P00549, 363, 499, 0.4063, 0.000592, 78, False, , 2.903, , 3.0, 1.0, 4.0, 6.0, 3.0, 8.0, 1.0, 0, 7.0, 1.0, 0, 5.0, 4.0, 2.0, 4.0, 4.0, 5.0, 2.0, 0, 0
P00560, 10, 192, 0.4099, 0.000154, 78, True, cytoplasm; mitochondrion, 2.673, , 9.0, 0, 9.0, 7.0, 2.0, 11.0, 3.0, 0, 14.0, 1.0, 0, 3.0, 5.0, 5.0, 6.0, 4.0, 2.0, 3.0, 0, 1.0
P00560, 194, 402, 0.4099, 0.000154, 78, True, cytoplasm; mitochondrion, 3.121, , 14.0, 0, 10.0, 11.0, 1.0, 23.0, 1.0, 1.0, 16.0, 2.0, 0, 3.0, 3.0, 1.0, 1.0, 2.0, 7.0, 1.0, 0, 0
P00572, 8, 205, 0.387, 2.8e-05, 78, False, , 2.767, , 3.0, 0, 10.0, 8.0, 0, 11.0, 0, 3.0, 13.0, 5.0, 0, 6.0, 2.0, 7.0, 2.0, 5.0, 5.0, 1.0, 1.0, 0
P00635, 26, 455, 0.526, 0.004264, 90, True, secreted, 2.746, , 6.0, 0, 29.0, 11.0, 3.0, 23.0, 0, 1.0, 11.0, 1.0, 1.0, 17.0, 2.0, 2.0, 4.0, 15.0, 15.0, 4.0, 0, 4.0
P00724, 40, 341, 0.351, 0.000792, 66, False, secreted; cytoplasm, 3.137, , 11.0, 0, 11.0, 9.0, 3.0, 16.0, 1.0, 1.0, 6.0, 3.0, 0, 12.0, 12.0, 6.0, 0, 9.0, 8.0, 1.0, 2.0, 3.0
P00724, 353, 530, 0.351, 0.000792, 66, False, secreted; cytoplasm, 3.124, , 4.0, 0, 7.0, 5.0, 2.0, 9.0, 0, 1.0, 5.0, 2.0, 0, 10.0, 3.0, 2.0, 2.0, 10.0, 11.0, 2.0, 0, 1.0
P00729, 32, 81, 0.2228, 0.011503, 30, True, vacuole lumen, 3.419, , 2.0, 0, 5.0, 4.0, 1.0, 1.0, 2.0, 0, 2.0, 4.0, 1.0, 2.0, 2.0, 3.0, 0, 3.0, 2.0, 2.0, 0, 1.0
P00729, 97, 293, 0.2228, 0.011503, 30, True, vacuole lumen, 3.42, , 2.0, 1.0, 9.0, 5.0, 2.0, 17.0, 0, 4.0, 9.0, 6.0, 0, 11.0, 5.0, 1.0, 1.0, 8.0, 4.0, 2.0, 1.0, 2.0
P00729, 295, 362, 0.2228, 0.011503, 30, True, vacuole lumen, 3.287, , 1.0, 0, 2.0, 6.0, 0, 5.0, 0, 1.0, 0, 0, 1.0, 2.0, 3.0, 2.0, 2.0, 5.0, 2.0, 3.0, 1.0, 4.0
P00729, 374, 528, 0.2228, 0.011503, 30, True, vacuole lumen, 3.95, , 6.0, 3.0, 10.0, 7.0, 5.0, 9.0, 4.0, 5.0, 4.0, 6.0, 2.0, 8.0, 6.0, 3.0, 2.0, 3.0, 3.0, 6.0, 1.0, 5.0
P00812, 15, 328, 0.5696, 0.000746, 90, True, , 3.005, , 7.0, 0, 14.0, 10.0, 0, 27.0, 2.0, 2.0, 15.0, 4.0, 2.0, 5.0, 6.0, 2.0, 2.0, 9.0, 4.0, 1.0, 0, 3.0
P00815, 7, 132, 0.4496, 0.000149, 90, True, , 2.365, , 3.0, 0, 4.0, 8.0, 0, 4.0, 0, 0, 11.0, 1.0, 1.0, 4.0, 2.0, 6.0, 0, 10.0, 0, 1.0, 0, 0
P00815, 134, 224, 0.4496, 0.000149, 90, True, , 2.874, , 1.0, 2.0, 5.0, 7.0, 0, 8.0, 0, 0, 4.0, 5.0, 0, 2.0, 1.0, 3.0, 4.0, 2.0, 2.0, 0, 0, 1.0
P00815, 245, 329, 0.4496, 0.000149, 90, True, , 2.892, , 6.0, 0, 6.0, 8.0, 1.0, 2.0, 1.0, 0, 8.0, 4.0, 1.0, 5.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0
P00815, 383, 589, 0.4496, 0.000149, 90, True, , 3.316, , 6.0, 1.0, 5.0, 16.0, 3.0, 13.0, 1.0, 2.0, 7.0, 6.0, 2.0, 5.0, 6.0, 6.0, 3.0, 6.0, 7.0, 2.0, 0, 0
P00815, 598, 747, 0.4496, 0.000149, 90, True, , 2.721, , 4.0, 1.0, 9.0, 6.0, 1.0, 9.0, 4.0, 1.0, 3.0, 2.0, 0, 6.0, 1.0, 7.0, 3.0, 6.0, 6.0, 0, 0, 6.0
P00815, 750, 791, 0.4496, 0.000149, 90, True, , 3.953, , 3.0, 1.0, 1.0, 3.0, 0, 5.0, 1.0, 4.0, 4.0, 2.0, 0, 3.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 0, 0
P00817, 4, 278, 0.5634, 4.9e-05, 90, False, cytoplasm, 2.79, , 6.0, 0, 8.0, 12.0, 1.0, 13.0, 1.0, 4.0, 18.0, 1.0, 0, 4.0, 14.0, 2.0, 2.0, 7.0, 5.0, 1.0, 1.0, 1.0
P00890, 46, 146, 0.3444, 9.3e-05, 66, False, mitochondrion matrix, 3.856, , 6.0, 0, 1.0, 13.0, 2.0, 11.0, 1.0, 3.0, 7.0, 5.0, 1.0, 0, 4.0, 2.0, 2.0, 1.0, 3.0, 4.0, 1.0, 1.0
P00890, 148, 312, 0.3444, 9.3e-05, 66, False, mitochondrion matrix, 3.482, , 8.0, 0, 7.0, 6.0, 2.0, 12.0, 6.0, 1.0, 7.0, 6.0, 0, 3.0, 3.0, 2.0, 0, 9.0, 3.0, 1.0, 1.0, 2.0
P00890, 314, 423, 0.3444, 9.3e-05, 66, False, mitochondrion matrix, 2.732, , 4.0, 0, 3.0, 8.0, 1.0, 8.0, 1.0, 0, 10.0, 2.0, 0, 1.0, 2.0, 2.0, 3.0, 0, 1.0, 2.0, 0, 2.0
P00890, 427, 453, 0.3444, 9.3e-05, 66, False, mitochondrion matrix, 5.719, , 4.0, 0, 1.0, 0, 2.0, 3.0, 0, 3.0, 0, 3.0, 0, 0, 1.0, 1.0, 2.0, 1.0, 1.0, 4.0, 0, 1.0
P00899, 8, 504, 0.4954, 0.000129, 90, True, , 2.833, , 7.0, 0, 21.0, 17.0, 2.0, 26.0, 1.0, 3.0, 18.0, 8.0, 1.0, 10.0, 12.0, 9.0, 7.0, 12.0, 10.0, 2.0, 0, 4.0
P00912, 14, 223, 0.4337, 0.014886, 78, nan, , 2.6, , 4.0, 0, 10.0, 10.0, 0, 17.0, 2.0, 1.0, 8.0, 1.0, 0, 10.0, 5.0, 3.0, 4.0, 11.0, 3.0, 2.0, 0, 0
P00924, 4, 137, 0.4726, 0.001756, 90, True, cytoplasm, 3.599, , 7.0, 0, 6.0, 3.0, 0, 8.0, 2.0, 2.0, 9.0, 5.0, 1.0, 3.0, 3.0, 0, 3.0, 7.0, 2.0, 3.0, 1.0, 2.0
P00924, 139, 436, 0.4726, 0.001756, 90, True, cytoplasm, 2.638, , 7.0, 0, 12.0, 9.0, 1.0, 21.0, 3.0, 0, 14.0, 2.0, 0, 7.0, 2.0, 3.0, 5.0, 10.0, 6.0, 1.0, 0, 0
P00925, 4, 137, 0.4881, 0.001022, 90, False, cytoplasm, 3.578, , 8.0, 0, 5.0, 4.0, 0, 7.0, 1.0, 1.0, 7.0, 4.0, 2.0, 6.0, 2.0, 1.0, 3.0, 7.0, 2.0, 4.0, 1.0, 2.0
P00925, 139, 436, 0.4881, 0.001022, 90, False, cytoplasm, 2.715, , 8.0, 0, 12.0, 11.0, 1.0, 23.0, 2.0, 0, 14.0, 1.0, 0, 6.0, 1.0, 2.0, 5.0, 10.0, 6.0, 2.0, 0, 0
P00927, 35, 104, 0.3276, 1.2e-05, 66, False, mitochondrion, 3.831, , 0, 0, 4.0, 3.0, 0, 2.0, 1.0, 3.0, 3.0, 6.0, 0, 4.0, 3.0, 3.0, 4.0, 6.0, 2.0, 6.0, 0, 2.0
P00927, 109, 200, 0.3276, 1.2e-05, 66, False, mitochondrion, 2.962, , 3.0, 1.0, 4.0, 3.0, 2.0, 6.0, 2.0, 1.0, 6.0, 2.0, 1.0, 5.0, 2.0, 4.0, 3.0, 3.0, 0, 1.0, 0, 1.0
P00927, 208, 385, 0.3276, 1.2e-05, 66, False, mitochondrion, 3.044, , 3.0, 0, 7.0, 6.0, 3.0, 12.0, 1.0, 1.0, 2.0, 1.0, 2.0, 6.0, 4.0, 6.0, 10.0, 4.0, 6.0, 5.0, 0, 1.0
P00927, 388, 574, 0.3276, 1.2e-05, 66, False, mitochondrion, 2.871, , 3.0, 0, 8.0, 10.0, 1.0, 12.0, 6.0, 1.0, 11.0, 4.0, 0, 6.0, 7.0, 3.0, 4.0, 8.0, 3.0, 5.0, 0, 1.0
P00931, 2, 286, 0.4403, 0.000298, 90, True, , 2.739, , 4.0, 0, 12.0, 15.0, 0, 19.0, 1.0, 1.0, 13.0, 5.0, 1.0, 9.0, 3.0, 6.0, 1.0, 11.0, 4.0, 2.0, 0, 0
P00931, 306, 352, 0.4403, 0.000298, 90, True, , 3.826, , 3.0, 1.0, 4.0, 5.0, 4.0, 5.0, 1.0, 1.0, 2.0, 3.0, 0, 0, 3.0, 1.0, 2.0, 3.0, 1.0, 1.0, 0, 2.0
P00931, 356, 378, 0.4403, 0.000298, 90, True, , 2.835, , 1.0, 1.0, 1.0, 3.0, 0, 1.0, 2.0, 0, 2.0, 3.0, 0, 1.0, 0, 2.0, 2.0, 0, 0, 0, 1.0, 0
P00931, 380, 493, 0.4403, 0.000298, 90, True, , 3.841, , 6.0, 0, 0, 0, 1.0, 9.0, 2.0, 2.0, 6.0, 6.0, 0, 3.0, 2.0, 0, 7.0, 3.0, 6.0, 1.0, 0, 0
P00931, 495, 694, 0.4403, 0.000298, 90, True, , 3.642, , 6.0, 0, 7.0, 5.0, 2.0, 19.0, 3.0, 3.0, 10.0, 3.0, 1.0, 1.0, 5.0, 5.0, 2.0, 6.0, 6.0, 6.0, 0, 1.0
P00937, 14, 199, 0.4956, 0.000238, 90, True, , 3.038, , 2.0, 2.0, 4.0, 7.0, 0, 16.0, 1.0, 2.0, 8.0, 2.0, 0, 5.0, 4.0, 2.0, 3.0, 6.0, 4.0, 1.0, 1.0, 3.0
P00937, 226, 483, 0.4956, 0.000238, 90, True, , 2.683, , 0, 1.0, 9.0, 9.0, 2.0, 10.0, 5.0, 1.0, 17.0, 5.0, 1.0, 6.0, 8.0, 3.0, 2.0, 8.0, 4.0, 2.0, 1.0, 0
P00942, 6, 245, 0.4555, 0.003281, 90, False, , 2.925, , 7.0, 0, 12.0, 10.0, 1.0, 19.0, 1.0, 0, 15.0, 4.0, 0, 4.0, 2.0, 2.0, 1.0, 11.0, 8.0, 1.0, 0, 1.0
P00958, 4, 167, 0.3928, 0.000329, 78, True, cytoplasm, 2.635, , 6.0, 0, 5.0, 9.0, 3.0, 1.0, 4.0, 0, 11.0, 1.0, 0, 7.0, 4.0, 4.0, 2.0, 7.0, 3.0, 3.0, 0, 1.0
P00958, 198, 307, 0.3928, 0.000329, 78, True, cytoplasm, 3.582, , 3.0, 0, 4.0, 3.0, 2.0, 8.0, 2.0, 4.0, 5.0, 6.0, 0, 6.0, 1.0, 4.0, 3.0, 3.0, 7.0, 1.0, 1.0, 5.0
P00958, 309, 384, 0.3928, 0.000329, 78, True, cytoplasm, 2.915, , 1.0, 1.0, 9.0, 4.0, 0, 1.0, 2.0, 1.0, 4.0, 4.0, 0, 2.0, 2.0, 1.0, 1.0, 4.0, 0, 1.0, 0, 3.0
P00958, 386, 529, 0.3928, 0.000329, 78, True, cytoplasm, 2.906, , 1.0, 1.0, 5.0, 11.0, 2.0, 8.0, 1.0, 2.0, 11.0, 3.0, 0, 4.0, 3.0, 4.0, 2.0, 8.0, 4.0, 2.0, 2.0, 5.0
P00958, 531, 575, 0.3928, 0.000329, 78, True, cytoplasm, 3.66, , 2.0, 0, 3.0, 1.0, 1.0, 3.0, 1.0, 1.0, 0, 1.0, 0, 4.0, 2.0, 1.0, 2.0, 8.0, 0, 3.0, 1.0, 1.0
P00958, 577, 723, 0.3928, 0.000329, 78, True, cytoplasm, 2.513, , 5.0, 0, 5.0, 9.0, 0, 7.0, 2.0, 1.0, 10.0, 4.0, 0, 9.0, 4.0, 3.0, 3.0, 5.0, 1.0, 0, 0, 0
P01094, 4, 64, 0.6273, 0.011617, 90, nan, , 3.049, , 5.0, 0, 6.0, 5.0, 2.0, 4.0, 2.0, 1.0, 11.0, 2.0, 1.0, 2.0, 0, 7.0, 0, 6.0, 2.0, 3.0, 0, 2.0
