UniProt, domain_start, domain_end, S_over_T_mean, S_over_T_pval, quantile, refoldable, subcellular_localization, average_KD_hydro, A_SASA , C_SASA , D_SASA , E_SASA , F_SASA , G_SASA , H_SASA , I_SASA , K_SASA , L_SASA , M_SASA , N_SASA , P_SASA , Q_SASA , R_SASA , S_SASA , T_SASA , V_SASA , W_SASA , Y_SASA
O13585, 508, 803, 0.3256, 0.000333, 66, False, golgi apparatus, 3.203, , 175.3, 124.24, 1734.05, 1337.19, 611.91, 179.37, 646.21, 887.59, 2352.34, 1462.73, 261.15, 1368.41, 958.83, 1027.77, 603.92, 897.22, 147.42, 262.83, 0, 894.06
O14455, 53, 93, 0.2952, 0.000343, 54, nan, cytoplasm, 2.204, , 63.23, 0, 81.34, 384.03, 93.27, 90.34, 0, 201.79, 709.21, 0, 0, 259.11, 0, 0, 1046.88, 53.07, 102.16, 0, 0, 0
O14464, 64, 91, 0.2157, 3.2e-05, 30, nan, mitochondrion, 1.963, , 0, 0, 68.26, 0, 179.86, 88.9, 0, 0, 845.36, 128.94, 0, 79.39, 0, 221.84, 606.69, 186.66, 0, 0, 0, 98.81
O14467, 109, 136, 0.157, 0.000531, 6, False, nucleus; cytoplasm, 3.624, , 236.28, 0, 67.17, 157.32, 0, 68.13, 0, 149.06, 313.82, 196.36, 0, 172.23, 96.84, 242.39, 452.57, 0, 0, 193.62, 0, 0
O43137, 33, 78, 0.5815, 0.028194, 90, nan, nucleus; cytoplasm, 3.119, , 52.69, 0, 371.45, 888.91, 0, 115.74, 0, 112.3, 665.73, 247.33, 0, 249.6, 0, 237.22, 0, 63.42, 69.02, 143.24, 0, 262.44
O60200, 13, 53, 0.3886, 0.00585, 78, nan, nucleus; cytoplasm; mitochondrion intermembrane space, 3.239, , 40.52, 94.4, 117.37, 422.87, 92.41, 71.49, 0, 0, 628.18, 111.09, 0, 346.19, 0, 0, 0, 175.57, 293.93, 213.3, 108.94, 160.35
O75012, 21, 80, 0.2074, 0.001914, 30, nan, mitochondrion matrix; mitochondrion, 3.545, , 205.66, 0, 0, 356.57, 0, 127.9, 303.55, 347.03, 742.95, 370.49, 227.9, 631.92, 113.06, 345.74, 422.31, 445.77, 159.4, 130.0, 0, 320.63
P00044, 15, 104, 0.2338, 0.000479, 42, nan, mitochondrion intermembrane space, 2.457, , 104.15, 0, 318.71, 598.88, 0, 436.7, 79.88, 83.89, 1547.03, 84.65, 0, 289.06, 178.31, 256.01, 149.99, 82.81, 232.52, 109.34, 0, 126.07
P00045, 19, 108, 0.2315, 4.8e-05, 42, nan, mitochondrion intermembrane space, 2.324, , 184.89, 0, 462.98, 586.07, 0, 360.6, 78.99, 77.38, 1462.24, 0, 0, 342.48, 175.89, 341.78, 160.9, 81.71, 316.07, 108.23, 0, 126.5
P00330, 7, 345, 0.3861, 0.000352, 78, False, cytoplasm, 3.499, , 602.76, 168.78, 759.39, 1520.98, 251.4, 996.41, 439.9, 103.75, 1857.83, 373.04, 198.15, 645.86, 597.41, 231.53, 667.37, 412.72, 74.25, 801.61, 0, 298.5
P00331, 7, 345, 0.4739, 0.019982, 90, True, cytoplasm, 3.445, , 664.85, 106.07, 577.02, 1532.79, 265.84, 986.99, 415.95, 110.01, 1968.64, 480.65, 80.55, 784.77, 851.87, 233.96, 676.17, 590.71, 226.76, 687.95, 0, 299.91
P00358, 2, 328, 0.4964, 0.000225, 90, True, cytoplasm, 3.148, , 639.08, 0, 1199.97, 1153.24, 151.39, 651.02, 341.34, 228.69, 1797.82, 333.52, 0, 418.18, 387.47, 333.25, 586.74, 844.51, 433.23, 415.22, 211.47, 344.05
P00359, 2, 328, 0.5427, 0.001231, 90, False, cytoplasm; mitochondrion, 3.084, , 504.49, 0, 1235.77, 1198.23, 152.84, 688.73, 343.45, 229.18, 1798.62, 329.3, 0, 392.25, 506.57, 208.6, 615.43, 958.08, 491.03, 374.06, 213.22, 342.29
P00360, 2, 328, 0.6142, 0.001306, 90, False, cytoplasm, 3.221, , 397.71, 0, 1313.94, 963.52, 236.19, 671.44, 250.87, 229.29, 1996.05, 403.5, 0, 101.69, 595.15, 418.43, 678.8, 856.0, 526.81, 483.91, 212.79, 448.12
P00431, 72, 355, 0.4515, 0.000157, 90, True, mitochondrion matrix; mitochondrion intermembrane space, 2.417, , 118.5, 0, 1351.04, 1008.75, 0, 299.82, 227.08, 81.74, 2313.11, 248.43, 0, 942.94, 444.93, 338.62, 149.39, 442.86, 294.97, 85.79, 0, 148.96
P00445, 2, 149, 0.9444, 0.561246, 90, False, cytoplasm; mitochondrion intermembrane space, 3.557, , 310.2, 0, 440.83, 963.85, 211.69, 450.33, 0, 72.87, 1218.96, 79.03, 0, 408.95, 472.35, 283.58, 0, 446.35, 373.5, 526.1, 0, 0
P00447, 30, 227, 0.2907, 0.004276, 54, True, mitochondrion matrix, 2.776, , 479.61, 0, 838.08, 960.78, 84.66, 480.94, 0, 120.73, 1386.91, 269.68, 0, 574.45, 472.93, 967.11, 344.94, 244.92, 496.54, 64.75, 0, 208.69
P00498, 6, 279, 0.6722, 0.001712, 90, False, cytoplasm, 2.974, , 531.52, 0, 1341.08, 1391.46, 131.86, 569.71, 159.29, 281.25, 2457.98, 581.4, 77.41, 666.2, 218.52, 468.82, 1364.75, 894.6, 780.67, 240.49, 0, 0
P00546, 4, 294, 0.2637, 0.00392, 54, nan, , 2.842, , 360.52, 0, 1322.38, 1152.75, 0, 466.82, 456.33, 609.58, 1366.33, 327.39, 0, 262.65, 1037.2, 818.33, 1991.7, 667.68, 364.65, 200.42, 0, 374.11
P00549, 18, 492, 0.4063, 0.000592, 78, False, , 2.962, , 826.83, 84.64, 1394.27, 2155.44, 222.46, 738.35, 223.14, 114.65, 2985.4, 541.8, 0, 1090.01, 1212.54, 541.8, 718.7, 521.75, 446.98, 426.52, 0, 320.24
P00560, 6, 413, 0.4099, 0.000154, 78, True, cytoplasm; mitochondrion, 2.774, , 1222.12, 0, 1807.72, 2173.44, 121.61, 862.28, 258.03, 75.25, 3836.17, 74.43, 0, 580.17, 634.74, 618.54, 646.49, 228.35, 611.23, 185.58, 0, 0
P00572, 6, 203, 0.387, 2.8e-05, 78, False, , 2.77, , 122.57, 0, 904.6, 875.8, 0, 450.37, 0, 242.83, 1492.65, 389.0, 0, 485.28, 223.83, 817.96, 382.74, 352.87, 267.06, 162.49, 103.3, 0
P00635, 30, 454, 0.526, 0.004264, 90, True, secreted, 2.79, , 401.26, 0, 2635.94, 1433.62, 365.4, 534.42, 0, 209.47, 1541.41, 120.57, 194.38, 1588.44, 130.31, 252.11, 525.27, 957.7, 1244.46, 236.39, 127.26, 549.16
P00724, 26, 514, 0.351, 0.000792, 66, False, secreted; cytoplasm, 3.171, , 744.82, 0, 1165.58, 1772.36, 570.52, 375.74, 80.23, 156.25, 1468.41, 366.68, 0, 2184.45, 1273.69, 626.05, 371.67, 1194.02, 1479.17, 227.89, 132.37, 241.52
P00729, 33, 526, 0.2228, 0.011503, 30, True, vacuole lumen, 2.736, , 337.25, 56.0, 2366.5, 2417.34, 102.38, 615.91, 483.91, 351.01, 2231.8, 306.95, 143.62, 1153.76, 629.2, 706.93, 359.43, 1001.56, 343.26, 403.19, 0, 0
P00812, 5, 327, 0.5696, 0.000746, 90, True, , 2.898, , 316.48, 0, 1453.06, 1105.64, 0, 528.51, 328.72, 231.43, 2013.44, 372.76, 249.36, 583.06, 548.28, 223.16, 405.83, 426.8, 394.6, 68.55, 0, 338.65
P00815, 2, 793, 0.4496, 0.000149, 90, True, , 2.906, , 1235.97, 412.97, 2853.02, 5834.22, 601.97, 1245.53, 781.9, 600.8, 6244.71, 1433.21, 288.37, 2063.28, 1150.93, 2437.54, 1737.66, 1866.16, 1252.69, 559.42, 150.35, 415.54
P00817, 5, 280, 0.5634, 4.9e-05, 90, False, cytoplasm, 2.814, , 386.57, 0, 842.74, 1281.41, 224.96, 398.45, 88.87, 312.21, 2272.03, 103.22, 0, 355.67, 1182.47, 227.8, 271.96, 497.71, 274.75, 72.21, 279.1, 134.9
P00890, 92, 467, 0.3444, 9.3e-05, 66, False, mitochondrion matrix, 3.077, , 781.47, 0, 727.76, 2206.77, 101.27, 814.81, 246.41, 85.13, 2460.41, 342.61, 0, 420.09, 583.23, 264.15, 597.93, 527.14, 630.29, 458.39, 104.0, 383.74
P00899, 7, 499, 0.4954, 0.000129, 90, True, , 2.791, , 372.77, 0, 1806.8, 1886.87, 219.79, 469.35, 106.36, 173.66, 2146.24, 931.71, 97.97, 955.43, 1139.77, 1098.63, 857.91, 828.83, 795.51, 174.55, 116.17, 366.52
P00912, 12, 218, 0.4337, 0.014886, 78, nan, , 2.799, , 221.36, 0, 806.74, 1270.66, 0, 534.96, 275.72, 72.74, 640.62, 298.98, 0, 1135.92, 362.09, 270.79, 589.55, 630.1, 196.21, 177.06, 0, 0
P00924, 5, 432, 0.4726, 0.001756, 90, True, cytoplasm, 2.852, , 686.06, 0, 1297.04, 1079.83, 0, 718.34, 455.72, 0, 2841.61, 159.76, 158.56, 872.79, 271.14, 194.1, 613.96, 820.05, 388.3, 413.84, 101.95, 243.42
P00925, 5, 432, 0.4881, 0.001022, 90, False, cytoplasm, 2.976, , 789.82, 0, 1211.75, 1501.13, 0, 635.83, 355.35, 0, 2728.25, 76.36, 233.62, 1053.92, 132.23, 103.21, 605.21, 824.2, 387.01, 546.21, 105.04, 245.79
P00927, 43, 574, 0.3276, 1.2e-05, 66, False, mitochondrion, 2.938, , 364.5, 95.17, 1806.29, 1757.79, 681.33, 722.27, 827.84, 444.1, 2412.12, 923.59, 81.57, 1478.6, 1257.45, 1142.35, 2553.93, 1051.14, 673.31, 866.35, 0, 338.24
P00931, 1, 687, 0.4403, 0.000298, 90, True, , 2.978, , 748.41, 0, 1769.82, 2619.3, 249.15, 982.72, 538.9, 289.22, 4096.37, 813.56, 102.26, 948.8, 571.16, 1043.81, 1066.1, 1163.65, 801.23, 479.81, 0, 0
P00937, 12, 469, 0.4956, 0.000238, 90, True, , 2.82, , 349.45, 164.74, 1027.83, 2109.74, 101.77, 778.54, 540.38, 428.15, 3119.66, 631.1, 0, 1133.88, 1009.46, 555.89, 796.98, 1162.26, 476.19, 138.85, 148.95, 330.52
P00942, 5, 246, 0.4555, 0.003281, 90, False, , 2.915, , 413.93, 0, 1085.27, 998.19, 127.92, 673.79, 147.55, 0, 1792.83, 427.81, 0, 337.38, 208.41, 217.83, 244.01, 708.68, 769.27, 80.18, 0, 170.67
P00958, 3, 745, 0.3928, 0.000329, 78, True, cytoplasm, 2.398, , 827.12, 63.45, 2741.64, 3625.07, 260.51, 543.35, 952.31, 138.06, 6002.91, 482.66, 0, 2163.23, 859.81, 1306.24, 923.14, 1742.52, 585.04, 571.02, 0, 559.81
P01098, 40, 69, 0.4476, 0.000807, 90, False, mitochondrion, 2.629, , 154.7, 0, 69.23, 674.24, 0, 0, 286.15, 156.86, 611.52, 228.08, 0, 0, 0, 193.83, 581.1, 0, 0, 72.28, 0, 288.05
P01149, 101, 143, 0.2234, 0.008742, 30, nan, , 2.926, , 289.78, 0, 171.51, 558.01, 0, 146.9, 245.36, 0, 357.32, 77.35, 132.74, 0, 336.42, 327.77, 360.83, 0, 0, 0, 623.82, 492.64
P02293, 44, 105, 0.1576, 0.007151, 6, False, nucleus; chromosome, 3.611, , 185.01, 0, 215.39, 118.21, 257.42, 61.61, 96.94, 270.83, 692.68, 250.26, 0, 251.92, 83.81, 405.63, 442.31, 480.34, 376.49, 172.85, 0, 292.5
P02294, 44, 105, 0.2306, 0.002815, 42, nan, nucleus; chromosome, 3.607, , 186.86, 0, 214.68, 116.76, 258.33, 61.53, 102.14, 268.61, 693.39, 251.07, 0, 246.4, 83.35, 401.62, 440.39, 476.53, 321.99, 170.33, 0, 294.01
P02309, 35, 93, 0.1909, 0.000304, 18, False, nucleus; chromosome, 3.964, , 103.6, 0, 0, 432.4, 107.84, 183.51, 156.02, 177.31, 868.72, 640.96, 0, 0, 0, 106.46, 1327.44, 264.8, 176.84, 377.63, 0, 111.26
P02381, 87, 269, 0.2489, 0.000449, 42, nan, mitochondrion, 3.066, , 0, 0, 206.2, 66.24, 0, 46.22, 120.22, 920.81, 1844.58, 966.43, 1091.9, 5005.7, 56.13, 123.22, 179.96, 414.62, 203.91, 0, 175.75, 1596.4
P02381, 305, 379, 0.2489, 0.000449, 42, nan, mitochondrion, 3.671, , 0, 0, 248.47, 0, 98.25, 125.39, 0, 387.07, 717.0, 942.8, 335.55, 2164.93, 84.79, 0, 437.5, 223.21, 402.51, 85.32, 344.31, 1160.01
P02400, 7, 42, 0.3564, 0.02389, 66, False, cytoplasm, 4.604, , 402.75, 0, 77.16, 524.54, 0, 205.38, 0, 0, 0, 571.54, 0, 99.08, 0, 157.6, 142.29, 141.88, 0, 187.56, 0, 0
P02406, 41, 145, 0.2758, 0.003076, 54, False, cytoplasm, 3.339, , 302.19, 0, 408.75, 508.4, 500.83, 336.81, 380.48, 139.3, 1299.74, 238.0, 190.96, 231.95, 179.17, 317.1, 924.77, 113.9, 169.2, 375.61, 123.32, 430.71
P02557, 2, 425, 0.1507, 3.8e-05, 6, False, cytoplasm; cytoskeleton, 2.582, , 301.98, 0, 1687.94, 1470.77, 177.37, 577.38, 520.04, 129.54, 1667.78, 183.18, 0, 1015.61, 524.9, 1461.74, 813.1, 1423.87, 117.15, 259.17, 121.53, 119.12
P02829, 15, 227, 0.4059, 9.3e-05, 78, False, cytoplasm, 3.133, , 495.77, 0, 864.91, 2667.52, 349.0, 366.39, 0, 326.07, 1480.84, 341.17, 0, 334.55, 517.91, 233.96, 441.5, 578.34, 451.41, 522.32, 0, 0
P02829, 268, 670, 0.4059, 9.3e-05, 78, False, cytoplasm, 2.635, , 664.03, 0, 1439.49, 3719.37, 591.24, 319.88, 110.17, 255.24, 3595.12, 841.4, 250.95, 814.93, 372.21, 1147.78, 860.08, 1115.98, 996.9, 158.16, 190.68, 192.92
P02992, 48, 435, 0.342, 0.000835, 66, True, mitochondrion, 2.727, , 554.7, 0, 1387.16, 2487.63, 185.14, 945.04, 211.77, 188.6, 1652.79, 246.96, 372.7, 686.43, 466.34, 436.63, 1635.04, 567.11, 532.71, 96.26, 0, 0
P02994, 7, 436, 0.2293, 2e-06, 42, False, cytoplasm; cytoplasm; cytoskeleton, 2.631, , 579.69, 0, 1000.42, 1998.58, 84.95, 985.08, 478.69, 150.74, 4066.71, 382.21, 162.14, 687.89, 478.18, 782.91, 1413.71, 898.98, 264.45, 277.04, 104.37, 114.79
P03874, 4, 623, 0.155, 0.007504, 6, nan, mitochondrion, 2.666, , 1116.04, 62.26, 1419.46, 3911.27, 370.22, 607.68, 303.08, 583.37, 5015.97, 439.33, 212.07, 2034.17, 778.87, 2199.34, 2432.35, 1991.56, 1236.25, 729.79, 0, 318.51
P03965, 4, 1112, 0.3566, 0.000287, 66, False, cytoplasm, 2.548, , 623.53, 0, 3170.71, 4545.94, 0, 926.02, 1067.73, 386.49, 4855.82, 715.8, 0, 2609.29, 908.01, 985.02, 1126.49, 1746.22, 1582.92, 222.29, 0, 393.72
P04046, 1, 485, 0.4071, 0.000208, 78, True, , 2.642, , 241.41, 0, 1155.37, 2062.17, 175.99, 668.91, 398.11, 342.78, 2298.9, 155.07, 208.44, 1414.93, 645.15, 923.74, 2540.07, 706.83, 835.35, 410.89, 0, 806.04
P04050, 17, 1435, 0.2705, 4.9e-05, 54, False, nucleus, 3.06, , 1951.78, 146.33, 4619.73, 7400.04, 1508.26, 2339.24, 1957.45, 1235.97, 7344.82, 3029.39, 515.43, 3310.36, 2669.93, 3051.29, 4560.9, 2075.76, 2692.87, 1540.52, 0, 1515.8
P04051, 31, 1415, 0.2168, 0.000408, 30, False, nucleus, 3.155, , 2394.03, 492.07, 4636.97, 5729.03, 1644.24, 2861.74, 1608.3, 1890.58, 8326.41, 2055.94, 687.56, 4937.26, 2698.82, 2931.67, 6072.4, 3109.34, 1440.96, 1659.94, 530.25, 2108.15
P04076, 27, 461, 0.4412, 3.4e-05, 90, True, , 2.927, , 699.43, 0, 1368.51, 2515.66, 347.84, 1146.27, 722.19, 0, 1759.81, 781.44, 214.93, 570.68, 682.46, 732.84, 1364.42, 801.06, 793.6, 224.06, 0, 213.36
P04147, 39, 419, 0.1874, 9.8e-05, 18, False, nucleus; cytoplasm, 2.606, , 852.98, 0, 1523.41, 3268.71, 0, 700.31, 372.03, 438.13, 3631.26, 720.26, 337.6, 1184.82, 761.54, 1879.55, 2140.88, 1050.96, 776.49, 265.92, 115.81, 1037.93
P04147, 500, 569, 0.1874, 9.8e-05, 18, False, nucleus; cytoplasm, 2.421, , 236.16, 0, 217.94, 1148.49, 179.1, 77.72, 0, 0, 864.16, 69.44, 0, 66.23, 132.68, 1048.59, 113.94, 232.68, 0, 0, 0, 239.32
P04161, 3, 209, 0.4857, 0.000475, 90, True, , 2.896, , 277.27, 53.38, 715.56, 1370.41, 0, 416.11, 202.34, 259.63, 1940.27, 185.16, 87.79, 314.85, 363.18, 869.54, 129.46, 352.43, 363.8, 191.86, 0, 358.32
P04173, 5, 362, 0.3401, 0.004043, 66, nan, cytoplasm, 2.914, , 432.77, 0, 1830.3, 1196.93, 0, 634.83, 266.6, 100.71, 2568.36, 296.44, 129.37, 591.3, 793.04, 694.22, 240.2, 450.35, 519.84, 575.09, 114.35, 0
P04387, 18, 418, 0.3506, 0.011296, 66, nan, , 2.968, , 518.1, 0, 767.23, 1493.93, 393.91, 732.45, 175.76, 251.41, 2211.14, 479.64, 249.85, 1253.23, 1246.63, 1246.26, 1304.79, 873.21, 569.5, 255.29, 118.37, 128.62
P04449, 4, 58, 0.2253, 0.001464, 30, True, cytoplasm, 2.978, , 101.71, 0, 87.3, 0, 0, 247.87, 254.35, 222.56, 746.15, 94.24, 0, 75.88, 130.85, 99.75, 1050.64, 302.17, 78.95, 165.91, 110.98, 156.65
P04456, 59, 138, 0.308, 6.4e-05, 66, False, cytoplasm, 2.591, , 147.71, 0, 476.83, 654.55, 0, 61.13, 0, 86.76, 1142.07, 189.87, 166.05, 362.94, 210.64, 176.66, 243.98, 43.97, 263.08, 88.09, 0, 398.64
P04650, 9, 41, 0.2745, 0.010246, 54, True, cytoplasm, 2.446, , 169.21, 0, 0, 0, 0, 0, 0, 86.42, 1016.83, 128.21, 132.92, 221.41, 84.47, 384.86, 938.3, 0, 245.72, 0, 142.86, 161.35
P04786, 131, 760, 0.2086, 0.0, 30, True, nucleus; nucleoplasm; nucleus; nucleolus, 2.281, , 444.77, 0, 2229.33, 4423.02, 332.5, 842.16, 376.16, 287.22, 6937.21, 842.83, 0, 1160.16, 1626.65, 1756.76, 2793.84, 971.59, 1152.9, 634.91, 0, 209.17
P04801, 40, 727, 0.3516, 0.00145, 66, False, cytoplasm, 2.561, , 932.91, 0, 2471.31, 4900.99, 233.6, 1203.55, 306.59, 436.6, 5068.74, 319.3, 760.9, 1269.28, 762.72, 1257.53, 2092.63, 1136.82, 783.69, 460.85, 119.88, 359.83
P04802, 74, 196, 0.5121, 0.000329, 90, True, cytoplasm, 2.423, , 236.75, 0, 597.48, 542.12, 0, 211.95, 82.29, 184.37, 1640.38, 233.24, 0, 368.8, 167.89, 564.81, 719.39, 338.6, 335.8, 116.0, 0, 114.24
P04802, 230, 550, 0.5121, 0.000329, 90, True, cytoplasm, 2.739, , 597.73, 0, 1196.74, 2321.64, 378.24, 603.95, 528.51, 101.28, 1985.6, 235.79, 0, 263.04, 674.07, 202.91, 921.8, 441.35, 384.24, 185.21, 0, 544.25
P04803, 20, 146, 0.2067, 0.00613, 30, nan, mitochondrion matrix, 3.813, , 425.5, 95.25, 197.15, 806.56, 323.55, 276.58, 561.11, 93.01, 520.04, 900.27, 308.15, 262.91, 415.16, 425.8, 694.39, 439.22, 489.97, 87.26, 343.73, 0
P04803, 174, 376, 0.2067, 0.00613, 30, nan, mitochondrion matrix, 2.912, , 300.17, 0, 620.86, 1600.83, 330.11, 145.92, 572.64, 179.49, 2441.39, 538.22, 353.36, 506.53, 441.49, 407.13, 1120.13, 704.34, 318.01, 419.77, 0, 234.2
P04806, 23, 472, 0.425, 0.000257, 78, True, , 2.281, , 159.77, 0, 2057.49, 1960.71, 179.34, 722.32, 497.34, 0, 3706.02, 205.5, 144.91, 1132.78, 814.98, 755.23, 545.69, 664.07, 1030.86, 83.81, 0, 106.68
P04807, 23, 474, 0.3875, 0.000381, 78, False, , 2.384, , 202.31, 0, 1828.83, 1898.7, 273.45, 700.49, 168.81, 202.41, 2795.42, 70.06, 155.36, 1300.02, 1048.55, 1361.94, 767.31, 719.86, 1079.84, 96.93, 0, 105.18
P04819, 141, 747, 0.3071, 2.6e-05, 66, nan, nucleus; mitochondrion, 2.463, , 549.2, 0, 3422.87, 2685.4, 287.49, 1127.18, 104.51, 161.54, 4425.14, 724.01, 375.92, 1631.64, 823.85, 1479.22, 1796.59, 1199.73, 1117.8, 239.97, 0, 310.91
P05066, 25, 560, 0.1899, 0.000316, 18, nan, nucleus; mitochondrion, 2.458, , 235.6, 102.12, 854.72, 2483.67, 124.42, 425.02, 507.94, 365.84, 4337.36, 345.98, 76.06, 1614.31, 858.38, 1360.5, 1069.17, 1003.28, 735.76, 149.13, 121.19, 350.62
P05150, 12, 333, 0.5412, 0.012548, 90, nan, cytoplasm, 2.716, , 219.94, 0, 926.91, 1345.79, 315.78, 532.99, 353.25, 202.01, 2091.16, 463.96, 222.01, 1121.01, 264.17, 758.85, 495.2, 546.49, 399.34, 180.58, 0, 266.64
P05317, 11, 196, 0.2681, 1.8e-05, 54, False, cytoplasm, 3.007, , 397.11, 0, 473.68, 1010.71, 351.5, 584.0, 116.98, 99.54, 1255.99, 78.01, 185.95, 848.6, 368.23, 505.67, 1159.29, 597.93, 304.5, 392.74, 131.46, 0
P05317, 224, 265, 0.2681, 1.8e-05, 54, False, cytoplasm, 4.556, , 325.33, 0, 328.57, 203.69, 0, 101.69, 218.42, 345.07, 118.87, 592.42, 0, 151.65, 290.6, 0, 212.16, 82.93, 55.08, 234.27, 0, 403.63
P05319, 7, 41, 0.2063, 0.009097, 30, False, cytoplasm, 4.256, , 251.68, 0, 146.24, 544.95, 0, 137.38, 0, 85.39, 118.0, 416.84, 0, 160.2, 55.7, 0, 0, 259.62, 191.43, 217.03, 0, 0
P05373, 27, 337, 0.4773, 0.000233, 90, True, , 2.899, , 487.53, 181.64, 1310.72, 1166.56, 233.71, 499.81, 139.21, 201.5, 1064.96, 153.68, 95.42, 871.63, 624.34, 492.65, 1430.08, 364.98, 404.55, 168.69, 246.27, 198.92
P05453, 238, 680, 0.2175, 0.000371, 30, False, cytoplasm, 2.609, , 476.14, 0, 1509.1, 2915.21, 87.68, 916.56, 348.44, 289.47, 3684.4, 160.44, 322.51, 1128.5, 670.15, 558.71, 831.32, 422.03, 748.33, 329.87, 0, 219.9
P05694, 2, 764, 0.3422, 7.6e-05, 66, False, , 2.615, , 1797.24, 0, 2548.35, 3618.0, 213.91, 817.43, 169.31, 0, 5394.53, 281.1, 0, 1620.39, 699.4, 982.88, 328.44, 999.75, 1272.3, 122.44, 0, 236.9
P05737, 43, 239, 0.2805, 0.001361, 54, False, cytoplasm, 3.115, , 632.58, 0, 167.07, 942.87, 224.54, 425.41, 81.62, 582.77, 2462.18, 336.28, 0, 543.39, 542.44, 726.29, 944.34, 452.82, 201.56, 181.44, 0, 406.75
P05738, 6, 186, 0.2086, 0.001555, 30, False, cytoplasm, 2.795, , 212.62, 0, 517.14, 736.6, 289.11, 360.62, 458.98, 356.84, 1811.54, 106.69, 0, 1001.29, 302.94, 477.33, 1148.05, 313.44, 663.28, 215.74, 0, 0
P05739, 38, 105, 0.2782, 0.000297, 54, True, cytoplasm, 3.426, , 174.55, 0, 53.71, 615.95, 133.29, 223.74, 105.93, 83.78, 530.08, 91.64, 0, 290.47, 59.38, 0, 850.37, 200.87, 77.44, 340.05, 0, 330.06
