UniProt, domain_start, domain_end, S_over_T_mean, S_over_T_pval, quantile, refoldable, subcellular_localization, average_KD_hydro, A_SASA , C_SASA , D_SASA , E_SASA , F_SASA , G_SASA , H_SASA , I_SASA , K_SASA , L_SASA , M_SASA , N_SASA , P_SASA , Q_SASA , R_SASA , S_SASA , T_SASA , V_SASA , W_SASA , Y_SASA
O13585, 443, 526, 0.3256, 0.000333, 66, False, golgi apparatus, 2.598, , 156.01, 0, 946.13, 1400.34, 241.0, 207.03, 430.73, 90.48, 1930.92, 861.28, 131.55, 813.98, 173.66, 1187.9, 912.74, 610.02, 123.7, 89.65, 0, 290.04
O13585, 531, 746, 0.3256, 0.000333, 66, False, golgi apparatus, 3.244, , 146.37, 124.24, 1076.29, 679.64, 314.59, 106.67, 234.99, 533.79, 2006.77, 1014.26, 171.52, 1386.25, 350.32, 694.22, 444.13, 568.83, 451.7, 225.13, 178.72, 249.21
O14455, 27, 98, 0.2952, 0.000343, 54, nan, cytoplasm, 2.896, , 372.74, 0, 81.34, 398.25, 227.62, 197.94, 0, 137.02, 1207.81, 75.26, 0, 358.19, 101.79, 0, 1670.22, 261.89, 156.21, 157.72, 0, 274.6
O14464, 58, 92, 0.2157, 3.2e-05, 30, nan, mitochondrion, 2.046, , 0, 0, 68.26, 0, 94.12, 176.64, 0, 0, 1085.28, 96.9, 0, 79.39, 0, 71.1, 730.13, 269.56, 116.39, 0, 0, 94.03
O14467, 80, 144, 0.157, 0.000531, 6, False, nucleus; cytoplasm, 2.851, , 141.97, 0, 205.34, 0, 0, 137.96, 0, 221.8, 668.71, 109.96, 0, 500.01, 269.07, 242.39, 647.76, 47.67, 256.78, 76.48, 0, 0
O43137, 26, 82, 0.5815, 0.028194, 90, nan, nucleus; cytoplasm, 2.871, , 76.36, 0, 480.72, 813.03, 0, 233.95, 0, 75.1, 665.73, 110.98, 0, 225.48, 0, 171.57, 0, 138.72, 193.98, 143.24, 0, 99.75
O60200, 12, 77, 0.3886, 0.00585, 78, nan, nucleus; cytoplasm; mitochondrion intermembrane space, 3.509, , 319.3, 64.45, 174.17, 989.24, 276.82, 224.63, 0, 84.39, 719.19, 180.41, 0, 393.43, 90.75, 138.31, 161.72, 175.57, 249.82, 208.24, 108.94, 160.35
O75012, 30, 90, 0.2074, 0.001914, 30, nan, mitochondrion matrix; mitochondrion, 3.692, , 260.15, 50.82, 128.76, 214.27, 0, 226.96, 218.0, 242.1, 639.47, 509.92, 229.15, 654.66, 113.06, 291.71, 561.87, 499.47, 167.83, 226.05, 0, 389.48
O94742, 5, 88, 0.3138, 0.001275, 66, False, , 3.159, , 537.71, 0, 1253.95, 1677.12, 480.95, 56.17, 0, 618.59, 1207.69, 432.81, 0, 723.66, 103.89, 621.79, 290.9, 184.18, 386.66, 335.49, 510.41, 141.8
P00044, 10, 108, 0.2338, 0.000479, 42, nan, mitochondrion intermembrane space, 2.6, , 154.26, 0, 157.74, 763.56, 0, 428.23, 0, 83.89, 1705.29, 84.65, 0, 289.06, 178.31, 256.01, 135.42, 82.81, 290.31, 109.34, 0, 0
P00045, 14, 112, 0.2315, 4.8e-05, 42, nan, mitochondrion intermembrane space, 2.39, , 234.54, 0, 304.61, 575.24, 0, 350.93, 0, 77.38, 1918.79, 0, 0, 342.48, 175.89, 341.78, 146.5, 81.71, 259.18, 108.23, 0, 0
P00330, 7, 156, 0.3861, 0.000352, 78, False, cytoplasm, 3.787, , 234.42, 52.13, 337.31, 536.31, 0, 369.36, 488.4, 332.21, 851.26, 470.69, 86.26, 337.68, 589.97, 333.08, 0, 131.17, 0, 367.97, 0, 483.81
P00330, 158, 293, 0.3861, 0.000352, 78, False, cytoplasm, 3.788, , 475.42, 116.65, 301.38, 693.26, 251.4, 573.43, 0, 0, 991.39, 244.51, 309.38, 325.67, 0, 84.93, 359.59, 356.62, 74.25, 378.95, 0, 208.25
P00330, 298, 345, 0.3861, 0.000352, 78, False, cytoplasm, 3.97, , 202.94, 0, 295.02, 439.87, 227.21, 187.24, 0, 94.07, 398.78, 290.94, 103.65, 0, 189.73, 118.98, 711.86, 175.77, 223.2, 359.89, 0, 134.18
P00331, 7, 155, 0.4739, 0.019982, 90, True, cytoplasm, 3.678, , 211.08, 109.8, 276.61, 781.01, 0, 415.63, 510.98, 212.3, 953.38, 465.53, 86.58, 424.85, 710.22, 116.07, 0, 185.24, 54.27, 369.19, 0, 328.81
P00331, 157, 293, 0.4739, 0.019982, 90, True, cytoplasm, 3.856, , 474.95, 54.0, 169.98, 535.97, 265.84, 519.89, 0, 0, 1013.82, 411.88, 0, 374.8, 135.45, 81.95, 273.0, 470.16, 286.17, 396.81, 0, 204.1
P00331, 298, 345, 0.4739, 0.019982, 90, True, cytoplasm, 3.905, , 284.13, 0, 294.31, 465.9, 224.98, 201.87, 0, 98.4, 389.0, 294.82, 105.27, 0, 201.82, 117.89, 693.46, 197.19, 227.35, 223.41, 0, 134.46
P00358, 3, 149, 0.4964, 0.000225, 90, True, cytoplasm, 3.177, , 212.07, 182.0, 775.53, 436.02, 151.39, 303.4, 197.45, 181.23, 810.81, 0, 231.8, 463.75, 64.9, 230.73, 593.23, 594.48, 241.18, 319.22, 0, 344.05
P00358, 151, 317, 0.4964, 0.000225, 90, True, cytoplasm, 3.604, , 468.34, 0, 502.07, 808.82, 0, 435.61, 161.37, 228.69, 1044.87, 356.66, 0, 169.29, 326.97, 116.63, 247.25, 370.38, 353.37, 432.06, 211.47, 346.39
P00359, 3, 149, 0.5427, 0.001231, 90, False, cytoplasm; mitochondrion, 3.098, , 153.1, 180.23, 780.37, 454.27, 152.84, 344.34, 192.17, 184.99, 755.32, 0, 226.31, 445.73, 197.31, 94.83, 610.21, 633.17, 303.92, 262.79, 0, 342.29
P00359, 151, 317, 0.5427, 0.001231, 90, False, cytoplasm; mitochondrion, 3.533, , 362.73, 0, 532.12, 837.84, 0, 436.22, 168.99, 229.18, 1131.31, 351.82, 0, 164.55, 326.99, 113.77, 248.77, 447.36, 348.53, 446.25, 213.22, 345.63
P00360, 3, 149, 0.6142, 0.001306, 90, False, cytoplasm, 3.272, , 40.89, 180.65, 902.91, 197.43, 149.6, 341.42, 276.8, 157.14, 1193.91, 179.15, 87.9, 184.17, 150.15, 222.74, 576.22, 570.96, 298.05, 447.38, 0, 343.26
P00360, 151, 318, 0.6142, 0.001306, 90, False, cytoplasm, 3.714, , 398.76, 0, 517.97, 833.77, 86.59, 417.0, 154.96, 229.29, 906.89, 357.44, 0, 85.81, 468.25, 206.15, 252.88, 503.63, 439.15, 503.27, 212.79, 294.53
P00431, 74, 359, 0.4515, 0.000157, 90, True, mitochondrion matrix; mitochondrion intermembrane space, 2.317, , 152.74, 0, 1351.04, 1270.38, 0, 426.89, 147.38, 81.74, 2192.59, 170.38, 0, 1026.15, 500.63, 418.63, 138.11, 445.63, 258.8, 0, 0, 148.96
P00445, 3, 152, 0.9444, 0.561246, 90, False, cytoplasm; mitochondrion intermembrane space, 3.529, , 310.2, 0, 440.83, 997.8, 211.69, 477.0, 0, 72.87, 1218.96, 214.02, 0, 408.95, 472.35, 104.96, 0, 446.35, 508.7, 368.93, 0, 0
P00447, 47, 113, 0.2907, 0.004276, 54, True, mitochondrion matrix, 3.455, , 257.38, 51.75, 183.05, 525.2, 199.34, 54.77, 101.44, 287.88, 543.87, 347.26, 0, 545.14, 223.14, 365.03, 180.4, 42.26, 276.16, 64.75, 0, 137.12
P00447, 118, 230, 0.2907, 0.004276, 54, True, mitochondrion matrix, 2.875, , 367.86, 0, 546.3, 441.01, 0, 488.71, 126.28, 0, 771.14, 257.46, 0, 470.79, 89.29, 869.14, 130.93, 92.41, 374.65, 110.81, 0, 208.69
P00498, 4, 99, 0.6722, 0.001712, 90, False, cytoplasm, 3.194, , 192.67, 76.75, 972.43, 266.33, 0, 301.5, 302.7, 204.48, 620.16, 376.7, 0, 528.06, 83.26, 335.17, 556.13, 303.09, 281.08, 70.38, 0, 0
P00498, 101, 192, 0.6722, 0.001712, 90, False, cytoplasm, 3.611, , 262.41, 0, 169.05, 727.54, 131.86, 275.13, 0, 0, 767.73, 415.01, 0, 154.99, 0, 81.5, 276.0, 558.24, 405.76, 132.4, 0, 0
P00498, 194, 222, 0.6722, 0.001712, 90, False, cytoplasm, 3.952, , 137.55, 0, 93.06, 215.21, 0, 37.72, 0, 234.0, 544.37, 204.6, 125.85, 127.71, 0, 176.46, 174.61, 279.2, 177.35, 79.42, 0, 263.96
P00498, 224, 291, 0.6722, 0.001712, 90, False, cytoplasm, 2.96, , 66.43, 0, 572.43, 577.57, 200.36, 131.87, 0, 216.21, 646.01, 0, 92.26, 0, 156.52, 0, 686.78, 91.79, 133.31, 108.09, 0, 0
P00546, 6, 89, 0.2637, 0.00392, 54, nan, , 3.22, , 94.22, 0, 492.48, 1030.09, 124.52, 236.45, 180.95, 73.81, 380.16, 442.6, 0, 267.98, 199.19, 212.62, 588.77, 224.24, 214.57, 172.3, 0, 147.75
P00546, 94, 295, 0.2637, 0.00392, 54, nan, , 3.072, , 285.66, 0, 989.82, 359.56, 256.06, 271.08, 287.2, 600.09, 1143.75, 183.84, 0, 186.02, 816.98, 773.87, 1497.3, 489.35, 188.66, 214.17, 0, 519.12
P00549, 4, 88, 0.4063, 0.000592, 78, False, , 3.704, , 319.95, 0, 199.54, 796.6, 0, 273.51, 127.16, 254.29, 614.99, 588.89, 0, 110.62, 474.09, 0, 803.99, 363.61, 399.21, 232.24, 0, 265.96
P00549, 92, 180, 0.4063, 0.000592, 78, False, , 3.05, , 164.12, 0, 772.73, 187.98, 0, 168.0, 141.72, 0, 872.13, 198.34, 0, 318.63, 236.39, 0, 152.27, 62.5, 0, 315.95, 0, 198.75
P00549, 189, 361, 0.4063, 0.000592, 78, False, , 3.543, , 691.28, 62.46, 477.69, 1049.95, 334.05, 263.14, 137.03, 380.88, 991.39, 653.55, 97.41, 676.33, 295.59, 614.69, 515.8, 214.99, 187.85, 283.94, 0, 302.86
P00549, 363, 499, 0.4063, 0.000592, 78, False, , 2.903, , 178.17, 109.91, 352.03, 761.61, 331.9, 293.52, 136.15, 0, 933.23, 144.38, 0, 490.85, 378.76, 185.82, 629.76, 292.2, 413.7, 135.12, 0, 0
P00560, 10, 192, 0.4099, 0.000154, 78, True, cytoplasm; mitochondrion, 2.673, , 492.33, 0, 1039.75, 891.28, 178.67, 338.7, 397.03, 0, 2031.13, 122.41, 0, 229.94, 473.15, 536.99, 787.95, 230.78, 157.68, 201.44, 0, 90.82
P00560, 194, 402, 0.4099, 0.000154, 78, True, cytoplasm; mitochondrion, 3.121, , 854.48, 0, 875.99, 1265.83, 121.61, 650.83, 81.03, 75.25, 1987.23, 159.59, 0, 350.23, 170.07, 116.73, 120.54, 109.91, 528.58, 61.92, 0, 0
P00572, 8, 205, 0.387, 2.8e-05, 78, False, , 2.767, , 122.57, 0, 932.08, 861.05, 0, 450.37, 0, 242.83, 1498.64, 445.37, 0, 545.2, 194.56, 817.96, 382.74, 452.51, 415.67, 90.21, 103.3, 0
P00635, 26, 455, 0.526, 0.004264, 90, True, secreted, 2.746, , 401.26, 0, 2876.43, 1433.62, 365.4, 534.42, 0, 127.84, 1541.41, 98.05, 194.38, 1737.44, 130.31, 252.11, 525.27, 957.7, 1217.46, 332.01, 0, 549.16
P00724, 40, 341, 0.351, 0.000792, 66, False, secreted; cytoplasm, 3.137, , 540.05, 0, 979.26, 949.52, 474.47, 269.91, 80.23, 74.86, 737.69, 314.45, 0, 1327.11, 1183.2, 668.7, 0, 592.22, 682.35, 60.43, 258.84, 369.55
P00724, 353, 530, 0.351, 0.000792, 66, False, secreted; cytoplasm, 3.124, , 218.72, 0, 634.78, 553.02, 203.26, 183.37, 0, 207.72, 716.57, 159.1, 0, 1058.87, 291.55, 215.66, 331.2, 714.14, 924.31, 132.65, 0, 199.98
P00729, 32, 81, 0.2228, 0.011503, 30, True, vacuole lumen, 3.419, , 95.4, 0, 542.92, 518.02, 100.66, 64.26, 253.31, 0, 359.66, 410.42, 143.62, 220.45, 228.6, 331.48, 0, 252.31, 156.38, 127.08, 0, 111.64
P00729, 97, 293, 0.2228, 0.011503, 30, True, vacuole lumen, 3.42, , 121.71, 65.48, 852.56, 472.68, 292.47, 500.53, 0, 386.24, 1243.48, 617.31, 0, 1116.6, 460.52, 77.14, 102.56, 557.23, 356.78, 153.82, 103.66, 284.49
P00729, 295, 362, 0.2228, 0.011503, 30, True, vacuole lumen, 3.287, , 47.29, 0, 265.38, 783.7, 0, 289.89, 0, 115.21, 0, 0, 115.13, 174.39, 208.49, 283.67, 284.93, 313.58, 150.37, 258.04, 222.76, 560.65
P00729, 374, 528, 0.2228, 0.011503, 30, True, vacuole lumen, 3.95, , 361.25, 230.46, 931.95, 885.84, 685.17, 448.03, 464.45, 477.88, 533.18, 512.74, 258.31, 711.02, 466.31, 318.09, 232.17, 209.48, 223.69, 526.8, 184.27, 584.15
P00812, 15, 328, 0.5696, 0.000746, 90, True, , 3.005, , 355.1, 0, 1453.06, 1120.49, 0, 695.53, 197.01, 231.43, 1847.13, 368.88, 249.36, 433.05, 548.28, 223.16, 405.83, 457.94, 394.6, 68.55, 0, 338.65
P00815, 7, 132, 0.4496, 0.000149, 90, True, , 2.365, , 174.27, 0, 473.79, 1027.0, 0, 170.7, 0, 0, 1606.58, 146.11, 147.81, 502.66, 155.22, 680.94, 0, 640.38, 0, 89.27, 0, 0
P00815, 134, 224, 0.4496, 0.000149, 90, True, , 2.874, , 31.94, 225.81, 458.59, 748.23, 0, 218.84, 0, 0, 543.16, 507.9, 0, 192.92, 140.37, 283.1, 575.83, 189.0, 198.73, 0, 0, 167.34
P00815, 245, 329, 0.4496, 0.000149, 90, True, , 2.892, , 296.63, 0, 497.74, 907.17, 132.33, 99.81, 155.54, 0, 1166.47, 381.16, 124.35, 476.16, 88.69, 251.59, 135.49, 188.16, 112.78, 113.96, 150.35, 107.84
P00815, 383, 589, 0.4496, 0.000149, 90, True, , 3.316, , 319.12, 64.15, 407.05, 1806.72, 351.94, 442.71, 139.03, 169.49, 941.34, 625.83, 219.84, 428.62, 525.37, 676.24, 447.3, 460.56, 678.3, 131.33, 0, 0
P00815, 598, 747, 0.4496, 0.000149, 90, True, , 2.721, , 235.41, 66.5, 944.91, 624.27, 173.69, 176.14, 372.85, 100.19, 423.59, 200.76, 0, 548.68, 132.94, 863.36, 377.54, 413.99, 500.3, 0, 0, 924.91
P00815, 750, 791, 0.4496, 0.000149, 90, True, , 3.953, , 203.97, 90.3, 88.49, 376.89, 0, 230.82, 117.38, 489.04, 586.49, 177.53, 0, 328.62, 84.19, 164.46, 322.93, 89.21, 201.12, 141.79, 0, 0
P00817, 4, 278, 0.5634, 4.9e-05, 90, False, cytoplasm, 2.79, , 386.57, 0, 848.44, 1201.85, 188.71, 388.4, 96.79, 312.21, 2338.34, 103.22, 0, 355.67, 1259.26, 227.8, 271.96, 497.71, 364.27, 72.21, 127.0, 120.98
P00890, 46, 146, 0.3444, 9.3e-05, 66, False, mitochondrion matrix, 3.856, , 396.43, 0, 107.0, 1657.51, 276.06, 547.69, 90.71, 251.17, 1114.6, 558.55, 136.76, 0, 384.85, 163.18, 350.89, 48.0, 259.1, 432.21, 180.92, 192.37
P00890, 148, 312, 0.3444, 9.3e-05, 66, False, mitochondrion matrix, 3.482, , 475.02, 0, 680.5, 713.25, 216.34, 417.92, 682.35, 107.29, 966.78, 686.87, 0, 322.08, 288.24, 264.15, 0, 613.02, 243.58, 76.31, 168.38, 223.99
P00890, 314, 423, 0.3444, 9.3e-05, 66, False, mitochondrion matrix, 2.732, , 282.62, 0, 258.13, 900.72, 87.8, 377.7, 82.8, 0, 1364.72, 208.49, 0, 112.56, 148.53, 221.77, 441.27, 0, 88.41, 233.22, 0, 229.57
P00890, 427, 453, 0.3444, 9.3e-05, 66, False, mitochondrion matrix, 5.719, , 274.11, 0, 56.18, 0, 235.89, 183.36, 0, 337.52, 0, 283.95, 0, 0, 59.06, 92.09, 285.35, 118.91, 102.71, 365.51, 0, 155.0
P00899, 8, 504, 0.4954, 0.000129, 90, True, , 2.833, , 372.89, 0, 1946.08, 1859.83, 219.79, 522.37, 106.36, 277.75, 2146.24, 876.5, 97.97, 955.43, 1107.58, 974.96, 857.91, 828.83, 795.51, 174.55, 0, 461.99
P00912, 14, 223, 0.4337, 0.014886, 78, nan, , 2.6, , 208.19, 0, 843.77, 1270.66, 0, 536.78, 275.72, 108.18, 1060.15, 132.11, 0, 1100.2, 362.09, 270.79, 589.55, 630.1, 196.21, 177.06, 0, 0
P00924, 4, 137, 0.4726, 0.001756, 90, True, cytoplasm, 3.599, , 425.17, 0, 431.75, 330.98, 0, 283.68, 268.52, 170.88, 1149.6, 388.49, 158.56, 312.88, 235.97, 0, 349.05, 636.31, 142.18, 298.57, 101.95, 311.19
P00924, 139, 436, 0.4726, 0.001756, 90, True, cytoplasm, 2.638, , 402.62, 0, 1089.61, 1113.42, 100.24, 658.9, 289.88, 0, 1872.81, 151.11, 0, 625.93, 199.95, 296.69, 606.33, 784.73, 401.36, 57.49, 0, 0
P00925, 4, 137, 0.4881, 0.001022, 90, False, cytoplasm, 3.578, , 475.19, 0, 352.82, 484.9, 0, 230.79, 174.59, 86.69, 956.69, 306.89, 233.62, 566.4, 162.88, 77.27, 348.79, 643.77, 141.21, 354.86, 105.04, 313.46
P00925, 139, 436, 0.4881, 0.001022, 90, False, cytoplasm, 2.715, , 455.62, 0, 1081.31, 1381.1, 102.19, 629.9, 204.11, 0, 1830.42, 79.46, 0, 530.78, 132.23, 207.43, 597.54, 793.48, 407.46, 133.91, 0, 0
P00927, 35, 104, 0.3276, 1.2e-05, 66, False, mitochondrion, 3.831, , 0, 0, 385.01, 379.59, 0, 56.58, 185.7, 303.26, 377.57, 681.86, 0, 481.67, 278.96, 360.24, 695.53, 431.95, 227.0, 661.33, 0, 304.0
P00927, 109, 200, 0.3276, 1.2e-05, 66, False, mitochondrion, 2.962, , 167.02, 95.17, 369.04, 356.96, 201.71, 188.85, 197.56, 110.51, 779.06, 180.59, 85.64, 564.43, 147.14, 377.46, 524.69, 194.85, 0, 90.02, 0, 105.44
P00927, 208, 385, 0.3276, 1.2e-05, 66, False, mitochondrion, 3.044, , 186.02, 0, 643.57, 641.01, 330.36, 242.22, 101.95, 77.59, 253.54, 80.14, 181.12, 578.13, 353.97, 672.27, 1613.69, 263.68, 496.39, 556.1, 0, 131.42
P00927, 388, 574, 0.3276, 1.2e-05, 66, False, mitochondrion, 2.871, , 211.44, 0, 800.09, 1245.31, 149.36, 438.33, 643.13, 85.35, 1390.75, 483.86, 0, 449.56, 634.66, 285.86, 702.68, 539.43, 259.5, 428.42, 0, 137.26
P00931, 2, 286, 0.4403, 0.000298, 90, True, , 2.739, , 204.63, 0, 1083.0, 1670.3, 0, 419.19, 146.75, 146.17, 1810.26, 420.05, 135.44, 929.75, 239.85, 602.96, 143.32, 827.64, 260.42, 142.65, 0, 0
P00931, 306, 352, 0.4403, 0.000298, 90, True, , 3.826, , 249.79, 75.07, 392.91, 584.78, 503.22, 337.38, 75.33, 92.34, 239.09, 284.51, 0, 0, 291.34, 98.48, 255.84, 309.35, 72.48, 59.72, 0, 387.66
P00931, 356, 378, 0.4403, 0.000298, 90, True, , 2.835, , 80.52, 73.91, 102.23, 358.71, 0, 45.59, 378.38, 0, 274.62, 307.91, 0, 96.46, 0, 277.19, 316.08, 0, 0, 0, 182.57, 0
P00931, 380, 493, 0.4403, 0.000298, 90, True, , 3.841, , 389.12, 0, 0, 0, 128.39, 443.76, 305.32, 201.32, 802.62, 573.4, 0, 248.53, 182.0, 0, 1063.31, 163.25, 462.22, 105.93, 0, 0
P00931, 495, 694, 0.4403, 0.000298, 90, True, , 3.642, , 377.54, 0, 742.98, 542.2, 267.42, 506.84, 379.67, 234.77, 1337.43, 322.47, 152.15, 149.1, 505.63, 606.44, 276.47, 426.65, 581.55, 464.36, 0, 128.91
P00937, 14, 199, 0.4956, 0.000238, 90, True, , 3.038, , 151.03, 112.5, 381.95, 777.22, 0, 513.33, 104.93, 266.39, 1090.29, 176.62, 0, 554.09, 315.94, 217.51, 341.26, 451.72, 306.16, 76.75, 148.95, 330.52
P00937, 226, 483, 0.4956, 0.000238, 90, True, , 2.683, , 0, 52.24, 810.45, 1124.37, 202.28, 257.8, 617.34, 82.52, 2252.9, 542.87, 98.65, 551.47, 712.51, 338.38, 246.4, 446.31, 350.95, 138.85, 159.13, 0
P00942, 6, 245, 0.4555, 0.003281, 90, False, , 2.925, , 413.93, 0, 1150.09, 1065.21, 127.92, 680.78, 147.55, 0, 1840.66, 427.81, 0, 347.83, 208.41, 217.83, 112.02, 751.23, 769.27, 80.18, 0, 170.67
P00958, 4, 167, 0.3928, 0.000329, 78, True, cytoplasm, 2.635, , 292.13, 0, 510.35, 1192.53, 439.33, 33.03, 386.47, 0, 1725.03, 90.6, 0, 623.43, 436.41, 430.64, 308.05, 570.41, 319.06, 244.4, 0, 130.95
P00958, 198, 307, 0.3928, 0.000329, 78, True, cytoplasm, 3.582, , 170.4, 0, 343.92, 344.03, 253.18, 322.44, 217.86, 378.38, 597.21, 722.46, 0, 737.86, 57.74, 425.9, 368.22, 184.33, 540.11, 86.5, 191.11, 641.3
P00958, 309, 384, 0.3928, 0.000329, 78, True, cytoplasm, 2.915, , 41.78, 63.45, 708.76, 381.16, 0, 41.4, 192.8, 114.76, 476.54, 505.78, 0, 225.13, 145.4, 73.04, 164.16, 287.91, 0, 105.39, 0, 468.74
P00958, 386, 529, 0.3928, 0.000329, 78, True, cytoplasm, 2.906, , 55.1, 79.87, 537.06, 1405.78, 282.55, 182.08, 154.44, 189.18, 1767.91, 333.84, 0, 491.29, 308.67, 427.42, 365.73, 519.68, 284.02, 229.31, 383.78, 688.89
P00958, 531, 575, 0.3928, 0.000329, 78, True, cytoplasm, 3.66, , 116.35, 0, 400.22, 140.41, 128.37, 202.52, 138.38, 73.88, 0, 95.55, 0, 385.81, 175.34, 133.28, 324.75, 618.54, 0, 339.54, 133.49, 132.33
P00958, 577, 723, 0.3928, 0.000329, 78, True, cytoplasm, 2.513, , 339.61, 0, 368.64, 1019.24, 0, 137.58, 170.53, 77.29, 1339.95, 503.55, 0, 810.87, 322.78, 351.05, 467.87, 304.08, 69.49, 0, 0, 0
P01094, 4, 64, 0.6273, 0.011617, 90, nan, , 3.049, , 346.89, 0, 644.16, 668.46, 261.09, 200.65, 340.6, 110.81, 1579.45, 253.51, 122.56, 169.7, 0, 972.28, 0, 350.6, 230.93, 255.6, 0, 319.07
