Q96R72	gene_name:OR4K3
P61572	gene_name:ERVK-19
Q9BRK0	gene_name:REEP2
A1A4S6	gene_name:ARHGAP10
P61020	gene_name:RAB5B
Q6ZS17	gene_name:RIPOR1
P15927	gene_name:RPA2
P62888	gene_name:RPL30
Q9P015	gene_name:MRPL15
Q9HAT0	gene_name:ROPN1
Q9Y6N7	gene_name:ROBO1
Q13151	gene_name:HNRNPA0
P60602	gene_name:ROMO1
Q13464	gene_name:ROCK1
Q9P1U0	gene_name:POLR1H
Q3B726	gene_name:POLR1F
Q9NV58	gene_name:RNF19A
P78346	gene_name:RPP30
Q9BUL9	gene_name:RPP25
Q8N6L0	gene_name:KASH5
Q8IUC0	gene_name:KRTAP13-1
P60368	gene_name:KRTAP10-2
P43629	gene_name:KIR3DL1
Q6P1M3	gene_name:LLGL2
O14910	gene_name:LIN7A
Q6ZMV7	gene_name:LEKR1
P31025	gene_name:LCN1
Q6UWP7	gene_name:LCLAT1
P48163	gene_name:ME1
O60942	gene_name:RNGTT
A0A075B6I0	gene_name:IGLV8-61
Q8IW41	gene_name:MAPKAPK5
Q5TCX8	gene_name:MAP3K21
Q86YJ5	gene_name:MARCHF9
Q8NFP4	gene_name:MDGA1
Q7KZI7	gene_name:MARK2
Q68D85	gene_name:NCR3LG1
Q96KX0	gene_name:LYZL4
Q9NXC5	gene_name:MIOS
Q96PC5	gene_name:MIA2
Q96MC6	gene_name:MFSD14A
Q09327	gene_name:MGAT3
Q86XE3	gene_name:MICU3
Q9Y605	gene_name:MRFAP1
Q96H12	gene_name:MSANTD3
O95563	gene_name:MPC2
P49006	gene_name:MARCKSL1
Q14149	gene_name:MORC3
Q9NV56	gene_name:MRGBP
Q8TDS7	gene_name:MRGPRD
Q8N5Y2	gene_name:MSL3
O96033	gene_name:MOCS2
Q8NCK7	gene_name:SLC16A11
Q99551	gene_name:MTERF1
B1AL46	gene_name:NUTM2E
Q8NGS3	gene_name:OR1J1
P03886	gene_name:MT-ND1
O95006	gene_name:OR2F2
A6NHN0	gene_name:OTOL1
Q8WV22	gene_name:NSMCE1
Q96R09	gene_name:OR5B2
Q8NGA0	gene_name:OR7G1
Q8NH18	gene_name:OR5J2
Q8NGK1	gene_name:OR51G1
Q8NH55	gene_name:OR52E5
Q8NGZ0	gene_name:OR2AJ1
Q8NGR1	gene_name:OR13A1
Q96SU4	gene_name:OSBPL9
Q8WWB5	gene_name:PIH1D2
Q9NRD5	gene_name:PICK1
P50542	gene_name:PEX5
O14494	gene_name:PLPP1
P55058	gene_name:PLTP
Q9UIG5	gene_name:PSORS1C1
P23469	gene_name:PTPRE
O95456	gene_name:PSMG1
Q9Y3U8	gene_name:RPL36
Q969G2	gene_name:LHX4
A8MVA2	gene_name:KRTAP9-6
P58180	gene_name:OR4D2
Q8NGP3	gene_name:OR5M9
P0DN80	gene_name:OR5H8
Q99623	gene_name:PHB2
O43688	gene_name:PLPP2
P63132	gene_name:HERVK_113
Q9Y3C6	gene_name:PPIL1
P20264	gene_name:POU3F3
O00764	gene_name:PDXK
P11086	gene_name:PNMT
Q9P212	gene_name:PLCE1
Q8NI37	gene_name:PPTC7
Q00889	gene_name:PSG6
O95997	gene_name:PTTG1
Q13332	gene_name:PTPRS
P0DJH9	gene_name:RD3L
Q9HBD1	gene_name:RC3H2
Q9UL26	gene_name:RAB22A
Q9H2T7	gene_name:RANBP17
Q6IQ22	gene_name:RAB12
P61019	gene_name:RAB2A
Q7Z6E9	gene_name:RBBP6
Q9NS91	gene_name:RAD18
P61006	gene_name:RAB8A
Q68EM7	gene_name:ARHGAP17
Q9NWB1	gene_name:RBFOX1
Q6PCD5	gene_name:RFWD3
P35250	gene_name:RFC2
P50120	gene_name:RBP2
Q9BZI7	gene_name:UPF3B
Q9H920	gene_name:RNF121
Q9Y508	gene_name:RNF114
Q96MT1	gene_name:RNF145
P36578	gene_name:RPL4
P12271	gene_name:RLBP1
Q68DV7	gene_name:RNF43
P47736	gene_name:RAP1GAP
P14678	gene_name:SNRPB
P62081	gene_name:RPS7
P82650	gene_name:MRPS22
Q8N4F4	gene_name:SLC22A24
Q8TBP6	gene_name:SLC25A40
O95156	gene_name:NXPH2
Q8N146	gene_name:OR8H3
Q9UKK6	gene_name:NXT1
P0C628	gene_name:OR5AC1
Q8NGK0	gene_name:OR51G2
Q6ZVC0	gene_name:NYAP1
Q96R47	gene_name:OR2A14
Q8NGN4	gene_name:OR10G9
Q8NH73	gene_name:OR4S2
Q9ULC6	gene_name:PADI1
Q9Y5G2	gene_name:PCDHGB2
P0DN26	gene_name:PPIAL4F
Q4G0U5	gene_name:CFAP221
Q8IY49	gene_name:MMD2
O95263	gene_name:PDE8B
P51160	gene_name:PDE6C
Q9NPG4	gene_name:PCDH12
Q9Y5E2	gene_name:PCDHB7
O15350	gene_name:TP73
Q15120	gene_name:PDK3
P23219	gene_name:PTGS1
Q9UKK3	gene_name:PARP4
Q86V59	gene_name:PNMA8A
O43316	gene_name:PAX4
Q8N4L2	gene_name:PIP4P2
Q15124	gene_name:PGM5
Q8N414	gene_name:PGBD5
P15309	gene_name:ACP3
Q9P1A2	gene_name:PPP4R1L
Q13401	gene_name:PMS2P3
Q96BZ4	gene_name:PLD4
P40967	gene_name:PMEL
O15297	gene_name:PPM1D
Q02325	gene_name:PLGLB1
P26678	gene_name:PLN
P13796	gene_name:LCP1
O14818	gene_name:PSMA7
P27918	gene_name:CFP
Q8N8Z3	gene_name:DIP2C-AS1
Q13046	gene_name:PSG7
O75832	gene_name:PSMD10
Q15262	gene_name:PTPRK
Q59GN2	gene_name:RPL39P5
A8MTL3	gene_name:RNF212B
Q6NUJ5	gene_name:PWWP2B
P01116	gene_name:KRAS
P48304	gene_name:REG1B
Q69383	gene_name:ERVK-6
P04090	gene_name:RLN2
Q5U651	gene_name:RASIP1
Q15291	gene_name:RBBP5
Q9NYW8	gene_name:RBAK
P0C0E4	gene_name:RAB40AL
Q13123	gene_name:IK
Q7Z6P3	gene_name:RAB44
Q53QZ3	gene_name:ARHGAP15
Q96IC2	gene_name:REXO5
O14827	gene_name:RASGRF2
Q9H0H5	gene_name:RACGAP1
Q5W5W9	gene_name:RESP18
P10745	gene_name:RBP3
P52758	gene_name:RIDA
Q96L33	gene_name:RHOV
P18621	gene_name:RPL17
Q96EL3	gene_name:MRPL53
P62945	gene_name:RPL41
O15514	gene_name:POLR2D
Q8NGI6	gene_name:OR4D10
Q8NGP0	gene_name:OR4C13
Q8NGV6	gene_name:OR5H6
P48739	gene_name:PITPNB
O00264	gene_name:PGRMC1
Q5SV97	gene_name:PERM1
O15428	gene_name:PIN1P1
Q6NUP7	gene_name:PPP4R4
Q6XQN6	gene_name:NAPRT
Q9H792	gene_name:PEAK1
Q8N7P1	gene_name:PLD5
Q5VZY2	gene_name:PLPP4
Q9Y244	gene_name:POMP
Q9P0L9	gene_name:PKD2L1
Q0VAA5	gene_name:PLCXD2
Q86YW0	gene_name:PLCZ1
Q9NRZ7	gene_name:AGPAT3
Q3B8N5	gene_name:PROX2
Q8N271	gene_name:PROM2
P21108	gene_name:PRPS1L1
P28072	gene_name:PSMB6
Q9BRX5	gene_name:GINS3
O00232	gene_name:PSMD12
Q9Y3L5	gene_name:RAP2C
Q6UW15	gene_name:REG3G
A0A1B0GV85	gene_name:REELD1
Q9P260	gene_name:RELCH
Q7Z6M1	gene_name:RABEPK
Q14964	gene_name:RAB39A
Q6ZRY4	gene_name:RBPMS2
P20339	gene_name:RAB5A
O14559	gene_name:ARHGAP33
A6NI28	gene_name:ARHGAP42
Q96EV2	gene_name:RBM33
O14924	gene_name:RGS12
O94955	gene_name:RHOBTB3
Q92963	gene_name:RIT1
Q96L21	gene_name:RPL10L
Q96DV4	gene_name:MRPL38
Q7L0R7	gene_name:RNF44
Q969K3	gene_name:RNF34
Q96GF1	gene_name:RNF185
Q96T23	gene_name:RSF1
Q9NPB1	gene_name:NT5M
Q9NZP2	gene_name:OR6C2
Q8NGR9	gene_name:OR1N2
Q8NGL3	gene_name:OR5D14
P47883	gene_name:OR3A4P
Q9P121	gene_name:NTM
Q13492	gene_name:PICALM
P78356	gene_name:PIP4K2B
Q8TCD6	gene_name:PHOSPHO2
Q9BSJ6	gene_name:PIMREG
Q5SRE7	gene_name:PHYHD1
E7EU14	gene_name:PPP5D1
O60486	gene_name:PLXNC1
P16112	gene_name:ACAN
P30086	gene_name:PEBP1
Q8IXQ8	gene_name:PDZD9
O15031	gene_name:PLXNB2
O95744	gene_name:PMS2P2
Q8TCS8	gene_name:PNPT1
Q9UG56	gene_name:PISD
Q8NG27	gene_name:PJA1
Q6MZQ0	gene_name:PRR5L
Q15147	gene_name:PLCB4
Q86WR7	gene_name:PROSER2
Q6ZRP0	gene_name:PRR23C
O75360	gene_name:PROP1
B1ATL7	gene_name:PRR32
P79522	gene_name:PRR3
O60828	gene_name:PQBP1
Q9NQV6	gene_name:PRDM10
Q5VV67	gene_name:PPRC1
P57071	gene_name:PRDM15
Q9NYI0	gene_name:PSD3
P22234	gene_name:PAICS
Q96A99	gene_name:PTX4
Q06323	gene_name:PSME1
A0A096LP55	gene_name:UQCRHL
Q14644	gene_name:RASA3
O14807	gene_name:MRAS
Q15415	gene_name:RBMY1F
P04808	gene_name:RLN1
P61574	gene_name:HERVK_113
Q96S59	gene_name:RANBP9
Q9NX57	gene_name:RAB20
Q9UNA1	gene_name:ARHGAP26
O75677	gene_name:RFPL1
P49796	gene_name:RGS3
Q9UFD9	gene_name:RIMBP3
Q8NFH8	gene_name:REPS2
Q9BYD3	gene_name:MRPL4
O75792	gene_name:RNASEH2A
Q6ZMZ0	gene_name:RNF19B
P07998	gene_name:RNASE1
Q86VF7	gene_name:NRAP
Q8NGN1	gene_name:OR6T1
Q9GZY6	gene_name:LAT2
Q8NH64	gene_name:OR51A7
A6NHA9	gene_name:OR4C46
Q9H255	gene_name:OR51E2
P78380	gene_name:OLR1
Q9H341	gene_name:OR51M1
Q8IWE2	gene_name:FAM114A1
Q86UW2	gene_name:SLC51B
Q8NGF3	gene_name:OR51D1
Q8N2R0	gene_name:OSR2
P56373	gene_name:P2RX3
Q8NGI3	gene_name:OR56B1
Q8TCB6	gene_name:OR51E1
A6NIJ9	gene_name:OR6C70
P02818	gene_name:BGLAP
A6ND48	gene_name:OR14I1
Q8NGF9	gene_name:OR4X2
Q9HBE1	gene_name:PATZ1
Q92535	gene_name:PIGC
Q8N6C7	gene_name:MIR7-3HG
Q02962	gene_name:PAX2
Q9Y6X2	gene_name:PIAS3
Q14863	gene_name:POU6F1
Q6P3X8	gene_name:PGBD2
P20618	gene_name:PSMB1
P60673	gene_name:PFN3
Q99946	gene_name:PRRT1
Q16849	gene_name:PTPRN
P10586	gene_name:PTPRF
Q15008	gene_name:PSMD6
P11217	gene_name:PYGM
P06737	gene_name:PYGL
A1KZ92	gene_name:PXDNL
P18754	gene_name:RCC1
Q15293	gene_name:RCN1
Q15382	gene_name:RHEB
O14966	gene_name:RAB29
Q15771	gene_name:RAB30
Q17R89	gene_name:ARHGAP44
P51149	gene_name:RAB7A
Q5JT25	gene_name:RAB41
P0DJD1	gene_name:RGPD2
Q6ZWI9	gene_name:RFPL4B
Q5UIP0	gene_name:RIF1
P26373	gene_name:RPL13
P61353	gene_name:RPL27
Q9Y535	gene_name:POLR3H
Q9UHV5	gene_name:RAPGEFL1
A6NCQ9	gene_name:RNF222
P32242	gene_name:OTX1
Q15620	gene_name:OR8B8
O00628	gene_name:PEX7
Q6UXB8	gene_name:PI16
Q96RG2	gene_name:PASK
Q9NQ66	gene_name:PLCB1
Q99633	gene_name:PRPF18
Q92786	gene_name:PROX1
Q86XR5	gene_name:PRIMA1
Q96QR8	gene_name:PURB
P06401	gene_name:PGR
O15067	gene_name:PFAS
Q14914	gene_name:PTGR1
Q9UMZ3	gene_name:PTPRQ
P35236	gene_name:PTPN7
P01270	gene_name:PTH
Q6ISU1	gene_name:PTCRA
Q3MIT2	gene_name:PUS10
Q2TAK8	gene_name:PWWP3A
Q7Z4M0	gene_name:REC114
Q9H6Z4	gene_name:RANBP3
P60763	gene_name:RAC3
Q9NRW1	gene_name:RAB6B
Q9GZR2	gene_name:REXO4
Q6ZVN8	gene_name:HJV
Q7Z5H3	gene_name:ARHGAP22
P41220	gene_name:RGS2
P48378	gene_name:RFX2
A6NFN3	gene_name:RBFOX3
O00212	gene_name:RHOD
Q6BDI9	gene_name:REP15
P61586	gene_name:RHOA
Q6NUM9	gene_name:RETSAT
Q9BWE0	gene_name:REPIN1
P61254	gene_name:RPL26
Q9BYC8	gene_name:MRPL32
Q9BYD6	gene_name:MRPL1
Q15070	gene_name:OXA1L
Q96R48	gene_name:OR2A5
Q8NGG7	gene_name:OR8A1
O76000	gene_name:OR2B3
O00168	gene_name:FXYD1
Q13670	gene_name:PMS2P11
Q96Q06	gene_name:PLIN4
P53041	gene_name:PPP5C
O75817	gene_name:POP7
O43660	gene_name:PLRG1
Q8NEB9	gene_name:PIK3C3
P16298	gene_name:PPP3CB
Q15435	gene_name:PPP1R7
Q99943	gene_name:AGPAT1
Q9NWT1	gene_name:PAK1IP1
P81277	gene_name:PRLH
Q7Z5A4	gene_name:PRSS42P
Q8IV56	gene_name:PRR15
Q9NRI7	gene_name:PPY2P
A8MZF0	gene_name:PRR33
Q99436	gene_name:PSMB7
Q9BXM0	gene_name:PRX
Q9NQV8	gene_name:PRDM8
Q96I23	gene_name:PYURF
Q13635	gene_name:PTCH1
Q13882	gene_name:PTK6
Q9Y272	gene_name:RASD1
Q92698	gene_name:RAD54L
Q8IZ40	gene_name:RCOR2
Q9NW64	gene_name:RBM22
Q13972	gene_name:RASGRF1
Q9NS28	gene_name:RGS18
Q9BWJ2	gene_name:RHPN1-AS1
Q8WZ73	gene_name:RFFL
Q9UBD6	gene_name:RHCG
O43566	gene_name:RGS14
Q9BSD3	gene_name:RHNO1
Q5TAB7	gene_name:RIPPLY2
A6NNM3	gene_name:RIMBP3B
Q8TEB7	gene_name:RNF128
P36954	gene_name:POLR2I
Q9NW08	gene_name:POLR3B
O15446	gene_name:POLR1G
O15318	gene_name:POLR3G
Q5GAN4	gene_name:RNASE12
Q6ZRF8	gene_name:RNF207
Q9Y3C5	gene_name:RNF11
Q07001	gene_name:CHRND
Q9Y615	gene_name:ACTL7A
P41595	gene_name:HTR2B
Q15172	gene_name:PPP2R5A
P28566	gene_name:HTR1E
Q8N9L9	gene_name:ACOT4
P41238	gene_name:APOBEC1
O95870	gene_name:ABHD16A
Q9H7C9	gene_name:AAMDC
Q9UBJ2	gene_name:ABCD2
Q15758	gene_name:SLC1A5
A9YTQ3	gene_name:AHRR
Q5JTC6	gene_name:AMER1
Q9UKV5	gene_name:AMFR
P30838	gene_name:ALDH3A1
P51857	gene_name:AKR1D1
P27338	gene_name:MAOB
P42568	gene_name:MLLT3
O60488	gene_name:ACSL4
Q9BZ11	gene_name:ADAM33
Q8N7Z5	gene_name:ANKRD31
Q9Y672	gene_name:ALG6
P62330	gene_name:ARF6
Q13794	gene_name:PMAIP1
Q9Y576	gene_name:ASB1
O95260	gene_name:ATE1
Q8WWH4	gene_name:ASZ1
P15848	gene_name:ARSB
O14983	gene_name:ATP2A1
Q674R7	gene_name:ATG9B
Q13489	gene_name:BIRC3
Q8TDH9	gene_name:BLOC1S5
Q9BXK5	gene_name:BCL2L13
P46736	gene_name:BRCC3
Q6UXG8	gene_name:BTNL9
P59827	gene_name:BPIFB4
Q9NPI1	gene_name:BRD7
P51451	gene_name:BLK
Q15059	gene_name:BRD3
Q6UXY1	gene_name:BAIAP2L2
Q6ZNE5	gene_name:ATG14
Q9HBU1	gene_name:BARX1
Q9UIG0	gene_name:BAZ1B
Q9HD36	gene_name:BCL2L10
Q9Y2D0	gene_name:CA5B
Q6ZV80	gene_name:C2orf91
O95810	gene_name:CAVIN2
Q9H7X2	gene_name:C1orf115
P40123	gene_name:CAP2
P02745	gene_name:C1QA
Q6P1W5	gene_name:C1orf94
Q8N6N3	gene_name:C1orf52
O43570	gene_name:CA12
Q4G0X9	gene_name:CCDC40
Q86Z23	gene_name:C1QL4
Q6DHV5	gene_name:CC2D2B
Q8N6G1	gene_name:LINC00337
Q8ND61	gene_name:C3orf20
Q494R4	gene_name:CCDC153
P22676	gene_name:CALB2
Q8WXS5	gene_name:CACNG8
A0A1B0GVG4	gene_name:CCDC194
Q66K79	gene_name:CPZ
Q4G0S7	gene_name:CCDC152
A6NKD9	gene_name:CCDC85C
P27701	gene_name:CD82
Q5U5Z8	gene_name:AGBL2
Q6ZTR5	gene_name:CFAP47
Q9BXF3	gene_name:CECR2
Q9P2X8	gene_name:LINC00474
Q8N865	gene_name:C7orf31
Q6UXB4	gene_name:CLEC4G
Q13057	gene_name:COASY
Q8IYT2	gene_name:CMTR2
Q96NU0	gene_name:CNTNAP3B
Q02388	gene_name:COL7A1
Q6IPW1	gene_name:C11orf71
Q5SWW7	gene_name:C10orf55
Q8TDQ1	gene_name:CD300LF
Q8TCG5	gene_name:CPT1C
Q96L46	gene_name:CAPNS2
P41240	gene_name:CSK
P16220	gene_name:CREB1
Q96A83	gene_name:COL26A1
Q9NRD9	gene_name:DUOX1
Q14181	gene_name:POLA2
Q9H6B9	gene_name:EPHX3
Q14576	gene_name:ELAVL3
O60739	gene_name:EIF1B
P11474	gene_name:ESRRA
P41162	gene_name:ETV3
Q5RGS3	gene_name:FAM74A1
Q13158	gene_name:FADD
Q8IYT1	gene_name:FAM71A
P23141	gene_name:CES1
A0A1B0GVM5	gene_name:ETDC
Q9BZJ8	gene_name:GPR61
P00451	gene_name:F8
P01588	gene_name:EPO
P81408	gene_name:FAM189B
Q96MZ4	gene_name:FAM218A
P00488	gene_name:F13A1
Q9H0X4	gene_name:FAM234A
Q96MY7	gene_name:FAM161B
Q15910	gene_name:EZH2
Q92637	gene_name:FCGR1B
Q8NEA4	gene_name:FBXO36
Q8N539	gene_name:FIBCD1
P11362	gene_name:FGFR1
Q9UKA2	gene_name:FBXL4
Q6UN15	gene_name:FIP1L1
Q99689	gene_name:FEZ1
Q96M96	gene_name:FGD4
Q8N461	gene_name:FBXL16
P63130	gene_name:ERVK-7
P0DTW1	gene_name:GAGE1
P0DSO3	gene_name:GAGE4
Q6ZUU3	gene_name:FOXL2NB
Q12951	gene_name:FOXI1
O95749	gene_name:GGPS1
P13284	gene_name:IFI30
Q14390	gene_name:GGTLC2
A6NER3	gene_name:GAGE12J
Q6ZNI0	gene_name:GCNT7
A0A1W2PPG7	gene_name:GNG14
O14764	gene_name:GABRD
Q8IX06	gene_name:REXO1L1P
Q3T8J9	gene_name:GON4L
P0CG33	gene_name:GOLGA6D
Q13322	gene_name:GRB10
Q5VY09	gene_name:IER5
O95872	gene_name:GPANK1
P07359	gene_name:GP1BA
P35052	gene_name:GPC1
P46695	gene_name:IER3
P31249	gene_name:HOXD3
P09016	gene_name:HOXD4
P13378	gene_name:HOXD8
Q86YW7	gene_name:GPHB5
Q9Y4H4	gene_name:GPSM3
Q5T6X5	gene_name:GPRC6A
B7ZAQ6	gene_name:GPR89A
Q8N954	gene_name:GPATCH11
P0CG08	gene_name:GPR89B
Q2TAA2	gene_name:IAH1
P35557	gene_name:GCK
P48735	gene_name:IDH2
Q15053	gene_name:KIAA0040
Q2M1V0	gene_name:ISX
Q14695	gene_name:KIAA0087
Q5T013	gene_name:HYI
A2RU49	gene_name:HYKK
P10997	gene_name:IAPP
Q96M11	gene_name:HYLS1
Q9Y4L1	gene_name:HYOU1
Q9BYI3	gene_name:FAM126A
Q14667	gene_name:KIAA0100
Q6NUN7	gene_name:JHY
Q92628	gene_name:KIAA0232
Q12794	gene_name:HYAL1
Q12891	gene_name:HYAL2
O43820	gene_name:HYAL3
Q2M3T9	gene_name:HYAL4
P38567	gene_name:SPAM1
Q92839	gene_name:HAS1
Q92819	gene_name:HAS2
O00219	gene_name:HAS3
Q86SR1	gene_name:GALNT10
Q5T3I0	gene_name:GPATCH4
Q9Y4A0	gene_name:JRKL
P53990	gene_name:IST1
O75564	gene_name:JRK
P18283	gene_name:GPX2
Q92917	gene_name:GPKOW
Q96SL4	gene_name:GPX7
P52948	gene_name:NUP98
Q5XKR4	gene_name:OTP
O00459	gene_name:PIK3R2
Q9Y6F1	gene_name:PARP3
O14683	gene_name:TP53I11
P43115	gene_name:PTGER3
Q9Y3B1	gene_name:PRELID3B
Q9NY27	gene_name:PPP4R2
Q7RTY9	gene_name:PRSS41
P28074	gene_name:PSMB5
P0DPQ3	gene_name:PRR20G
Q96LQ0	gene_name:PPP1R36
O75626	gene_name:PRDM1
P32119	gene_name:PRDX2
Q6UWB4	gene_name:PRSS55
O95758	gene_name:PTBP3
Q16401	gene_name:PSMD5
Q13200	gene_name:PSMD2
P30566	gene_name:ADSL
P27708	gene_name:CAD
Q8IZV5	gene_name:RDH10
Q13702	gene_name:RAPSN
Q9Y5P3	gene_name:RAI2
O15539	gene_name:RGS5
Q8WVD3	gene_name:RNF138
Q9P0M9	gene_name:MRPL27
Q6P5S7	gene_name:RNASEK
Q99729	gene_name:HNRNPAB
Q96EX2	gene_name:RNFT2
Q9HAU8	gene_name:RNPEPL1
Q8N4F7	gene_name:RNF175
P62280	gene_name:RPS11
Q16533	gene_name:SNAPC1
Q9BQ83	gene_name:SLX1A
Q5VYV7	gene_name:SLX4IP
P49903	gene_name:SEPHS1
Q15036	gene_name:SNX17
Q8N196	gene_name:SIX5
O15389	gene_name:SIGLEC5
Q8TEQ0	gene_name:SNX29
K7EJ46	gene_name:SMIM22
P21549	gene_name:AGXT
Q96EA4	gene_name:SPDL1
Q9HB58	gene_name:SP110
P57073	gene_name:SOX8
Q9Y4P9	gene_name:SPEF1
P84022	gene_name:SMAD3
O43255	gene_name:SIAH2
H3BQB6	gene_name:STMND1
Q9NZ72	gene_name:STMN3
Q9NP77	gene_name:SSU72
Q9P246	gene_name:STIM2
P02808	gene_name:STATH
Q9H5I1	gene_name:SUV39H2
Q9UGU0	gene_name:TCF20
Q92526	gene_name:CCT6B
O43581	gene_name:SYT7
Q9BQG1	gene_name:SYT3
Q9Y5J6	gene_name:TIMM10B
Q15399	gene_name:TLR1
Q03403	gene_name:TFF2
P19484	gene_name:TFEB
Q99973	gene_name:TEP1
Q92748	gene_name:THRSP
Q9NUH8	gene_name:TMEM14B
Q13009	gene_name:TIAM1
P10600	gene_name:TGFB3
A2RRL7	gene_name:TMEM213
Q8WUU8	gene_name:TMEM174
O75762	gene_name:TRPA1
P00439	gene_name:PAH
Q9H307	gene_name:PNN
Q86TG7	gene_name:PEG10
Q494U1	gene_name:PLEKHN1
O43930	gene_name:PRKY
Q7RTY5	gene_name:PRSS48
O60508	gene_name:CDC40
P49642	gene_name:PRIM1
Q58EX7	gene_name:PLEKHG4
P58294	gene_name:PROK1
P28070	gene_name:PSMB4
Q8IZ63	gene_name:PRR22
Q86WC6	gene_name:PPP1R27
O43663	gene_name:PRC1
H0Y7S4	gene_name:PRAMEF26
P0DTF9	gene_name:PTTG1IP2
P0C881	gene_name:RSPH10B
Q96R05	gene_name:RBP7
P78317	gene_name:RNF4
Q9H9Y6	gene_name:POLR1B
Q92565	gene_name:RAPGEF5
Q8N8N0	gene_name:RNF152
Q8NC42	gene_name:RNF149
Q9H6Y7	gene_name:RNF167
Q9H0F5	gene_name:RNF38
Q96EU6	gene_name:RRP36
Q86T96	gene_name:RNF180
Q9H0A6	gene_name:RNF32
Q9NYV6	gene_name:RRN3
Q7L523	gene_name:RRAGA
P62273	gene_name:RPS29
A4D0T7	gene_name:SMIM30
Q13485	gene_name:SMAD4
P35326	gene_name:SPRR2A
Q9GZT3	gene_name:SLIRP
Q5MJ07	gene_name:SPANXN5
P0DL12	gene_name:SMIM17
O94956	gene_name:SLCO2B1
Q5MJ68	gene_name:SPDYC
P48431	gene_name:SOX2
Q495Y7	gene_name:SPDYE7P
Q96GM5	gene_name:SMARCD1
Q9C004	gene_name:SPRY4
Q15475	gene_name:SIX1
Q68D06	gene_name:SLFN13
Q01892	gene_name:SPIB
Q969X2	gene_name:ST6GALNAC6
Q6ZMC9	gene_name:SIGLEC15
Q11201	gene_name:ST3GAL1
Q8TAV4	gene_name:STOML3
Q9H6Q3	gene_name:SLA2
